"","article_link","img_link","date"
"1","https://www.a1startup.net/willkommen-am-a1-start-up-campus-und-in-allen-a1-shops-digitale-kaufbelege-mit-warrify/","https://www.a1startup.net/wp-content/uploads/2021/02/a1-start-up-warrify.jpg",2021-01-01
"2","https://www.a1startup.net/a1-telekom-austria-uebernimmt-mehrheit-an-start-up-invenium/","https://www.a1startup.net/wp-content/uploads/2021/01/PK-A1-Invenium.jpg",2020-12-01
"3","https://www.a1startup.net/a1-start-ups-digitale-begleiter-zum-schulstart/","https://www.a1startup.net/wp-content/uploads/2020/09/a1-start-ups-digitale-begleiter-fuer-schulstart-scaled.jpg",2020-11-01
"4","https://www.a1startup.net/mario-mayerthaler-accelerating-open-innovation/","https://www.a1startup.net/wp-content/uploads/2020/06/Thumbnail_Mario_Video.png",2020-10-01
"5","https://www.a1startup.net/yoovis-education-neuer-partner-a1-start-up-campus/","https://www.a1startup.net/wp-content/uploads/2020/05/Titelbild_A1_YooQuiz_210x125mm_CMYK_.jpg",2020-09-01
"6","https://www.a1startup.net/a1-start-up-whalebone-liefert-basis-fuer-neues-a1-security-produkt/","https://www.a1startup.net/wp-content/uploads/2020/03/a1-start-up-campus-whalebone-scaled.jpg",2020-08-01
"7","https://www.a1startup.net/a1-start-ups-unterstuetzen-oesterreichisches-schulsystem-mit-besonderen-loesungen/","https://www.a1startup.net/wp-content/uploads/2020/03/a1-start-ups-unterstuetzen-schulsystem.jpg",2020-07-01
"8","https://www.a1startup.net/urisalt-e-health-start-up-a1-start-up-campus/","https://www.a1startup.net/wp-content/uploads/2020/03/002_16.-Oktober-2019_324A3182-scaled.jpg",2020-06-01
"9","https://www.a1startup.net/5g-vienna-use-case-challenge-a1-gewinnt-start-ups-azoomee-scarletred/","https://www.a1startup.net/wp-content/uploads/2020/01/5g-vienna-use-case-challenge-a1-gewinnt-mit-azoomee-scarletred.jpeg",2020-05-01
"10","https://www.a1startup.net/a1-iot-challenge-unifly-ist-europas-innovativstes-iot-start-up/","https://www.a1startup.net/wp-content/uploads/2019/09/A1-IoT-Challenge-1.jpg",2020-04-01
"11","https://www.a1startup.net/neues-a1-edutech-start-up-mit-der-lern-app-esquirrel-ins-neue-schuljahr-starten/","https://www.a1startup.net/wp-content/uploads/2019/09/Founder.png",2020-03-01
"12","https://www.a1startup.net/neues-a1-start-up-itjobsaustria/","https://www.a1startup.net/wp-content/uploads/2019/09/045_20190704web.jpg",2020-02-01
"13","https://www.a1startup.net/a1-und-die-futurezone-suchen-europaweit-das-beste-iot-start-up/","https://www.a1startup.net/wp-content/uploads/2019/04/A1_Business_Screenshot_3-1.jpg",2020-01-01
"14","https://www.a1startup.net/breaking-post-parkbob-kooperiert-mit-amazon/","https://www.a1startup.net/wp-content/uploads/2019/02/Parkbob_ESA-644x362.jpg",2019-12-01
"15","https://www.a1startup.net/austrias-next-top-start-up-2018-ist-getsby/","https://www.a1startup.net/wp-content/uploads/2018/10/ANTS.jpg",2019-11-01
"16","https://www.a1startup.net/a1-start-up-parkbob-erobert-den-big-apple/","https://www.a1startup.net/wp-content/uploads/2018/05/Parkbob_final-e1527095230122.jpg",2019-10-01
"17","https://www.a1startup.net/congrats-ready2order/","https://www.a1startup.net/wp-content/uploads/2018/06/ready2order.jpg",2019-09-01
"18","https://www.a1startup.net/gewinne-30-000e-bei-austrias-next-top-start-up-2018/","https://www.a1startup.net/wp-content/uploads/2018/06/News-e1529660475332.jpg",2019-08-01
"19","https://www.a1startup.net/4936-2/","https://www.a1startup.net/wp-content/uploads/2018/06/bib-am-campus.jpg",2019-07-01
"20","https://www.a1startup.net/congrats-folyo/","https://www.a1startup.net/wp-content/uploads/2018/05/Folyo_final.jpg",2019-06-01
"21","https://www.a1startup.net/im-netz-der-zukunft-eine-reise-ins-internet-der-dinge-im-weltmuseum-wien/","https://www.a1startup.net/wp-content/uploads/2018/05/IOT.jpg",2019-05-01
"22","https://www.a1startup.net/gruenden-in-wien-am-a1-start-up-campus/","https://www.a1startup.net/wp-content/uploads/2018/05/Gründen-in-WIen.jpg",2019-04-01
"23","https://www.a1startup.net/mario-mayerthaler-am-4gamechangers-festival/","https://www.a1startup.net/wp-content/uploads/2019/05/Bildschirmfoto-2019-05-14-um-16.17.15.png",2019-03-01
