"","article_URL","creator","article_title","content","img_link","date"
"1","https://www.a1startup.net/1-oesterreichisches-investment-von-pioneers-ventures-geht-an-ein-a1-start-up/","A1Startup","1. österreichisches Investment von Pioneers Ventures geht an ein A1 Start Up!","Christian Adelsberger und sein Team haben allen Grund zu feiern. Pioneers Ventures beteiligt sich an dem Smart-Parking-Startup mit 250.000 EUR. Das besondere daran: Parkbob www.parkbob.com ist das erste Investment von Pioneers Ventures in Österreich. Wir freuen uns mit dem gesamten Team und gratulieren ganz herzlich. Mehr Infos im A1 postroom.","https://www.a1startup.net/wp-content/uploads/2018/05/63c80291f79e0b2c8dd6094e7b9fa8ee_f139.jpg",2015-10-01
"2","https://www.a1startup.net/2-minuten-2-millionen-parkbobs-recap/","A1Startup","„2 MINUTEN 2 MILLIONEN“: Parkbob’s Recap","Vor einem Jahr war Parkbob das erste Mal bei „2 MINUTEN 2 MILLIONEN“ auf Puls 4 zu Gast. Damals musste Christian Adelsberger wirklich Überzeugungsarbeit leisten, um die Investoren für seine Idee gewinnen zu können. Was parkbob seither geschafft hat, zeigt er bei seinem 2. Auftritt in der Sendung. Letztes Jahr hatte Marie Hélène Ametsreiter Vertrauen in das Konzept von Christian Adelsberger, der damals mit 4 Mitarbeitern 300.000 Euro Investment von speedinvest erhalten hatte. Ein Jahr später kann Christian dieses Investment als „Anfang für einen Finanzierungsschub“ bezeichnen, auf den laufend weitere gefolgt sind. Mittlerweile hat sich die Anzahl der MitarbeiterInnen mehr als verdoppelt und nach zahlreichen Investments bzw. Förderungen wird Parkbob, bis Ende 2017 in insgesamt 50 Städten in Europa sowie Nordamerika vertreten sein. Wir gratulieren Parkbob! Wenn ihr euch den Beitrag selber anschauen möchtet, klickt hier: http://www.puls4.com/2-minuten-2-millionen/staffel-4","https://www.a1startup.net/wp-content/uploads/2018/05/b00a82d927d1f4e7573c7b8fd8da58f3_f198.jpg",2018-08-01
"3","https://www.a1startup.net/4499-2/","A1Startup","Start für Agnes Fojan & Holidays on Wheels!","Im Herbst hat die Kärntnerin Agnes Fojan mit ihrer Idee von einem Kompetenzportal für barrierefreien, rollstuhlgerechten Aktivurlaub „Austria’s next Top Start up“ gewonnen. Nur wenige Monate danach ist sie mit ihrem Portal online. Wer barrierefreie Tipps in der Urlaubsregion „Villach – Faakersee – Ossiachersee“ sucht, wird ab sofort unter www.holidaysonwheels.at fündig. Bis Mitte 2016 werden 5 weitere Urlaubsregionen dazu kommen. Holidays on Wheels ist das erste A1 Start Up, das nicht am Campus in der Treustraße eingezogen ist, aber dennoch die Vorteile der Kooperation nutzt – und wer Kärnten kennt, kann wohl verstehen, warum ein Arbeitsplatz im Süden Österreichs nicht zu verschmähen ist <U+0001F609> Mehr zum aktuellen Angebot von Holidays on Wheels finden Sie im A1 postroom.","https://www.a1startup.net/wp-content/uploads/2018/05/daa36e0f1667e040d7740b4098b59e6e_f138.jpg",2016-01-01
"4","https://www.a1startup.net/4501-2/","A1Startup","Weitere 200.000 Euro für parkbob!","Parkbob Gründer Christian Adelsberger hat im Rahmen der Puls-4-Show „2 Minuten 2 Millionen“ ein Investment von insgesamt 200.000 Euro abgestaubt. 3 Angebote gab es für unser A1 Start Up in der Start up Show, Christian hat sich schließlich für jenes von Speedinvest entschieden. Neben dem Wiener Risikokapitalgeber Speedinvest, der mit 100.000 Euro für sechs Prozent der Firmenanteile einsteigt, haben die Business Angels Nikolas Futter (Compass-Gruppe), Martin Egger (Geschäftsführer der Wiener Kommunikationsagentur lautstark) und Martin Ertler (Ex-Immobilien.net) entschieden, gemeinsam weitere 100.000 Euro investieren. Innerhalb weniger Wochen hat damit das am A1 Start Up Campus beheimatete Unternehmen 450.000 Euro aufgestellt, um weiter investieren zu können. Zur Erinnerung – bereits im Februar hat Pioneers Ventures 250.000 Euro für das Smart-Parking-Service zugesagt. Wir gratulieren dem gesamten Team ganz herzlich! Hier geht’s zur Aufzeichnung von Christian Adeslbergers Auftritt bei „2 Minuten 2 Millionen“.","https://www.a1startup.net/wp-content/uploads/2018/05/bdeb86a7fefbc64ba22dc125caeab058_f143.jpg",2016-02-01
"5","https://www.a1startup.net/4936-2/","A1Startup","ÖBIB zu Gast am A1 Start Up Campus","ÖBIB Generalsektretärin Martha Oberndorfer war am vergangenen Dienstag unser Gast am A1 Start Up Campus. Marcus Grausam, CEO A1, Siegfried Mayrhofer, CFO A1 Group, und Mario Mayerthaler, Head of Innovation and A1 Start Up Campus, haben gezeigt, wie Innovationen in der A1 Group entstehen. Dabei wurden Innovationsquellen wie das A1 Start Up Programm, die Zusammenarbeit mit Start Ups sowie das A1 Intrapreneurship erläutert. Bei diesem Programm werden Ideen von Mitarbeitern ausgewählt, die sich unter fortlaufender Bezahlung, ein Jahr um ihr eigenes Projekt kümmern dürfen. Am Campus war unter anderem Boris Grabner zu Gast, der mit seiner Idee „Universal Lock“ bereits im Intrapreneuship Programm akitv ist und veranschaulichte, wie sich das Programm entwickelt. Michael Ziermair, ebenso ein A1 Mitarbeiter, ließ Martha Oberndorfer durch die von Ihm entwickelte AR-Brille blicken. Diese ermöglicht es Bauleistungen zu inspizieren und befüllt zeitgleich mittels Assisted Reality Hardware das dazu gehörige Abnahmeprotokoll. Im Anschluss demonstrierten unsere Start Ups Parkbob und Ready2ORder in ihren Pitches wie sie gemeinsam mit A1 die Kundenportfolios erweitern.","https://www.a1startup.net/wp-content/uploads/2018/06/bib-am-campus.jpg",2019-07-01
"6","https://www.a1startup.net/5g-vienna-use-case-challenge-a1-gewinnt-start-ups-azoomee-scarletred/","A1Startup","5G Vienna Use Case Challenge: A1 gewinnt mit den beiden Start Ups Azoomee und Scarletred","Im Rahmen der „5G Vienna Use Case Challenge“ der Stadt Wien gewinnen die Start Ups Azoome und Scarletred mit ihrem Technologiepartner A1 in den Kategorien Bildung und Gesundheitswesen. Azoomee revolutioniert den Geschichtsunterreicht an Wiener Schulen mithilfe von Augmented Reality und Scarletred schafft telemedizinische Wundversorgung für die mobile Pflege in Wien. Marcus Grausam, CEO A1 Österreich: „Als A1 legen wir mit unserem 5Giganetz die Basis für neue Services und Möglichkeiten und unterstützen besonders auch Wiener Betriebe, Start Ups und Privatpersonen dabei, die Vorteile der Digitalisierung für sich zu nutzen. Wir sind stolz, dass die Siegerprojekte von Azoomee und Scarletred in den Kategorien Bildung und Gesundheit aus unserem Haus kommen. Augmented und Virtual Reality werden in Zukunft wichtige Anwendungen für 5G sein – gerade im Bildungsbereich -, und auch die Medizin wird von 5G und den Möglichkeiten sicherlich profitieren.“ Die Siegerprojekte von Azoomee und ScarletredAzoomee ist ein globales Medienunternehmen und App-Entwicklungsstudio, das sich auf Anwendungen zur pädagogischen Unterhaltung für Kinder konzentriert. Mit ihrem Projekt „Virtual Vienna“ revolutioniert Azoomee den Geschichtsunterricht an Wiens Schulen. Durch 5G werden historisch wertvolle Orte in der Stadt zum Leben erweckt und durch interaktive Aufgaben, durchgeführt von von Oomee-Charakteren in Augmented Reality, lernen die Kinder spielerisch Inhalte. Diese Charaktere führen Kinder durch die Lerninhalte während sie die Stadt erkunden. Die Lösung wird auch im Tourismus einsetzbar werden.„Wir freuen uns unter den Gewinnern der 5G Challenge der Stadt Wien zu sein. Wir können somit vorzeitig die dynamischen Fähigkeiten von 5G nutzen, um Wiens reiche Geschichte in interaktive Augmented Reality-Erlebnisse umzusetzen. Das Projekt passt perfekt zu Azoomees Mission, Kindern Spaß am Lernen zu ermöglichen,“ freut sich Douglas Lloyd, CEO von Azoomee über den Ausgang der 5G Use Case Challenge. Das österreichische eHealth Unternehmen Scarletred zielt mit seiner telemedizinischen Lösung auf den Pflegenotstand im Bereich der häuslichen dezentralen Behandlung chronischer Wunden ab. „Wir freuen uns ganz besonders über den Sieg in der Kategorie Gesundheit und bedanken uns vor allem für das Vertrauen in unser Medizinproduktsystem. Die neue Partnerschaft zwischen Scarletred und der A1 Telekom Austria und die hierdurch ermöglichte frühzeitige Nutzung von 5G, liefert die einzigartige Möglichkeit einen per AI unterstützten telemedizinischen Service für die Stadt Wien und deren Bevölkerung aufzubauen,“ freut sich Dr. Harald Schnidar, CEO Scarletred.Das Medizinproduktsystem von Scarletred ist voll mobil und daher jederzeit und überall einsetzbar, zudem werden die gesammelten Daten anonymisiert gespeichert. Seit 2015 wird die Software international bei der Entwicklung neuer Arzneimittel und Therapien von pharmazeutischen Unternehmen und Medizinern im Rahmen von klinischen Studien und seit Anfang 2019 in Pilotstudien angewendet. Dank dieses Systems können neue Wirkstoffe leichter bewertet, die Forschung beschleunigt und sichere Therapien für Patienten entwickelt werden. Zudem können Sozialversicherungen enorme Kosten einsparen, da ineffiziente Pflegemaßnahmen früher erkannt und entsprechende Maßnahmen getroffen werden können. Die 5G Vienna Use Case ChallengeMit der „5G Vienna Use Case Challenge“ für Startups, Technologie- und Industrieunternehmen setzt die Stadt Wien ihren Digitalisierungsschwerpunkt fort. Mit 400.000 Euro gefördert werden konkrete Anwendungen der 5G Technologie, die Realisierung der Pilotprojekte erfolgt in Kooperation mit Partnerunternehmen aus der Mobilfunkbranche.Neue 5G Lösungen sollen dazu dienen, die Lebensqualität der Bevölkerung weiter zu erhöhen und deren Leben einfacher und sicherer zu gestalten. Um dies umzusetzen, startete die Stadt Wien im Herbst 2019 einen Call for Papers, um durch die 5G-Technologie ermöglichte Anwendungen zu lokalisieren und deren Pilotbetrieb im Jahr 2020 zu starten.","https://www.a1startup.net/wp-content/uploads/2020/01/5g-vienna-use-case-challenge-a1-gewinnt-mit-azoomee-scarletred.jpeg",2020-05-01
"7","https://www.a1startup.net/a1-im-auftrag-der-jugend-am-a1-start-up-campus/","A1Startup","A1 im Auftrag der Jugend am A1 Start Up Campus","Mit Juni nimmt sich ein internes A1 Team eine Auszeit vom Corporate Alltag – und wechselt an den A1 Start Up Campus. Das Jugendsegment Team nutzt unseren Campus, um in einem neuen Umfeld neue Ideen zu entwickeln und Arbeitsweisen auszuprobieren. Ganz nach dem Motto „Wenn du etwas erreichen willst, das du noch nie erreicht hast, musst du etwas tun, das du noch nie so getan hast“, werden sie für die junge Zielgruppe von A1 über neue Produkte und Services nachdenken. Ihr Ziel: Den Jugendlichen genau zuzuhören und verstehen, was sich diese Zielgruppe alles wünscht und vor allem braucht. Wir freuen uns, wenn das Team bei dieser Aufgabe vom Start Up Spirit, den Kontakt mit den anderen Start Ups und dem kreativen Umfeld profitiert. Viel Spaß und Erfolg beim Erkunden der jugendlichen Lebenswelten!","https://www.a1startup.net/wp-content/uploads/2018/05/f24b5dd667d64db6c410c589ac9035a2_f156.jpg",2017-01-01
"8","https://www.a1startup.net/a1-iot-challenge-unifly-ist-europas-innovativstes-iot-start-up/","A1Startup","A1 IoT Challenge: Unifly ist Europa’s innovativstes IoT Start Up","Beim Finale der A1 IoT Challenge am 25.6. im A1 Headquarter traten die besten fünf Start Ups in einem Pitching-Wettbewerb gegeneinander an. In einer dreiminütigen Präsentation und der darauffolgenden Q and A – Runde galt es, die Jury und das anwesende Publikum zu überzeugen. Durchsetzen konnte sich die Drohnenlösung Unifly aus Belgien: Ellen Malfliet, Chief Marketing Officer von Unifly konnte mit ihrem Pitch überzeugen. Das Unternehmen entwickelt Software-Applikationen, die den Drohnen-Verkehr in geringer Luftraumhöhe erleichtern. Die Tools von Unifly informieren Drohnen-Anwender, wo es sicher und legal ist, zu fliegen und ermöglichen der Behörde und Interessenvertretern, den Drohnenverkehr zu tracken und ihren Luftraum zu verwalten. • Das Gewinner-Start Up der A1 IoT Challenge ist Unifly• 237 Bewerbungen aus 32 Ländern• Das 85.000€ Gewinner-Package geht nach Belgien Europaweite SucheDieses Jahr wurde erstmals europaweit gesucht und der Wettbewerb stieß auf großes Interesse. „Insgesamt sind 237 Bewerbungen aus 32 Ländern für die IoT Challenge eingelangt. Alle fünf Finalisten haben großartig gepitcht und beeindruckende Produkte und Lösungen präsentiert, die durch Digitalisierung das Leben der Menschen einfacher und smarter machen“, so Thomas Arnoldner, CEO A1 Telekom Austria Group. Nach mehreren Vorauswahlen standen die Top fünf fest: Neben Unifly pitchten im Finale Gestalt Robotics aus Deutschland, diese entwickeln Softwarelösugen für Automatisierung in den Bereichen Robotik und autonome Mobilität. Sensoneo aus der Slowakei bietet intelligente IoT-Sensoren und Softwareanwendungen für eine smarte Abfallverwaltung. Waytation aus Österreich wertet Besucherströme auf Kongressen, Messen und Events mithilfe einer eigens entwickelten Bluetooth-Lösung aus. Vialytics analysiert mithilfe von künstlicher Intelligenz den Straßenzustand, damit Schlaglöcher schnell behoben werden können. Jury und KeynoteUnter den Juroren befand sich auch A1 Österreich CEO Marcus Grausam: „Das Internet der Dinge wird immer stärker in all unsere Lebensbereiche vordringen. Deswegen haben wir heuer den IoT Schwerpunkt gesetzt und Start Ups gesucht, die uns dabei unterstützen können.“ Zudem waren Francis Cepero, Director Vertical Market Solutions bei A1 Digital, Gerald Friedberger, Country Manager Österreich bei der Software AG, futurezone-Chefredakteurin Claudia Zettel sowie der stellvertretende Chefredakteur Thomas Prenner in der Jury. Durch den Abend führte die Herausgeberin des Magazins Metropole und Austrian Start Up Board Member Maggie Childs. Ein weiteres Mitglied der Jury war der Keynoter des Abends Hans-Peter Ressel. Er ist Founder von Momentum Commerce und Co-Founder der Shoppingplattform Lazada, mit der das Unternehmen einen Exit an Alibaba geschafft hat. FolgendeTiopps hatte er für die Entrepreneure: Richtige Entscheidungen kommen von Erfahrung und Erfahrung kommt von falschen Entscheidungen“, so Ressel. Als guter Chef solle man außerdem immer bescheiden bleiben: „Kassiert nie das Lob, aber nehmt immer die Schuld auf euch“, so Ressel. Das GewinnerpackageDas Sieger-Start Up Unifly darf sich nicht nur über den möglichen Einzug in den A1 Start Up Campus freuen, sondern bekommt auch ein Acceleration-Paket im Wert von 85.000 Euro. Das Paket umfasst 10.000 Euro in bar, Marketing-Dienstleistungen, Beratung durch Digitalisierungsexperten, die Integration in ein weltweites Netzwerk, Zugang zum IoT-Labor von A1, Zugang zu einer IoT- und Machine-Learning-Lernplattform sowie zahlreiche Kooperationsmöglichkeiten im A1 Start Up Campus. Außerdem gibt es mediale Berichterstattung bei der futurezone, dem Medienpartner der A1 IoT Challenge.","https://www.a1startup.net/wp-content/uploads/2019/09/A1-IoT-Challenge-1.jpg",2020-04-01
"9","https://www.a1startup.net/a1-produkt-package-fuer-start-ups/","A1Startup","A1 Produkt Package für Start Ups","Gemeinsam mit den Austrian Start Ups und anderen Partnern hat A1 für die österreichische Start Up Szene ein attraktives Package geschnürt – geboten werden maßgeschneiderte Leistungen, die das Gründerleben einfacher machen sollen. Alle Start Ups, die bei den Austrian Start Ups (kostenlos) Mitglied sind, können dieses Paket ab sofort nutzen: Vergünstigte Angebote gibt es genauso für Rechts- oder Steuerberatung, wie die Nutzung von Co-Working Space bis hin zu Telekommunikationsleistungen. Hier ist A1 exklusiver Partner: A1 bietet 25 Prozent billigere Handy-Tarife und bis zu 166 Euro Rabatt auf neue Smartphones und Tablets für Start Ups. Alle Details zu den Angeboten gibt’s hier: http://www.austrianstartups.com/services/startup-package","https://www.a1startup.net/wp-content/uploads/2018/05/9598df6eced22bbcdf90392bbc60a96b_f164.jpg",2017-12-01
"10","https://www.a1startup.net/a1-start-up-parkbob-erobert-den-big-apple/","A1Startup","Parkbob erobert den Big Apple","Das A1 Start Up expandiert rund um den Globus: Next Stop New York City und Los Angeles. Mittels selbstlernender Algorithmen und angewandter Data Science erkennt Parkbob automatisch welche der – teils überlappenden – Parkregeln zum aktuellen Zeitpunkt gültig ist. „Wir freuen uns, nun auch den Menschen in der größten Metropole der USA beim Finden von Parkplätzen und Vermeiden von Parkstrafen zu helfen. New York City ist ein Meilenstein für uns. Wir verstehen die Komplexität der Parkregeln großer US Metropolen jetzt viel besser und konnten unsere Technologien dementsprechend anpassen. Die Expansion in weitere US Städte wird uns nun viel leichter fallen“, erklärt Christian Adelsberger, CEO Parkbob. Weltweit 160 weitere Städte in den nächsten 2 Jahren Heuer sollen noch weitere 30 Städte weltweit erschlossen werden, 20 in den USA und Kanada. Parkbob-Gründer Christian Adelsberger ist optimistisch, das zu schaffen: „Wir haben Algorithmen, die fahrende Autos oder Schatten berechnen und die Stellflächen perfekt bestimmen. Das macht uns viel genauer und schneller“. Darüber hinaus ist Parkbob in Amerika nun Mitglied der BMW Startup Garage und arbeitet mit dem BMW-Carsharing-Ableger ReachNow zusammen. ","https://www.a1startup.net/wp-content/uploads/2018/05/Parkbob_final-e1527095230122.jpg",2019-10-01
