"","article_URL","creator","article_title","content","date","img_link"
"1","https://www.agroinnovationlab.com/252-applications-from-53-countries-for-the-startup-program-2018/","AgroInnovationLab","252 applications from 53 countries for the StartUp Program 2018","Vienna/Munich, 2 May 2018 – Applications for this year’s Acceleration & Market Entry Programme offered by the Agro Innovation Lab (AIL) have now closed, with a wave of last minute applications received just before the deadline. 252 startups from 53 countries have submitted an application this year, almost the same number of young companies that applied in 2017. This year, the programme was recalibrated, specifically targeting start-ups that have already convinced first customers with their innovation and would like to grow their business both domestically and globally. The joint innovation platform offered by BayWa AG and RWA Raiffeisen Ware Austria AG started the competition in 2016. The objective is the early identification of innovations for the agricultural sector and to support the most promising start-ups regarding their further development and market strategies. 38 out of the 252 applying start-ups are based in the USA, making it the leader of the top ten countries of origin. India follows on the second place with 33 and Germany takes place three with 22 start-ups. Applications were received from companies on all continents. 43 percent of applicants are headquartered in Europe. By far the highest number of applications was submitted for the agriculture technology field with 173 entrants, with many entries in the fields of organic agriculture, crop production overall, nutrition and trade of produce. Over the next few days, the AIL will internally select the 100 most promising start-ups. The first milestones in the competition among the remaining young companies will be their remote pitches, which are scheduled for June. In their pitch, the competing companies will be asked to convince their potential mentors for the Acceleration & Market Entry Programme in a presentation only lasting a few minutes. The finalists will then be invited to the next round, the Finalist Days in Munich. We will know the names of the start-ups that will have made it into this year’s programme in August 2018. Editor: Antje Krieger BayWa AG, Head of PR/Corporate Communications/Public Affairs Tel. 089/9222-3692 Email: antje.krieger@baywa.de","2. May 2018","https://www.agroinnovationlab.com/wp-content/uploads/2018/02/csm_Thank_you_for_252_applications_fc682b1a64.png"
"2","https://www.agroinnovationlab.com/778/","AgroInnovationLab","Tesco Announces 10 Start-Up Finalists for its Agri T-Jam at World Agri-Tech Pitch Day","Ten agri-tech start-ups from around the world will realise the opportunity to pitch to the UK’s leading retailer Tesco and its supply chain partners, as they go head to head at the second Tesco Agri T-Jam and World Agri-Tech Pitch Day on October 14. The selected finalists are: Arcis Biotechnology (UK) specialises in the rapid innovative room temperature extraction and stabilisation of nucleic acids. Arcis kits are especially suited to in field extraction of nucleic acids including DNA and RNA, require no specialist equipment and stabilise nucleic acids for up to 90 days at room temperature. Its products have proved particularly attractive to scientists testing for disease in soil, crops and livestock. Biosystems Engineering, or BioE (UK) is active in the application of IoT across the agri-food industry, from farm to table, including precision agriculture and food chain traceability. Its CyberBar technology provides a tamper-proof system for assuring the provenance of food products while also delivering a novel approach to reducing food waste in the home. BlakBear (UK) builds novel chemical sensors, electronics and software to help the world feel, understand and improve itself. From soil and food to air and water quality, in the field and across supply chains, it is pioneering the digital interface to the biochemical world. Blakbear’s latest research focuses on ultra-low-cost packaging sensors for fish and meat products, to reduce waste and prevent food-borne diseases arising from spoiled foods. CCm Technologies (UK) transforms costly waste materials including CO2, ammonia and phosphorus back into valuable, sustainable, ultra-low carbon footprint products, such as fertilisers and plastics, with multiple applications across food, agriculture, wastewater treatment and energy. The technology is economically viable without reliance on government subsidies and will contribute to solving the challenges of GHG emissions and deteriorating soil health. Faromatics (Spain) employs robotics, artificial intelligence and big data to increase animal welfare and farm productivity in intensive animal production. Its flagship product, the ChickenBoy, is the world’s first ceiling-suspended robot that monitors ambient conditions, health and welfare and equipment function for broiler chickens. It is currently being tested in several European countries and full commercialisation will start at the end of 2019. Metronome Technologies (UK) combined hardware and software platform provides best-in-class cold storage management. Unlike traditional cold storage, its system uses AI to predict and actively manage when heating or cooling will be required within pre-defined boundaries, allowing power consumption to be shifted around in the day while keeping produce in optimal conditions. This shift creates new opportunities for matching demand to supply – Metronome has turned the farm into a giant battery, storing renewable energy in vegetables. N2 Applied (Norway) aims to fundamentally improve global food production. N2’s technology enables the farmer to produce fertiliser on the farm from manure or biogas digestate, air and renewable energy. The result is fertiliser produced with lower GHG emissions, that provides a similar yield to mineral fertiliser, at a competitive cost to the farmer. The technology significantly reduces laughing gas, methane and ammonia emissions in the storage and spreading of manure. Proteon Pharmaceuticals (Poland) uses precision biology for microbiome protection to improve animal and human health, increasing environmental sustainability and eliminating the unnecessary use of antibiotics. Its advanced phage technology platform combines genomics, bioinformatics, materials engineering and molecular biology enabling the company to discover, develop and deliver bacteriophages as a means of bacterial control in animal farming. Roboscientific (UK) has developed a new generation of sensors for detecting disease, infestation and contamination in agricultural products using Volatile Organic Compounds. The technology is fast, reliable and affordable and at the point of commercialisation for its automatic early disease detection system for growing broiler poultry and early alerts of spoilage in stored potato and onion crops. SmartBell (UK) is an animal health management platform for livestock. Its real-time monitoring solution uses AI and Internet of Things technology to record vital signs and enables disease detection, helping to decrease costs, achieve optimal growth targets and improve margins. The product is uniquely designed to work from the birth of an animal and is able to track key health information through its life, helping farmers improve profits and producers and supermarkets to improve their supply chain sustainability. Commenting on the entries, Natalie Smith, Head of Agriculture at Tesco, said: “It’s been a challenging but exciting process to review nearly 100 innovative ideas from around the world, offering so much potential to the industry. We’re especially grateful for the input from our supply chain partners for their specialist feedback about how these could be applied in the field. We look forward to working together with at least one of those tech companies after choosing the winner next month.” The Agri T-Jam will take place at Tesco’s HQ in Welwyn Garden City, offering the startups the potential to meet more Tesco colleagues and supplier partners, as well as the summit’s key investor audience. Each finalist will have seven minutes to pitch their idea, before fielding questions from the panel. The winning company will also pitch to the full World Agri-Tech Innovation Summit as part of the start-up Technology Showcase, enjoying high visibility to a powerful delegate audience of 500+ international agribusiness leaders and investors.","23. September 2019","https://www.agroinnovationlab.com/wp-content/uploads/2020/07/Tesco_Judges_2019.png"
"3","https://www.agroinnovationlab.com/a-hot-topic-at-the-farm-food-4-0-agronomic-data-in-agriculture/","AgroInnovationLab","A hot topic at the Farm & Food 4.0: Agronomic data in agriculture","One topic that was much discussed at Farm & Food 4.0 was agronomic data, a topic that is also of constant interest to the Agro Innovation Lab. This is data about agriculture that enables knowledge to be gained faster and more objectively than viaconventional methods. The focus of the discussion in Berlin was digital images that are generated by carrier systems such as satellites, drones or other machines. How can farmers be supported in using such agronomic data? This question was addressed in a panel discussion – with the outcome that concluded that it is not the generation or transmission of such data that is critical, but rather its interpretation. For this reason, it will be important in the future to automate processes in such a way that farmers do not even notice that satellite data is involved. Instead, this data should be interpreted – and recommendations for actions given – automatically. However, we have to keep in mind that satellite images are only superficial images that are not always reliable, as a result of which recommendations for action should be marked with a quality rating. This was also confirmed from a farmer’s perspective. Offers to farmers will increasingly develop from products to services, including in the field of agronomic data. Therefore, an ideal future perspective is that farmers will be able to make more precise field management decisions based on sensor data and to automate and document processes such as fertilization and plant protection. These insights into agronomic data lead us to hope that in future, numerous startups will deal with the interpretation of satellite data. We will stay tuned and constantly screen the market for solutions that could be interesting for RWA and the Lagerhaus cooperatives.","19. March 2020","https://www.agroinnovationlab.com/wp-content/uploads/2020/05/csm_Logo_A_FAF_big_6759b1b9dd.png"
"4","https://www.agroinnovationlab.com/aglaunch-farm-journal-row-crop-challenge/","AgroInnovationLab","AgLaunch & Farm Journal Row Crop Challenge","Early-stage agtech startups focusing on row crop innovations can now apply for a chance to pitch their idea before a national audience of leading farmers, retailers, farm advisors, and agronomists at Farm Journal’s 2019 AgTech Expo and compete for $200,000 worth of development services and investment from AgLaunch and partners. The 10 startups accepted for the Row Crop Challenge will: Receive one week of startup support services to refine the startup’s value proposition and prepare to pitch to row crop farmers and agricultural investors Showcase their companies at a highly visible 20×20 exhibit on the floor at Farm Journal’s AgTech Expo Pitch during the evening reception to a panel of farmers and agricultural investors to be one of the 6 startups selected for participation in AgLaunch365 – a $200,000 value comprised of investment capital and services Up to 6 startups pitching at AgTech Expo will be offered a spot to participate in AgLaunch365, which will start in January 2020 and includes $75,000 venture capital investment and startup support services valued at over $125,000. The application deadline is October 1, 2019, but applications will be evaluated as they are received. Accepted teams will be notified by October 15, 2019 and will be expected to spend November 11-15 in Memphis to prepare for AgTech Expo and participate in stage and demo-floor activities at AgTech Expo on December 16-17 in Indianapolis. More information can be found HERE","19. September 2019","https://www.agroinnovationlab.com/wp-content/uploads/2020/07/csm_Flyer_bearbeitet2_6c9acd5523.png"
"5","https://www.agroinnovationlab.com/agro-innovation-lab-awarded-global-innovator-award/","AgroInnovationLab","Agro Innovation Lab awarded Global Innovator Award","Munich/Vienna, 22/06/2018 – The Agro Innovation Lab (AIL), innovation platform of both BayWa AG and RWA Raiffeisen Ware Austria AG, has been awarded the Global Innovator Award for the “Born Global Innovators” category. With it, the Austrian Economic Chamber acknowledges the innovative successes the agricultural start-up accelerator has achieved since its founding in 2016. A total of 650 start-ups from around 70 different countries have so far applied to the AIL’s acceleration program. Ten young companies have successfully completed the program. For two start-ups, this led to an investment by or cooperation with BayWa and RWA. Shortly, the third AIL acceleration program will begin. “Our goal is to play an active part in the future of the agricultural industry and develop innovations for our customers,” said Klaus Josef Lutz, BayWaAG’s chairman of the executive board. “We reach this goal by supporting start-ups all over the world dealing with new technologies and strategies specifically for the agricultural industry.” The director of the AIL, Reinhard Bauer, accepted the award on behalf of the eleven members of his young team. “We have invested a lot of energy in the past years looking for groundbreaking ideas and promising start-ups. I’m proud of what we have achieved, and knowing our initiatives and contributions to both the international and domestic markets are appreciated makes me very happy.” The Global Innovator award was awarded this year for the first time. The accolade was awarded during Austria’s largest export exhibition, the Export Day of the Austrian Economic Chamber. Image (© Fotospeed/Ulrich Schnarr, publication free of charge) The director of the AIL, Reinhard Bauer (in the middle), accepted the award on behalf of the eleven members of his young team. Editor: Antje Krieger BayWa AG, Head of PR/Corporate Communications/Public Affairs Tel. 089/9222-3692 Email: antje.krieger@baywa.de","22. June 2018","https://www.agroinnovationlab.com/wp-content/uploads/2020/05/csm_180622_Innovation_Award__1_von_1__fbb10283bf.jpg"
"6","https://www.agroinnovationlab.com/ail-is-focusing-on-iot-sustainability-climate-protection-and-automation/","AgroInnovationLab","AIL is focusing on IoT, sustainability & climate protection, and automation.","In addition to the further development of our existing service portfolio and the organization of specific innovation challenges, our focus in 2021 will be on the development of products and services related to our core topics of the Internet of Things (IoT), sustainability & climate protection, and automation. The aim is to ensure that new developments and trends are useful to farmers. IoT & digitalization: In agriculture, the use of sensor technology and the digitalization of processes offer huge potential for increasing efficiency and supporting informed decision-making – for both smaller and larger farms as well as contractors. To this end, AIL is on the lookout for practical solutions, both for location-specific tasks, such as the storage of agricultural products, and for farmers, for whom each step in a process can be automatically documented. The transmission of machine data can ensure the timely delivery of spare parts. Sustainability: Agriculture makes an important contribution to climate protection, which should be both increasingly highlighted and developed further in order to counteract climate change. The European Union’s Farm-to-Fork Strategy, which was presented in 2020, clearly shows that sustainable management in agriculture is a key topic for the future. Agriculture and forestry are the only sectors that have the potential to actively bind CO2 by building up humus in the ground. This is why 2020 also saw the launch of our new Lagerhaus program “Future Earth”, which rewards farmers for their work in the area of sustainable humus formation. This will be followed by the further development of this program, together with the evaluation of ways of reducing methane levels and other climate protection aspects of agriculture. Automation: The Agro Innovation Lab has been focusing on automation for some time. Last year’s Robotics Challenge clearly demonstrated the potential in this area. The task is now to put the suitable devices into practice. In recent months, some robotics developers have been able to arouse interest with new developments, which were also presented at the annual French robotics trade fair “FIRA” at the beginning of December. Our objective in the field of automation is to further expand the Agro Innovation Lab’s pioneering role as a robotics competence partner and to identify the best devices by carrying out practical assignments together with interested farmers. We want to pick up on trends in agriculture and make innovations usable in cooperation with a range of partners, especially farmers. We are always happy to receive suggestions and ideas. Image (c) Robert Gebauer, AIL ","21. December 2020","https://www.agroinnovationlab.com/wp-content/uploads/2021/03/ZE_web_RG-6-kleiner-e1616762139130.jpg"
"7","https://www.agroinnovationlab.com/autonomous-green-space-management/","AgroInnovationLab","Autonomous green space management","In response to the threat of a ban on herbicide use and the increasing shortage of skilled workers, we have started pilot trials of autonomous green space management for large agricultural areas together with Vitirover, a French manufacturer of mowing robots. In 2020, these trials will be carried out in a number of vineyards as well as in an electricity substation. Thanks to our initial successes and high customer demand we are optimistic that we will soon be able to commercialise the service for our customers. As a participant in the Acceleration Program of the Agro Innovation Lab in 2018, Vitirover was able to reach many important commercialisation milestones in cooperation with the technical experts of RWA: – Carrying out of several pilot trials in Austrian vineyards, organised and supervised by AIL, in cooperation with the University of Natural Resources and Applied Life Sciences and the Krems School of Viticulture – Expansion of the target group by adding electricity substations, including a pilot test with two Vitirover mowing robots – Technical training of an RWA project manager in St. Emilion, France – Development of the business model “robots as a service” Further information about Vitirover itself can be found here. Project findings The pilot tests confirm high customer demand for autonomous green space management. In the vineyard, precise weed control close to and between the vines is very important. With its front-mounted knife motors, the Vitirover is ideally suited for this. The Vitirover is powered by an integrated photovoltaic module rather than a charging station. The output per unit area fluctuates due to the shadows of the vines and the higher energy requirements caused by uneven ground but can be increased by changing the integrated buffer battery. The optimisation of this output per unit area is the focus of the ongoing pilot tests. The main focus in electricity substations is on the safety of the work process. Here, the output per unit area can be increased by reducing the number of obstacles. If you are interested, please contact us at: office@agroinnolab.com Photos: AIL, Hannes Schauer","12. August 2020","https://www.agroinnovationlab.com/wp-content/uploads/2020/08/Vitirover_Weingarten-e1597828662785.jpg"
"8","https://www.agroinnovationlab.com/back-to-the-roots/","AgroInnovationLab","Back to the Roots","Claudia Mittermayr took over the management of AIL on June 1st 2020, alongside her function as Head of the Farming Innovations Department at RWA Raiffeisen Ware Austria AG. Claudia Mittermayr was involved in the founding of the Agro Innovation Lab in 2016. Prior to this, she had gained extensive experience with our parent company, RWA Raiffeisen Ware Austria AG, as a project assistant in the field of operating resources and, later, as she built up the Farming Innovations Department. The Farming Innovations Department currently offers services such as corn borer control by drone, the Lagerhaus weather app and soil sampling. The Agro Innovation Lab continues to focus on its role as an innovation driver for the RWA Group and the Lagerhäuser. David Saad, who had been CEO of AIL since 2019, remains loyal to the Raiffeisen Warenverbund and is now supporting a Lagerhaus in Lower Austria with his experience and knowledge. We are looking forward to the results of the exciting cooperation amongst the new team! Photo: RWA ","10. June 2020","https://www.agroinnovationlab.com/wp-content/uploads/2020/08/Claudia-Mittermayr-e1597832340745.jpg"
"9","https://www.agroinnovationlab.com/bartsparts-where-farmers-can-find-spare-parts-online-from-more-than-600-warehouses/","AgroInnovationLab","BartsParts – Where farmers can find spare parts online from more than 600 warehouses","As a participant in the Agro Innovation Lab’s Acceleration Program in 2017, BartsParts was able to lay the foundation for today’s success in cooperation with experts from RWA and BayWa: More than 200 connected spare parts warehouses from RWA and BayWa (out of a total of more than 600 across Europe) provide the basis for a wide-ranging catalog of spare parts on the platform. The initial financing by RWA and BayWa of approximately 22% of the shares allow for internationalization and exponential growth. Participation in “Agritechnica,” the world’s leading trade show for agricultural technology, and networking with well-known market participants in Germany and Austria help to establish BartsParts as an independent platform in German-speaking countries. How BartsParts works for farmers: BartsParts connects the inventories of a global network of agricultural dealers and bundles them in a complete catalog on an integrated website. At bartsparts.de you can buy spare parts of any brand and have these delivered directly to your home by the dealer. The BartsParts range currently includes more than 650,000 different part numbers and has a net value of over 100 million euros. How BartsParts works for dealers: Using their IT platforms, dealers upload their inventory of spare parts, retaining control of the choice of parts, prices, and discounts. This inventory is then linked to the central database and available online to clients around the globe. BartsParts’ multilingual platform supports buyers with its secure ordering and payment process. As soon as a part is sold, the order is confirmed and the dealer receives a packaging label and prepares the order for shipment. Finally, BartsParts takes care of logistics, customer service, and the payment to the dealer to complete the full process of the sale while providing the best possible user experience.","29. April 2020","https://www.agroinnovationlab.com/wp-content/uploads/2020/05/csm_BartsParts_News_7ff9c1ab46.jpg"
"10","https://www.agroinnovationlab.com/de/252-bewerbungen-aus-53-laendern-fuer-start-up-programm-2018/","AgroInnovationLab","252 Bewerbungen aus 53 Ländern für Start-up-Programm 2018","München/Wien, 02.05.2018 – Mit einer Welle an Bewerbungen kurz vor Schluss ist die Bewerbungsphase um eine Teilnahme am diesjährigen Acceleration & Market Entry Programm des Agro Innovation Lab (AIL) zu Ende gegangen. Mit 252 Start-ups aus 53 Ländern haben sich ähnlich viele Jung-Unternehmen beworben wie 2017. In diesem Jahr hat das AIL ihre Ausschreibungskriterien leicht verändert und explizit Start-ups angesprochen, die mit ihrer Innovation bereits erste Kunden überzeugen konnten und ihr Geschäft national und international ausbauen möchten. Seit 2016 schreibt die gemeinsame Innovationsplattform von BayWa AG und RWA Raiffeisen Ware Austria AG den Wettbewerb aus. Das Ziel ist, Innovationen für die Landwirtschaft frühzeitig zu entdecken und die Start-ups, die am meisten überzeugen, bei der Weiterentwicklung und beim Marktauftritt zu unterstützen. 38 der 252 Bewerber-Start-ups sitzen in den USA, womit die Vereinigten Staaten die Top Zehn der Herkunftsländer anführen. Auf den Plätzen Zwei und Drei folgen Indien (33) und Deutschland (22). Bewerbungen gingen von jedem Kontinent ein. 43 Prozent der Teilnehmer haben ihren Sitz in Europa. Die mit Abstand meisten Bewerbungen gingen mit 173 im Suchfeld Agrartechnik (AgTech) ein. Stark vertreten waren zudem Innovationen zur Biologischen Landwirtschaft, zur Pflanzenproduktion allgemein, zu Themen rund um die Ernährung und zum Handel von Agrarerzeugnissen. In den nächsten Tagen wird das AIL intern die überzeugendsten 100 Start-ups auswählen. Erster Meilenstein für die im Wettbewerb verbleibenden Jung-Unternehmen werden im Juni die Remote Pitches sein. Dabei sollten die Teilnehmer ihre zukünftigen Mentoren im Acceleration & Market Entry Programm in wenigen Minuten Vortrag von ihrer Geschäftsidee überzeugen, um in die nächste Auswahlrunde – die Finalist Days in München – eingeladen zu werden. Welche Start-ups es schließlich in das diesjährige Programm geschafft haben werden, wird im August 2018 feststehen. Redaktion: Antje Krieger BayWa AG, Pressereferentin PR/Corporate Communications/Public Affairs Tel. 089/9222-3692 E-Mail: antje.krieger@baywa.de","5. Februar 2018","https://www.agroinnovationlab.com/wp-content/uploads/2018/02/csm_Thank_you_for_252_applications_fc682b1a64.png"
