"","article_URL","creator","article_title","content","date","img_link"
"1","https://austrianstartups.com/12-months-of-austrianstartups-rephil-starting-up-part-time-finding-focus-channeling-your-inner-entrepreneur/","AustrianStartups","12 months of AustrianStartups & rePhil: Starting up part time, finding focus & channeling your inner entrepreneur","A year ago, I faced a tough decision. Should I pursue my own startup idea, or should I accept a job offer to become CXO at AustrianStartups’? I was torn. With AustrianStartups I could improve the Austrian ecosystem by helping others to fulfill their entrepreneurial ambitions. However, I was also very passionate about my sustainable venture rePhil, a new system for reusable takeaway packaging. I questioned whether I could inspire others to pursue their innovative ideas if I don’t lead by example and start my own business. After a month of weighing the options, I decided to pursue both. I joined AustrianStartups as CXO on a part-time basis while simultaneously working on launching rePhil. We were concerned that neither of these roles could be handled with only a part time commitment and that the decision might send mixed signals. But I saw synergies in the combination. I was fortunate that Markus and the board of AustrianStartups gave me the flexibility to join as part-time CXO and that my team at rePhil supported my decision. Ultimately, the setup seemed perfect – I felt I was fulfilling in my role at AustrianStartups by applying my learnings from rePhil to improve the startup ecosystem in Austria. I could also use the knowledge and network I gained with AustrianStartups to grow rePhil. Though I worked long hours, the combination worked out well for the first six months. RePhil was making fast progress: We gained a new team member Alex, launched with our pilot customer the cafeteria at A1 telecom, and joined multiple acceleration programs. At AustrianStartups we set a new focus on sustainability by launching circle17, got 19 of the AS Agenda points into the turquoise-green government program and created a strategy for a new project: the Entrepreneurial Leadership Program, fostering the most promising future entrepreneurial leaders in Austria. Then, the global pandemic took us by surprise. At first, the lockdown seemed to improve our work. At rePhil, we were faster than expected with developing the app, and we climbed an extremely steep learning curve. We dove deep into user journeys, UI and UX design and what it needs to develop an app. At AustrianStartups we mobilized the community by launching Hack the Crisis, set up a survey to track the immediate effect of the pandemic on startups in Austria, and virtualized all events and programs, including our newly-launched Entrepreneurial Leadership Program. However, the crisis also showed the weak points in my two-folded strategy. It was a tough journey. Some days I got up and felt like there was a huge weight on top of me and every time I got one burden off my shoulders two new ones appeared. Nevertheless, I learned to understand how to use my strengths, weaknesses, and passions. Here are my key insights from this intense period in the hope you can benefit from my experience. #1 Founding a startup is not a part-time job Being in home office made it increasingly difficult to separate my professions. This made apparent how hard it is to build a startup while acting with full passion and energy in a leadership role in another organization. I gave 120% in both roles and still never had the feeling of doing enough. As my two co-founders worked full-time on rePhil, I was often unaware of certain progress, obstacles or steps we had taken. I wasn’t part of all meetings and to move fast, some decisions had to be made without my vote. This created inevitable friction with my co-founders. After half a year of very little sleep, exuberant highs and devastating lows, we realized, after some long conversations that if we want to get the startup off the ground, all founders would need to commit to the project full-time. This realization didn’t feel right. The canteen market was struggling, and our planed pilot got postponed for an undetermined amount of time. We were very consumed with figuring out our team situation which made our motivation hit rock bottom. On the other side, my work with AustrianStartups energized and inspired me through interesting discussions with our ELP fellows and new projects that were constantly evolving. Almost a year later, I faced the same decision – rePhil or AustrianStartups? #2 You don’t have to be a founder to be an entrepreneur This was the most challenging decision of my life. In order to decide, I reflected on my professional journey. I realized my true passion is to inspire, connect and empower others. What gave me the most energy were the sustainable solutions that developed out of circle17, the inspiring fellows that started to implement their own ideas while participating at the ELP and the energized pupils that came up with inspiring ideas during our entrepreneurship week. Nevertheless, there remained this voice in my head, telling me that I was a phony in my role at AustrianStartups if I hadn’t founded a startup myself. It wasn’t until I realized something profound: You do not have to be a founder to be an entrepreneur. Entrepreneurship means to be open to new ideas, to take risks in order to implement innovative and impactful ideas. This insight gave me the final nudge to focus on my entrepreneurial role within AustrianStartups. #3 Focus sets you free The decision to downgrade my involvement with rePhil, as hard as it was, opened the possibility to focus my energy on AustrianStartups. It allowed me to reflect and take the concept of our programs much further. Even though others felt that I was doing a great job before, I finally felt that I could truly own the leadership position that I signed on for a year ago. Just at that time, AustrianStartups got the chance to launch the dream that was three years in the making: to bring entrepreneurship into grade schools. My commitment to AustrianStartups freed Markus to take a step back from the operational management and focus on working on a more strategic level, putting our NPO more a financially sustainable foundation. We can bring AustrianStartups much further by truly co-leading the organization, which is why, from now on, AustrianStartups has two managing directors: Markus Raunig and myself, Hannah Wundsam. I am excited for this next chapter at AustrianStartups and am confident that together with our amazing team, we can inspire students to make their ideas reality by bringing the inventor spirit into schools, making the entrepreneurship ecosystem more inclusive throughout Austria and helping the government understand which barriers they need to do away with to create an environment in which founders can flourish. Even though, combining my work with rePhil and AustrianStartups was demanding, I don’t regret the experience. I went through the struggles and thrills of an early stage founder and now feel 100% confident that with my full-time commitment to AustrianStartups I can use these learnings to shape the Austrian entrepreneurship ecosystem for the better. Are you with me on that journey? Then let’s do this!","November 8th, 2020","https://austrianstartups.com/wp-content/uploads/2020/11/image-300x300.jpg"
"2","https://austrianstartups.com/a-message-from-our-new-cxo/","AustrianStartups","A message from our new CXO","I never thought I would ever start my own company. Actually, until 4 years ago, I thought that entrepreneurship is something for guys who want to make lots of money quickly, talking in their own language about topics like pitching, pivoting and bootstrapping. Then I met an entrepreneur who completely changed my mind. She founded a social business and when she explained to me the concept of social entrepreneurship I felt that this was the perfect way to connect my business studies to my philanthropical ambitions. So I googled social entrepreneurship Vienna and found the Impact Hub. I joined the hub as a host, and it was only then that I learned to understand, what entrepreneurship really means. It means having a vision and implementing it in order to tackle real needs and have an impact on your customers’ lives. It means recognizing problems and finding creative ways of how to solve them. It means working together in a team of people who share your vision and who take into account long working hours and no salary in order to build something they believe in. And it means a roller-coaster of many emotional highs and lows, often happening on the very same day. Inspired by the social entrepreneurship community I really took a deep dive into the Austrian entrepreneurship ecosystem by joining [sic!]– the students’ innovation centre, working at the start-up Playroom and organising the Entrepreneurship Avenue. After being active on the ecosystem itself, I started to explore my own start-up idea, RePhil, fighting to-go-packaging waste with a circular system for reusable takeaway packaging. Now I had the chance to experience the ecosystem from the founder’s point of view, with all of its perks and challenges. I feel very privileged to have been able to make all of these experiences, which started by a first introduction to the concept of entrepreneurship at Impact Hub. Now, that the ecosystem has shaped me I am proudly joining AustrianStartups to take on the position of a shaper myself. Austria has amazing preconditions for founders. An educated customer base, affordable living situations, a fitting size to test a product or service and great talent. As CXO of AustrianStartups I want to support founders who have a vision and want to have a positive impact on our society. In order to have a viable business it is crucial to be conscious of the social and ecological impact that a venture has. Therefore I am excited to lead together with my colleague Stefan and the team of RespACT the Circle17 project, where we enable cooperation between start-ups and corporates to develop joint projects that tackle the Sustainable Development Goals (SDGs). For my first 6 months as CXO of AustrianStartups I set myself three main goals which shall help to achieve our vision to make entrepreneurship as common as skiing in Austria. To burst our bubble Entrepreneurship in Austria has not yet reached the broad population. With our next projects and events we want to target new groups who are outside of our current bubble. To foster the skills and diversity of our volunteer team Our team of more than 50 volunteers all over Austria are the heart of this organization. I see it as my responsibility to motivate and engage them so they can reach their full potential. Together as a team we can bring AustrianStartups to the next level. To grow AustrianStartups outside of Vienna We have amazing local representatives in every Austrian province. I want to tighten our relation and collaboration within the provinces so we can support entrepreneurship holistically all over Austria. I am looking forward to work together with the team of AustrianStartups to empower entrepreneurs with impactful visions and to truly make entrepreneurship as common as skiing in Austria.","October 25th, 2019","https://austrianstartups.com/wp-content/uploads/2019/10/IMG_20191022_113532-e1572002634324-300x170.jpg"
"3","https://austrianstartups.com/action-plan-to-make-europe-a-global-powerhouse-for-startups/","AustrianStartups","Action Plan to Make Europe a Global Powerhouse for Startups","Startups and scaleups are key to Europe’s future economy and society. They are essential players to make the European Green Deal and the European Digital Strategy a reality. They are key in creating new jobs and sustainable European prosperity. Currently, EU27 boasts more than 80.000 startups of which 51 are unicorns. The investments raised by European startups were 41 billion US dollars in 2020, up from 36,6 billion US dollars in 2019. During Q1 2021 27 innovative companies got a valuation of more than 1 billion US dollar in Europe. At first glance, this is very positive news. However, only 13 of these companies were located in EU27 before the funding round, and only 7 of them will stay in EU27 after the funding round, which paints a much bleaker picture. In the same period, the US produced 67 new unicorns. Estonia, meanwhile, has given birth to more unicorns per capita than any other country in the world. With 7 such companies for a 1,3 million population, this represents 1 case per 185.000 inhabitants. To put this in perspective: to achieve a similar feat, Germany would have to produce more than 400 innovative companies valued at 1 billion US dollars and France more than 300. We believe that Europe should considerably step up its ambitions. A desirable “moonshot” project would be to create an environment that produces 10x more unicorns in 10 years time! To achieve these ambitious goals, we recommend a series of concrete actions, grouped in 4 main themes: Definitions & Data Talent Ecosystems Policy Advising to Member States You can access the action plan with the complete list of recommendations here. In case of questions, please reach out to us at md[at]austrianstartups.com.","May 10th, 2021","https://austrianstartups.com/wp-content/uploads/2021/05/EUActionplan-300x200.png"
"4","https://austrianstartups.com/advisory-board-2-networking-partners/","AustrianStartups","Announcing Advisory Board and 2 Networking Partners","On our mission to increase the visibility of the Austrian startup community and strengthen the entrepreneurial ecosystem AustrianStartups relies on each and everyone of the community: on you. Over the years many stood out in shaping the ecosystem in a special way and helped in creating the startup community as we would call it today. As ambassadors of the community, representatives of a certain group in the community, enablers and networkers 9 outstanding individuals have joined AustrianStartups in our advisory board. Each and everyone stands for a certain group in our ecosystem and has a specific task to support the community. Besides that they help us in realizing our mission, provide us with strategic advice and assist us with their network. Finally, they define the strategy of AustriaStartups together with the management (‘Vereinsvorstand’) to answer the most important needs of the community at the right time. “Stop talking, show us the advisory board” Right, here we go… Andreas Tschas: Startup Hub Austria Andi is the Co-Founder of Pioneers. He focuses on connecting the Austrian with international ecosystems. Birgit Hofreiter: Entrepreneurship at Universities As head of Informatics Innovation Center (i2c) at TU Vienna, Birgit has an eye on fostering entrepreneurship at Austrian universities. Florian Gschwandtner: Connection to Berlin The Runtastic CEO and Co-Founder aims to connect Austria to the vibrant startup hub in Berlin. Hansi Hansmann: Business Angels Connecting business angels and startups is the focus of one of Austria’s most distinguished business angels. Markus Wagner: Connection to Silicon Valley The founder of i5invest is the local ambassador in Silicon Valley to connect Austria with the most important startup hub. Matthias Reisinger: Impact Startups He is the Co-Founder of Impact Hub Vienna and he supports social businesses. Oliver Holle: International VCs The founder of SpeedInvest will establish the connection to international VCs. Werner Wutscher: Old Economy He is the founder of New Venture Scouting and will bridge the gap between old and new economy. Yves Schulz: Startup Hubs Vienna-Bratislava-Budapest As founder of sektor5 he will connect Vienna to our neighbouring hubs in Bratislava and Budapest. Networking Partners for Social Business and Universities Impact startups are an essential part of the Austrian ecosystem. The Impact Hub Vienna is the key player for social businesses from all kinds of industries. As AustrianStartups aims to be a brand for all startups in Austria, it is the logical conclusion to connect with the local hero to foster social entrepreneurship. Not sure what Impact Startups are? Well, they are entrepreneurial ventures whose primary objective is to maximise their social impact rather than the profit. They are addressing and solving societal challenges with innovative new products and services. More than 2/3 of Austria’s entrepreneurs have studied at a university. Therefore, universities make and shape the future startups. The Entrepreneurship Center Network raises awareness of entrepreneurship among students and is an inter-university platform that connects students from different universities and disciplines. It provides them with startup related know-how and useful tools. As the most important platform for students we are happy to have a partner that is focussing on sustainably increasing the number of startups to come out of universities. Finally we want to say thank you: _to all the individuals who helped us over the last 15 months: you are awesome. _to our prime sponsor Internet Foundation Austria (IPA) who supported us in the difficult startup phase. _to all our supporting members who enable us to do our job. There is more to come: stay tuned and subscribe for the newsletter below, follow us on Twitter, Facebook or Instagram. photo credit 1 2","June 18th, 2014","https://austrianstartups.com/wp-content/uploads/2014/06/AS-9-advisory-board-members-300x125.jpg"
"5","https://austrianstartups.com/argentinas-surprising-startup-ecosystem/","AustrianStartups","Argentina’s Surprising Startup Ecosystem","Argentina: a country, most people only connect with soy, meat and a number of economic crises. Few would expect the country to be the home of one of Latin America’s best-developed startup ecosystem, and a vast number of highly successful software companies. But exactly this is the case. Argentinian national unicorns range from “South America’s Amazon” MercadoLibre to globally active FinTechs such as Prisma. Another example is Globant, an IT-outsourcing giant counting now over 10.000 employees. And US multinationals such as Microsoft, Intel, Amazon and IBM are omnipresent in the capital Buenos Aires. What they all are looking for, are Argentina’s highly educated developers and engineers. Tertiary education in Argentina is free of charge and very solid, and while the University of Buenos Aires (commonly known as UBA) counts 300.000 students, in many careers it also ranks 1st on the whole continent. In general, the quality of education in Argentinian universities is certainly on the same level as their European counterparts’. Even foreign students from the Mercosur area are allowed to attend UBA’s courses without restriction or fees, which attracts additional talent from those countries. However, as the country’s economy faces high uncertainty and regular downturns, domestic companies are only capable of employing a fraction of all graduates. In IT, most graduates start their career in outsourcing companies in order to gain experience in various fields but are keen to quickly jump to more exciting jobs. Thus, for foreign companies and domestic startups, it is easier here than virtually anywhere else to find highly educated and experienced talent in the fields of software and engineering. Not to mention the highly favorable Euro-Peso exchange rate, making R&D in Argentina even more competitive. Especially for startups, the Argentinians’ education, creativity, and strong will to take risks provide a more than fertile breeding ground. Modern infrastructure is provided by 50 local coworking spaces, as well as numerous accelerators and business angel networks. To support young ventures, the city of Buenos Aires hosts major initiatives to create additional exchange between investors, startups, and larger corporations. It appears to be successful: while the overall economy may struggle, Argentina’s startup ecosystem breaks one record after another. Every single year. Most important Fields & Technologies Most startups are founded in high-tech fields such as AgTech, BioTech, FinTech, HealthTech, Machine Vision and Telecom. In total, 104 AgTech startups profit from expertise and capital by Argentina’s traditionally strong agricultural sector. BioTech and HealthTech are fueled by entrepreneurial scientists and university spin-offs, and flourish thanks to very liberal regulation. As an institution, the successful public-private company Bionnovo regularly delivers additional breakthrough innovations in the field of Gene-editing. Further, Artificial Intelligence and Machine Vision technologies strive, profiting from cooperation with present giants such as Microsoft, Intel, AMD, Amazon and Google, and are additionally fostered in the course of Argentina’s designated national AI plan. VC funds mainly from the US have realized the opportunity long ago, and are actively looking for startups to invest in the country. They are also fast in inviting them to San Francisco and Silicon Valley after closing an investment. They compete with regional funds such as NXTP Ventures (FinTech and AgTech) or Kaszek Ventures (Telecom and Software), and corporate venture funds run by national unicorns like MercadoLibre, Despegar and Globant, as well as domestic enterprises like YPF (energy), Litoral (BioTech), or the local branch of Telefónica (telecom). Not at least, Japan’s Softbank recently announced to invest through their Vision Fund 1 bn US$ in Argentinian startups in the years ahead. Public programs exist to match private investments with public ones, thus further increasing the investors’ leverage. Opportunities for Austria For both Austrian startups and corporations, Argentina offers numerous opportunities. While almost all companies struggle to find enough qualified and experienced IT staff and engineers in Austria (aka ”Fachkräftemangel”), these are abundant in Argentina. For startups aiming at developing software, but lacking the necessary staff on-site, outsourcing project-based software development can represent an ideal solution. Highly successful IT-outsourcers like Globant (10.000 employees) or BairesDev (800 employees) proved to deliver custom software at the same quality, but not even half the cost, compared to their European or US competitors. The smallest possible project sizes start at 5.000€. Besides hundreds of US and German companies, also Austrian ones such as Kapsch and Red Bull Media House have already exploited this opportunity. For smaller projects, more than 3.000 local IT freelancer with a fluent level of English are registered on Upwork.com alone. Hourly rates start at 20€, depending on their experience, skills and specialization. Working with Argentinians definitely provides much less friction than in other parts of the world (especially compared to traditional outsourcing to India), since they share our European culture, have a strong sense of responsibility and in general a good level of English. Another option is to directly recruit from Argentina, and invite your future employee to work on-site in Austria, as most Argentinians are very open to travel or migrate. Unfortunately, administrative barriers and visa restrictions still represent a major obstacle in this regard. If you choose to do so, be aware of a long and complex process with an uncertain outcome. After all, a total of only 2.000 Rot-Weiß-Rot cards has been granted per year. Still, a reform of the RWR-card is on its way to take effect by 2020, which will abolish the crippling requisite to prove a confirmed accommodation already when submitting the application. In addition, the minimum salary required will be lowered, and finally, the form can be submitted online. However you decide: for every company interested in Argentina, Austria’s local foreign trade center (AußenwirtschaftsCenter Buenos Aires) offers a free contingent of 8hrs of personalized services to all WKO members and is there to support you. A detailed report about Argentina‘s startup industry can be requested here. The author – AustrianStartups volunteer Philipp Schardax – was in Argentina for two months, working at the local foreign trade center by Austria’s chamber of commerce (AußenwirtschaftsCenter Buenos Aires). He supported the office in establishing a local network for startup and technology scouting, and explored opportunities for Austrian companies in the country.","November 18th, 2019","https://austrianstartups.com/wp-content/uploads/2019/11/people-standing-on-road-beside-market-and-high-rise-1060803-300x225.jpg"
"6","https://austrianstartups.com/as-time-goes-by/","AustrianStartups","As time goes by….","Our team grew a lot over the last months so we decided to organize our first ever team building in Bratislava: working on our visions for the Austrian startup scene and our great team. “Work hard, party harder”, pretty much describes that weekend’s spirit <U+0001F609> It was the first time we welcomed our new Local Representatives whom we proudly want to introduce to you: Philip Kazianka (Tyrol) Andrea Scheuringer (Upper Austria) Werner Sammer (Styria). But there is another cool story we want to share with you: Daniel Horak (Co-Founder of CONDA) has joined our board and supports our efforts to improve the Austrian startup scene. Big big thank you to AustrianStartups Co-Founder, Patrick Manhardt, who has left the board and to our former Local Representatives: Bianca Gfrei (Tyrol), Mario Aichlseder (Upper Austria), and Lisa Fassl (Styria). You all did an amazing job by shaping the Austrian startup scene: you rock! The newbies and the rest of the crew will work hard on the Austrian startup ecosystem, we promise <U+263A>. If you want to join our team, drop us a line.","April 14th, 2015","https://austrianstartups.com/wp-content/uploads/2015/04/New-Faces-300x169.png"
"7","https://austrianstartups.com/austria-as-international-startup-hub-79-experts-discussing-the-current-status-of-the-ecosystem/","AustrianStartups","Austria as International Startup Hub: 79 Experts discussing the current status of the Ecosystem","Over a year ago AustrianStartups started intensive discussions with members of different stakeholder groups of the Austrian Startups ecosystem. In a world café workshop format participants exchanged their impressions from their professional perspective in informal roundtables. Altogether 79 participants took part in eight roundtables comprised of stakeholder groups called Venture Capital, Legal and Tax Advisors, Event Organizers, Public Associations, Educational Institutions, Corporates, Accelerators and Incubators, and Coworking Spaces. The figure above shows the number of roundtables (between 2 and 6) in which a respective topic was mentioned in the discussion between participants about the strengths and weaknesses of the Austrian startup ecosystem. The topics were categorized according to the claims in the AustrianStartups Agenda (https://austrianstartups.com/home/austrian-startup-agenda). Future-Oriented Conditions, Entrepreneurial Thinking & Digital Skills, Public Funding, Austria as International Startup Hub, Political Structures, Private Venture Capital as well as the additional category Startups. The total number of occurrences is broken down by the proportion of positive (green), neutral (grey) and negative (red) comments. The topic mentioned most often (in four roundtables) negatively is the general legal conditions in Austria. On the other hand the extent of public funding was mentioned most often positively (also in four roundtables). What is next? Assessing the current status of the ecosystem is important, but AustrianStartups wants to do more. That is why we are organizing the workshops of the second year as future workshops and work on concrete actions targeting the 10 topics mentioned negatively most often. If you want to take part in one of our workshops, send a mail to info@austrianstartups.com","December 8th, 2018","https://austrianstartups.com/wp-content/uploads/2018/12/2018-10-23-18.34.16-300x225.jpg"
"8","https://austrianstartups.com/austrian-entrepreneurs-going-international-euvsvirus-hackathon/","AustrianStartups","Entrepreneurs unite to solve the crisis – A recap of EUvsVirus","Over 20,000 participants from all over Europe took part in in the online hackathon “EU vs. Virus”, organized by the European Commission to develop innovative ideas to tackle the COVID-19 crisis. Amongst them also startups, problem-solvers and mentors from Austria. More than 270 individuals from Austria participated in the hackathon and worked on solutions in the areas of Health & Life, Business Continuity, Remote Working & Education, Social & Political Cohesion and Digital Finance. In addition, 25 Austrian mentors contributed to the success of the event by providing their time and skillsets to project teams. Two members of the AustrianStartups Team also played a crucial part in the organization of the hackathon: Michael Ionita joined as Head of Operations and successfully set up a voting application that made it possible to evaluate the over 2,000 submitted projects within 36 hours. Further, Josine Bakkes, who has been the project lead for the Austrian hackathon “Hack the Crisis Austria”, joined the task force of 400+ volunteers as a national curator and led the community development coordination of the event. Among the final 120 projects that have been selected as the best solutions to support the European and global fight against the coronavirus outbreak, 7 have at least one Austrian Team Member. MassVentilatorSystem, MySlots, HalloSophia, MBroke, SERS substrates, Tutify and BorderX.eu each won a prize in their respective domain and will be invited to take part in the “Matchathon” in the end of May. During this online event, they will be matched with corporates, investors and stakeholders. Further, they will receive ongoing support from the European Commission to enable them to put their plans into action and tackle the coronavirus crisis. Congratulations!","May 2nd, 2020","https://austrianstartups.com/wp-content/uploads/2020/05/EuvsVirus-300x169.jpg"
"9","https://austrianstartups.com/austrianstartups-stammtisch-79-all-about-growth/","AustrianStartups","AustrianStartups Stammtisch #79: All about Growth","Growth Hacking Management What is growth hacking? Growth hacking is an intersection of product management and marketing. Could be defined as “scientific marketing” –> evidence based –> demands formulation of hypotheses and design of experiments. The ideal background of a growth hacker is IT, a developer looking into marketing (not vice-versa). Simple ways to search for a product’s market fit? Form and test hypotheses e.g. red button, green button, call to action button –> let the data speak for itself! To test a product’s market fit, begin with some research on social media and on e-commerce platforms (views, how many similar products get in people’s “baskets”). What is the connection between growth and failure? “Failure” is part of growth hacking processes but it’s not really a failure –> helps you focus on what really matters. The norm is finding things that don’t work – only 30% of growth hacks really work –> this process informs you on what to keep and what to abandon. What is the biggest misconception about growth? That good ideas apply to any product! Furthermore, people think that growth comes out of nowhere, like it happens overnight –> growth is a process that needs time (see above). It is after it has started that gains pace. When should somebody start thinking of growth? People worry too early about it. Before starting ask yourself: can this product/service grow? Do people look for it on Google? Do your research –> everything starts with the research of a problem and of its solution. What should we look into when problems arise? First of all, the idea should be valid –> go back and interview people, validate, do research for the product/market. Additionally, there should be an endoscopy concerning the skills of the team as well as on other market players. Try to find the bottleneck –> look into the data to find out what’s wrong. Human Resources Management What has HR to do with growth? Hiring is part of every growth strategy –> the product is crucial but you also need the right people to deliver! You will need a small starting team for several years that will eventually lead you into the market and then let you grow. On this smaller size success depends on chemistry, not in special skills – later with a larger team, it’s a different story. The successful team should be a good mix of people, not same personalities –> diversity! How do you understand if people fit in your company? There is never a “right” question to figure this out –> hiring includes a lot of gut feeling! There are pre-employment challenges that test skills as well as tricky questions concerning the professional approach and character of the interviewee (tip when interviewed: NEVER talk badly about your previous employer). When a hire is successful start soon with a personal development plan so people stay with you! Is company culture important? If you don’t like where you work, you don’t do the “dirty work”, so culture really matters. Though, co-founders rush to think too much ahead, and top down –> you have to engage your team when designing the company culture (e.g. workshops) – this process takes time. In any case, at the beginning you need people that will do the “dirty work” –> hands-on approach, not a not-my-task mentality. This is the difference between big established structures (corporations) vs structures in birth (startups) –> people with corporate backgrounds are not easy to adjust in the startup context. How does the recruiting process change overtime in a company? There are different pre-hiring tests depending on the stage of the company –> at first you need generalists/doers, people that want to push things further. As you grow you need more specialists and more experienced people to establish more concrete processes –> you have to think of all the steps that come before you reach 150 people in the company. At the early stage you need young professionals with growth mindset but later you will need experienced professionals – something you cannot afford at the beginning anyway. What happens when you have 40 people on board? This is the time when you need structure –> not everyone can talk to everyone any more –> need for team leads –> team jour fixes. When growing, communication becomes a major challenge and this can be solved by a trial and error approach. How to hire the best person when there are no good hires around? Be creative –> look outside of Austria, Europe etc. In any case, networking/word of mouth is the most important source for finding talent (especially for tech talent). In this direction talk to people and share your ideas and values! Do distributed teams work? You should grow in this direction only when you are really ready. Consider always your resources and if you can use them efficiently –> think thoroughly if you can truly support a team remotely. Take also into consideration the culture of the company –> there is no universal recipe! Conclusively, don’t rush, do thorough research and stick to the data for answers concerning the potential of your product/service and ask whether your team has what it takes to proceed. Keep a trial and error approach to abandon all the wrong hypotheses. Begin with a diverse team with a hands-on approach that fits the startup context, and be ready to set the necessary structures and communications channels as you grow. Talk to people about your ideas and values in order to find fitting employees for your company. And when you are about to hire someone don’t forget to ask yourself: would I go with this person for a beer? Most important of all: keep going and don’t let anybody stop you!","March 17th, 2020","https://austrianstartups.com/wp-content/uploads/2020/03/DSC_0603-300x201.jpg"
"10","https://austrianstartups.com/austrianstartups-stammtisch-80-crisis-mode-founders-vs-corona/","AustrianStartups","AustrianStartups Stammtisch #80: Crisis Mode – Founders vs. Corona","Crisis Mode – Founders vs. Corona What happens typically amid crisis? Often it depends on your position and role in the ecosystem – a crisis is considered as clear-cut opportunity from an investor’s point of view, but from a founder standpoint it may mean agony and pain. However, different sectors are different realities. As a general rule sales, fundraising and scaling become much more difficult to achieve (capital becomes scarce). All these may translate from time to time in loneliness for the founder – people stop showing up while at the same time pressure is constantly mounting. Stay focused: observe, adapt and your expectations will return rejuvenated! What do you need to consider during the crisis? Crisis periods are your chance to show that you are a truly great founder. Important things to keep on mind: Resilience is the key Creativity wins scarcity Focus on your best resources, especially on your best people Survival is everything Great founders are the ones that they are not only brave to face the challenge, but they also thrive under its pressure! How do founders thrive during a crisis? Mainly by possessing underlying assets which have been built beforehand. Such are: Strong team culture Strong and loyal hires Strong product platform When the above conditions are in place then the crisis becomes an opportunity for founders to prove their business models by pushing sales in sensible ways. The way is paved for growth in revenue but also in staff – what follows after the clouds are gone is that survivors make the most value as competition has been reduced. Is currently a good time to found a startup? Regardless the fact that intuition may tell you differently, this is a great time to launch a startup: Great time for pre-seed investment (low cost risk) No need for revenues No need for lots of employees The crisis is a great opportunity to develop your concept though, provided you observe the new reality and adapt your ideas accordingly. What if you lose investors during Corona? The most sensible or maybe the only way to proceed is to bootstrap your way through the situation. This is no time for arrogance: access your network and try to sale! If you have invested considerable amount of money yourself look for support programs from public organizations with relatively little bureaucracy (e.g. soft loans, finance access with public guarantees). Fortunately, Austria has a lot more safety nets to provide comparatively to other countries where founding a startup is a swim or die situation e.g. USA. What’s more, crowd funding is always an option and last but not least is a scheme where you trade equity for liquidity – don’t get intimidated by the idea because founders are in much stronger position than they think (without them the project will fall apart). What kind of changes should be expected from the point of Venture Capital investments? One thing is certain: there will be a lot of pressure as VCs are currently waiting and do not invest. For companies that were looking for investment rounds aggressively this means necessary change of strategy. Think about how to survive for the next twelve months by finding ways to fund yourself! Where can someone find mentoring during the crisis? To start with in your inner circle, so friends and family that care genuinely for you and your well-being. Of course, on the business side good advice and guidance can come from partners that believe in you and your concept e.g. business angels, professional mentors. In addition, nowadays there are many “unofficial” channels for business communication where you can connect with peers for feedback e.g. WhatsApp groups. The crisis stimulates communication and cooperation, since the same major problems concern the vast majority of founders and investors. Is there anything good about the crisis? Definitely: the tourists will depart. Startup enterprise is not about having fun so investors and founders that do not take it seriously enough, will get evicted by the ecosystem itself. From a time management perspective, founders could/should get the chance to focus more on their core business since lots of distractions are put on hold – time freezes in a way and they can take advantage of it. Another advantage of the current “on hold” mode is that people have more time and they want to use it productively – they are more eager and available to support promising projects. What will be the next day? This crisis will probably be the biggest accelerator of digital change that we will ever see in our lifetime. The key point for success it to lay the ground in order to grow faster than the future demand. It is certain that whoever survives the storm will come out much stronger than before. On the other side, this crisis should not be all about the survival of the digital fittest – other sectors of the economy are equally important in our lives and this is a point we must not forget! In overview Deep crisis –> will clean up the ecosystem from “tourists” Surviving needs also luck –> first and foremost you have to work your momentum hard Surprising but –> this is the right time to launch a startup Crisis –> the largest driver of digitization ever No one is unaffected –> common goal and room for collaboration Now is the time to make things work. Stick to a plan designed to survive and with lots of work your dreams will come up stronger than ever before!","April 28th, 2020","https://austrianstartups.com/wp-content/uploads/2020/04/Stammtisch-Visuals-80-300x169.png"
