"","article_link","img_link","date"
"1","https://www.blueminds-company.com/frischer-wind-fuer-die-oesterreichische-innovationslandschaft/","https://www.blueminds-company.com/wp-content/uploads/2021/04/Innovate_Logo_Black_Yellow_RGB2-480x316.jpg",2021-01-01
"3","https://www.blueminds-company.com/evergreen-innovation-camp-48-stunden-hackathon/","https://www.blueminds-company.com/wp-content/uploads/2019/12/evergreen-innovation-camp-48h-hackathon-480x321.jpg",2020-09-01
"5","https://www.blueminds-company.com/podiumsdiskussion-energy-talk/","https://www.blueminds-company.com/wp-content/uploads/2019/05/the-blue-minds-company-beitragsbild-480x313.jpg",2020-05-01
"7","https://www.blueminds-company.com/presseaussedung-accelerate2initiate-exklusives-match-making-programm-der-blue-minds-company-mit-der-european-utility-week/","https://www.blueminds-company.com/wp-content/uploads/2019/05/the-blue-minds-company-beitragsbild-480x313.jpg",2020-01-01
"9","https://www.blueminds-company.com/nachbericht-galerie-wiener-energie-impulse-4-smart-digital-green-city/","https://www.blueminds-company.com/wp-content/uploads/2017/12/WEI4-by-Daniel-Shaked-©-2017-4529-480x320.jpg",2019-09-01
"11","https://www.blueminds-company.com/presseaussendung-hochkaraetiges-e-mobility-event-in-wien-praesentation-mobileye/","https://www.blueminds-company.com/wp-content/uploads/2017/10/Wiener-Energie-Impulse-by-Daniel-ShakedDSC_0709-480x320.jpg",2019-05-01
"12","https://www.blueminds-company.com/galerie-wiener-energie-impulse-3-staedte-schaffen-lebens-raum-zukunftsbild-mobilitaet/","https://www.blueminds-company.com/wp-content/uploads/2017/09/21557915_10159509435555624_6372691537326394231_n-480x480.jpg",2019-01-01
"14","https://www.blueminds-company.com/shana-tova/","https://www.blueminds-company.com/wp-content/uploads/2017/08/Machine-Learning-2017-at-blueminds-480x194.png",2018-09-01
"16","https://www.blueminds-company.com/event-invitation-the-future-of-mobility-on-19-october-2017/","https://www.blueminds-company.com/wp-content/uploads/2017/03/4m8a8119-480x720.jpg",2018-05-01
"18","https://www.blueminds-company.com/hyve-artificial-intelligence-machine-learning-seminar-at-the-blue-minds-company/","https://www.blueminds-company.com/wp-content/uploads/2016/12/IMG_8357-480x320.jpg",2018-01-01
"20","https://www.blueminds-company.com/galerie-wiener-energie-impulse-2-stadt-wohnen-4-0/","https://www.blueminds-company.com/wp-content/uploads/2016/09/ClimateLaunchpad_Foto1-480x304.jpg",2017-09-01
"22","https://www.blueminds-company.com/galerie-wiener-energie-impulse-1-die-blockchain-revolution/","https://www.blueminds-company.com/wp-content/uploads/2016/09/36-480x320.jpg",2017-05-01
"24","https://www.blueminds-company.com/seasons-greetings-2016/","https://www.blueminds-company.com/wp-content/uploads/2016/09/11701011_1544181805878876_6048309884709908869_o-480x320.jpg",2017-01-01
