"Name","Label_Confidence","count","Creator"
"Advertisement",81.1029210090637,8,"A1Startup"
"Alphabet",70.6754150390625,1,"A1Startup"
"Apparel",74.5900586446126,3,"A1Startup"
"Apse",55.3934440612793,1,"A1Startup"
"Architecture",96.2009334564209,4,"A1Startup"
"Art",61.4909019470215,1,"A1Startup"
"Astronomy",89.7088088989258,1,"A1Startup"
"Attorney",71.8413009643555,1,"A1Startup"
"Audience",83.8441818237305,5,"A1Startup"
"Blackboard",77.3416690826416,2,"A1Startup"
"Blazer",84.9324142456055,10,"A1Startup"
"Blonde",75.6296997070312,1,"A1Startup"
"Book",90.7546463012695,2,"A1Startup"
"Box",99.4892349243164,2,"A1Startup"
"Brochure",93.0129585266113,2,"A1Startup"
"Building",97.6572545369466,6,"A1Startup"
"Cafe",72.3322105407715,4,"A1Startup"
"Cafeteria",79.0123672485352,4,"A1Startup"
"Car",99.275505065918,1,"A1Startup"
"Cardboard",97.215202331543,2,"A1Startup"
"Carton",97.215202331543,2,"A1Startup"
"Cell Phone",99.9739201863607,3,"A1Startup"
"Chair",89.3276138305664,5,"A1Startup"
"City",90.5212020874023,3,"A1Startup"
"Classroom",92.1649017333984,1,"A1Startup"
"Clinic",62.9599876403809,1,"A1Startup"
"Clothing",93.3829052087032,33,"A1Startup"
"Coat",90.0009736281175,13,"A1Startup"
"Coffee Cup",94.6304931640625,2,"A1Startup"
"Comics",87.8064117431641,1,"A1Startup"
"Computer",96.0737457275391,2,"A1Startup"
"Computer Keyboard",93.983757019043,1,"A1Startup"
"Condo",80.9647445678711,1,"A1Startup"
"Couch",78.0887794494629,2,"A1Startup"
"Credit Card",76.1038970947266,1,"A1Startup"
"Crowd",90.2328229631696,14,"A1Startup"
"Cup",94.6304931640625,2,"A1Startup"
"Desk",79.9853439331055,1,"A1Startup"
"Display",67.4593124389648,1,"A1Startup"
"Document",91.8068542480469,1,"A1Startup"
"Door",61.2695159912109,1,"A1Startup"
"Downtown",93.7320327758789,2,"A1Startup"
"Electrical Device",93.828727722168,1,"A1Startup"
"Electronic Chip",56.6872711181641,1,"A1Startup"
"Electronics",81.6663280833851,11,"A1Startup"
"Executive",79.816904703776,3,"A1Startup"
"Face",63.5208530426025,4,"A1Startup"
"Female",75.8393840789795,4,"A1Startup"
"First Aid",98.5412826538086,1,"A1Startup"
"Flag",69.359992980957,1,"A1Startup"
"Floor",66.910831451416,2,"A1Startup"
"Flooring",89.9409980773926,2,"A1Startup"
"Flyer",85.8556213378906,6,"A1Startup"
"Food",60.1664047241211,1,"A1Startup"
"Food Court",67.0383529663086,1,"A1Startup"
"Footwear",95.2661056518555,2,"A1Startup"
"Furniture",86.0119235698993,13,"A1Startup"
"Game",66.6399841308594,1,"A1Startup"
"Gas Pump",98.1799240112305,1,"A1Startup"
"Gas Station",81.3120269775391,1,"A1Startup"
"Glass",64.1005325317383,1,"A1Startup"
"GPS",78.4228191375732,2,"A1Startup"
"Grass",99.8174514770508,1,"A1Startup"
"Hair",92.6011734008789,1,"A1Startup"
"Hardware",77.2790489196777,2,"A1Startup"
"Head",71.7853088378906,2,"A1Startup"
"High Rise",99.1493263244629,2,"A1Startup"
"Home Decor",84.3989283243815,3,"A1Startup"
"House",78.7857284545898,1,"A1Startup"
"Housing",92.2034047444661,3,"A1Startup"
"Huddle",56.2598190307617,1,"A1Startup"
"Human",98.3052337646484,5,"A1Startup"
"Id Cards",91.8068542480469,1,"A1Startup"
"Indoors",89.5294570922852,9,"A1Startup"
"Interior Design",87.8777656555176,4,"A1Startup"
"Iphone",56.3602066040039,1,"A1Startup"
"Jacket",87.3927699497768,7,"A1Startup"
"Jeans",99.0744953155518,4,"A1Startup"
"Kitchen Island",73.7065887451172,1,"A1Startup"
"Label",92.7806777954102,2,"A1Startup"
"Laptop",77.430850982666,2,"A1Startup"
"Lawn",89.5369644165039,1,"A1Startup"
"LCD Screen",88.1005935668945,1,"A1Startup"
"Lecture",74.9377670288086,2,"A1Startup"
"Lighting",92.8616638183594,2,"A1Startup"
"Living Room",86.4661483764648,1,"A1Startup"
"Lobby",70.7335186004639,2,"A1Startup"
"Logo",75.2528025309245,3,"A1Startup"
"Long Sleeve",83.147223578559,9,"A1Startup"
"Machine",98.4479370117188,1,"A1Startup"
"Man",67.5141563415527,2,"A1Startup"
"Manga",59.9039688110352,1,"A1Startup"
"Metropolis",94.9917144775391,2,"A1Startup"
"Microphone",87.3231506347656,1,"A1Startup"
"Mobile Phone",99.9739201863607,3,"A1Startup"
"Monitor",82.8831520080566,2,"A1Startup"
"Neighborhood",87.1515502929688,2,"A1Startup"
"Office",86.1183090209961,2,"A1Startup"
"Office Building",73.4657592773438,1,"A1Startup"
"Outdoors",69.8547286987305,2,"A1Startup"
"Outer Space",87.1795883178711,1,"A1Startup"
"Overcoat",80.2366157531738,5,"A1Startup"
"Package Delivery",97.215202331543,2,"A1Startup"
"Page",56.7286853790283,2,"A1Startup"
"Pants",85.7673863728841,15,"A1Startup"
"Paper",80.8616471290588,8,"A1Startup"
"People",73.634036724384,13,"A1Startup"
"Person",98.5911902533637,45,"A1Startup"
"Petrol",59.027156829834,1,"A1Startup"
"Phone",99.9739201863607,3,"A1Startup"
"Photo Booth",56.3836097717285,1,"A1Startup"
"Plant",84.3305206298828,2,"A1Startup"
"Plywood",87.8314361572266,1,"A1Startup"
"Poster",82.8778305053711,7,"A1Startup"
"Pottery",91.2027816772461,2,"A1Startup"
"Press Conference",69.7374057769775,2,"A1Startup"
"Pump",98.1799240112305,1,"A1Startup"
"Reception",88.4051933288574,2,"A1Startup"
"Restaurant",95.1693206787109,5,"A1Startup"
"Room",83.9051404680525,7,"A1Startup"
"Saucer",91.2027816772461,2,"A1Startup"
"Scoreboard",80.2214889526367,1,"A1Startup"
"Screen",83.971684773763,3,"A1Startup"
"Server",97.8708267211914,1,"A1Startup"
"Shirt",96.2733840942383,1,"A1Startup"
"Shoe",96.0692379291241,13,"A1Startup"
"Sitting",85.6807793837327,13,"A1Startup"
"Skateboard",78.5924453735352,1,"A1Startup"
"Skylight",79.6084136962891,1,"A1Startup"
"Skyscraper",75.9235534667969,1,"A1Startup"
"Sleeve",87.1429646809896,9,"A1Startup"
"Space",87.1795883178711,1,"A1Startup"
"Space Station",90.8554458618164,1,"A1Startup"
"Speech",75.7246017456055,2,"A1Startup"
"Sphere",76.7892074584961,1,"A1Startup"
"Spire",99.4976501464844,1,"A1Startup"
"Sport",78.5924453735352,1,"A1Startup"
"Sticker",57.7717895507812,1,"A1Startup"
"Suit",89.0652408599854,22,"A1Startup"
"Sweater",83.1152687072754,2,"A1Startup"
"Sweatshirt",96.8778762817383,1,"A1Startup"
"Symbol",75.9456253051758,3,"A1Startup"
"Table",75.7414943150112,7,"A1Startup"
"Tabletop",72.7956466674805,1,"A1Startup"
"Tarmac",86.5578231811523,1,"A1Startup"
"Teacher",99.7879257202148,1,"A1Startup"
"Team",55.6815490722656,1,"A1Startup"
"Text",79.4453996022542,18,"A1Startup"
"Tie",98.2633819580078,2,"A1Startup"
"Tire",85.004264831543,1,"A1Startup"
"Tower",99.4976501464844,1,"A1Startup"
"Trademark",75.2528025309245,3,"A1Startup"
"Train",88.8805694580078,1,"A1Startup"
"Transportation",90.0904134114583,3,"A1Startup"
"Tripod",94.8240585327148,2,"A1Startup"
"Universe",87.1795883178711,1,"A1Startup"
"Urban",84.7860517501831,4,"A1Startup"
"Vehicle",90.0904134114583,3,"A1Startup"
"Villa",78.7857284545898,1,"A1Startup"
"Waiting Room",97.6558303833008,1,"A1Startup"
"Wheel",98.7511978149414,1,"A1Startup"
"White Board",70.7329940795898,1,"A1Startup"
"Window",94.0234375,1,"A1Startup"
"Woman",72.3417739868164,2,"A1Startup"
"Wood",77.4578056335449,2,"A1Startup"
"Word",69.5774332682292,3,"A1Startup"
"Accessories",97.5411720275879,2,"AgroInnovationLab"
"Advertisement",86.4577200753348,7,"AgroInnovationLab"
"Agriculture",93.5799407958984,2,"AgroInnovationLab"
"Alphabet",70.2568740844727,10,"AgroInnovationLab"
"Animal",65.4914367675781,5,"AgroInnovationLab"
"Antenna",64.7198028564453,1,"AgroInnovationLab"
"Apparel",60.8623352050781,1,"AgroInnovationLab"
"Art",65.9604415893555,2,"AgroInnovationLab"
"Audience",88.6331443786621,2,"AgroInnovationLab"
"Backyard",93.4422378540039,2,"AgroInnovationLab"
"Bar Counter",64.5015335083008,1,"AgroInnovationLab"
"Bazaar",57.5741767883301,1,"AgroInnovationLab"
"Beard",88.6015548706055,1,"AgroInnovationLab"
"Beverage",60.5616569519043,1,"AgroInnovationLab"
"Bird",68.5494130452474,3,"AgroInnovationLab"
"Blazer",86.0836277008057,8,"AgroInnovationLab"
"Blonde",85.2956619262695,2,"AgroInnovationLab"
"Blossom",60.1280212402344,2,"AgroInnovationLab"
"Brochure",79.9783744812012,4,"AgroInnovationLab"
"Building",84.346794128418,3,"AgroInnovationLab"
"Bush",98.7267990112305,2,"AgroInnovationLab"
"Business Card",78.5852940877279,3,"AgroInnovationLab"
"Chair",63.6117744445801,2,"AgroInnovationLab"
"Clothing",90.6175484657288,16,"AgroInnovationLab"
"Coat",92.9280166625977,5,"AgroInnovationLab"
"Collage",94.5249938964844,1,"AgroInnovationLab"
"Computer",99.0433044433594,1,"AgroInnovationLab"
"Computer Hardware",99.0433044433594,1,"AgroInnovationLab"
"Countryside",90.4280605316162,4,"AgroInnovationLab"
"Cpu",93.9173965454102,1,"AgroInnovationLab"
"Crowd",88.7706015450614,7,"AgroInnovationLab"
"Electrical Device",64.7198028564453,1,"AgroInnovationLab"
"Electronic Chip",93.9173965454102,1,"AgroInnovationLab"
"Electronics",95.0804290771484,5,"AgroInnovationLab"
"Emblem",66.5759429931641,2,"AgroInnovationLab"
"Executive",82.078971862793,3,"AgroInnovationLab"
"Face",81.8386030930739,13,"AgroInnovationLab"
"Farm",95.2832412719727,2,"AgroInnovationLab"
"Farm Plow",84.5498580932617,2,"AgroInnovationLab"
"Fashion",68.3262557983398,2,"AgroInnovationLab"
"Female",86.7475266890092,11,"AgroInnovationLab"
"Field",75.1021514892578,5,"AgroInnovationLab"
"File",57.390983581543,1,"AgroInnovationLab"
"Flag",82.4841918945312,2,"AgroInnovationLab"
"Flower",60.1156158447266,4,"AgroInnovationLab"
"Flyer",78.7289009094238,7,"AgroInnovationLab"
"Flying",67.3717956542969,2,"AgroInnovationLab"
"Furniture",63.5124168395996,4,"AgroInnovationLab"
"Garden",73.8462371826172,3,"AgroInnovationLab"
"Gardening",65.5952377319336,3,"AgroInnovationLab"
"Girl",73.751485824585,4,"AgroInnovationLab"
"Glasses",98.1156921386719,4,"AgroInnovationLab"
"Graphics",65.9604415893555,2,"AgroInnovationLab"
"Grass",84.2782707214355,4,"AgroInnovationLab"
"Gravel",82.1379114786784,3,"AgroInnovationLab"
"Gray",79.282470703125,2,"AgroInnovationLab"
"Green",89.0170631408691,4,"AgroInnovationLab"
"Hair",61.9233627319336,1,"AgroInnovationLab"
"Hand",95.7022476196289,2,"AgroInnovationLab"
"Hardware",99.0433044433594,1,"AgroInnovationLab"
"Head",93.9459190368652,2,"AgroInnovationLab"
"Helicopter",99.9507141113281,2,"AgroInnovationLab"
"Home Decor",72.6666107177734,2,"AgroInnovationLab"
"Human",98.9479141235352,3,"AgroInnovationLab"
"Interior Design",97.8724136352539,1,"AgroInnovationLab"
"Jacket",89.7123565673828,3,"AgroInnovationLab"
"Jar",60.3625640869141,1,"AgroInnovationLab"
"Jaw",94.1670837402344,1,"AgroInnovationLab"
"Label",70.6004249572754,10,"AgroInnovationLab"
"Lady",62.5484886169434,2,"AgroInnovationLab"
"Lawn Mower",62.269681930542,2,"AgroInnovationLab"
