"","article_link","img_link"
"1","https://www.trendingtopics.at/factory1-we-will-enter-into-partnerships-with-all-five-startups/","https://www.trendingtopics.at/wp-content/uploads/2019/07/Kapsch_Factory_1_Demo_Day-644x362.jpg"
"2","https://www.trendingtopics.at/factory1-the-hunt-for-a-poc-is-not-a-piece-of-cake/","https://www.trendingtopics.at/wp-content/uploads/2019/06/Factory_1-644x362.jpg"
"3","https://www.trendingtopics.at/startup-accelerator-factory1-is-all-about-long-term-goals-and-not-about-quick-wins/","https://www.trendingtopics.at/wp-content/uploads/2019/04/Kapsch_Factory_1-644x362.jpg"
"4","https://www.trendingtopics.at/15-mobility-startups-announced-for-the-finals-of-the-factory1-accelerator/","https://www.trendingtopics.at/wp-content/uploads/2019/02/junction-960801_1920-644x362.jpg"
"5","https://www.trendingtopics.at/factory1-accelerator-mentors-kapsch/","https://www.trendingtopics.at/wp-content/uploads/2019/01/Kapsch-644x362.jpg"
"6","https://www.trendingtopics.at/factory1-marcus-handl-interview/","https://www.trendingtopics.at/wp-content/uploads/2019/01/kapsch-644x362.png"
"7","https://www.trendingtopics.at/factory-1-post-acceleration-kapsch/","https://www.trendingtopics.at/wp-content/uploads/2020/04/marc-sendra-martorell-Vqn2WrfxTQ-unsplash-644x362.jpg"
"8","https://www.trendingtopics.at/innovation-sprint-how-kapsch-turns-employees-into-intrapreneurs/","https://www.trendingtopics.at/wp-content/uploads/2019/12/Kapsch_Innovation_Sprint_3-644x362.jpg"
"9","https://www.trendingtopics.at/kapsch-factory1-whitepaper/","https://www.trendingtopics.at/wp-content/uploads/2019/06/Kapsch_Factory1-644x362.jpg"
"10","https://www.trendingtopics.at/factory1-acceleration-week-silicon-valley-2019/","https://www.trendingtopics.at/wp-content/uploads/2019/05/San-Francisco_Unsplash-644x362.jpg"
"11","https://www.trendingtopics.at/your-car-will-talk-to-the-road-which-will-make-a-lot-of-cool-things-possible/","https://www.trendingtopics.at/wp-content/uploads/2019/02/Connected_Cars_Matheus-Bertelli--644x362.jpg"
"12","https://www.trendingtopics.at/factory-1-kapsch-accelerator-2018-batch2/","https://www.trendingtopics.at/wp-content/uploads/2018/11/marcus-644x362.jpg"
"13","https://www.trendingtopics.at/the-big-idea-of-maas-you-dont-need-a-car-anymore/","https://www.trendingtopics.at/wp-content/uploads/2019/02/MaaS_Pexels-780x439.jpg"
"14","https://www.trendingtopics.at/these-5-international-startups-made-it-to-the-factory1-accelerator-of-kapsch/","https://www.trendingtopics.at/wp-content/uploads/2019/02/factory1-644x362.jpg"
