"","article_link","img_link"
"1","https://greenstart.at/news/greenstart-2021-top-10-klima-start-ups/","https://greenstart.at/wp-content/uploads/sites/2/2021/04/TOP-10_Teaservideo.png"
"2","https://greenstart.at/news/ideen-workshop-fuer-greenstart-6/","https://greenstart.at/wp-content/uploads/sites/2/2021/01/Design-ohne-Titel24.png"
"3","https://greenstart.at/news/praemierung-der-greenstars-2020-und-startschuss-fuer-neue-business-ideen/","https://greenstart.at/wp-content/uploads/sites/2/2020/11/Das-sind-die-greenstars-2020.png"
"4","https://greenstart.at/news/das-kraftwerk-das-auf-wellen-tanzt/","https://greenstart.at/wp-content/uploads/sites/2/2020/09/3D-Muster-rotated.jpg"
"5","https://greenstart.at/news/die-verhexte-letzte-meile/","https://greenstart.at/wp-content/uploads/sites/2/2020/09/Mock-up-scaled.jpg"
"6","https://greenstart.at/news/voller-genuss-halb-so-viel-fleisch/","https://greenstart.at/wp-content/uploads/sites/2/2020/09/Rebel-Meat_Fischer_MG_3943-scaled.jpg"
"7","https://greenstart.at/news/wir-drucken-fisch/","https://greenstart.at/wp-content/uploads/sites/2/2020/09/3-Legendary-Vish.png"
"8","https://greenstart.at/news/mehrweg-kuehlbox-statt-trockeneis/","https://greenstart.at/wp-content/uploads/sites/2/2020/09/temprify_Teamfoto-7-scaled.jpg"
"9","https://greenstart.at/news/mit-dem-zug-nach-vietnam/","https://greenstart.at/wp-content/uploads/sites/2/2020/09/Vor-Transsib.jpg"
"10","https://greenstart.at/news/im-rythmus-des-algorithmus/","https://greenstart.at/wp-content/uploads/sites/2/2020/09/Campfire-Solutions_c_Stefan-Diesner-scaled.jpg"
"11","https://greenstart.at/news/jeder-einkauf-zaehlt/","https://greenstart.at/wp-content/uploads/sites/2/2020/09/3_INOQO.png"
"12","https://greenstart.at/news/co2-neutraler-brennstoff-aus-klaerschlamm/","https://greenstart.at/wp-content/uploads/sites/2/2020/09/treatment-plant-wastewater-2826990_1920.jpg"
"13","https://greenstart.at/news/gemuese-von-nebenan-fuers-restaurant-ums-eck/","https://greenstart.at/wp-content/uploads/sites/2/2020/09/b61a5fc6-ba23-43bd-bef8-cc3e0cc34bae.jpg"
"14","https://greenstart.at/news/digitaler-kick-off-lernen-sie-die-greenstart-top-10-online-kennen/","https://greenstart.at/wp-content/uploads/sites/2/2020/09/TOP10-BannerWebsite.png"
"15","https://greenstart.at/news/greenstart-top-3-start-ups-das-sind-die-besten-der-besten/","https://greenstart.at/wp-content/uploads/sites/2/2019/05/greenstart-TOP-3-Start-Ups-Das-sind-„die-Besten-der-Besten.jpg"
"16","https://greenstart.at/news/jetzt-anmelden-greenstart-die-besten-der-besten-27-mai-kuppelsaal-der-tu-wien/","https://greenstart.at/wp-content/uploads/sites/2/2019/04/JETZT-ANMELDEN-greenstart-Die-Besten-der-Besten-27.-Mai-Kuppelsaal-der-TU-Wien.png"
"17","https://greenstart.at/news/finale-des-start-up-wettbewerbs-greenstart-jetzt-online-abstimmen/","https://greenstart.at/wp-content/uploads/sites/2/2019/04/Finale-des-Start-Up-Wettbewerbs-greenstart-Jetzt-online-abstimmen.png"
"18","https://greenstart.at/news/feedback-nach-dem-motto-test-early-test-often/","https://greenstart.at/wp-content/uploads/sites/2/2019/02/Feedback-nach-dem-Motto-Test-Early-Test-Often.jpg"
"19","https://greenstart.at/news/diese-zehn-klimaschonenden-business-ideen-starten-jetzt-durch/","https://greenstart.at/wp-content/uploads/sites/2/2018/11/Diese-zehn-klimaschonenden-Business-Ideen-starten-jetzt-durch.jpg"
"20","https://greenstart.at/news/jetzt-anmelden-8-november-2018-wien-die-top-10-business-ideen-gegen-den-klimawandel/","https://greenstart.at/wp-content/uploads/sites/2/2018/10/Jetzt-anmelden-8.-November-2018-Wien-Die-TOP-10-Business-Ideen-gegen-den-Klimawandel.jpg"
"21","https://greenstart.at/news/gemeinsam-dem-klimawandel-entgegenwirken-rueckblick-auf-den-greenstart-ideenworkshop/","https://greenstart.at/wp-content/uploads/sites/2/2018/09/Gemeinsam-dem-Klimawandel-entgegenwirken-Ru¨ckblick-auf-den-greenstart-Ideenworkshop.jpg"
"22","https://greenstart.at/news/sommergewinnspiel-facebook-seite-liken-und-tolle-preise-gewinnen/","https://greenstart.at/wp-content/uploads/sites/2/2018/08/Sommergewinnspiel-Facebook-Seite-liken-und-tolle-Preise-gewinnen.jpg"
"23","https://greenstart.at/news/networking-und-input-fuer-gruene-business-ideen-greenstart-ideenworkshop-am-6-september-in-wien/","https://greenstart.at/wp-content/uploads/sites/2/2018/06/Networking-und-Input-fu¨r-„gru¨ne-Business-Ideen-greenstart-Ideenworkshop-am-6.-September-in-Wien.jpg"
"24","https://greenstart.at/news/klima-und-energiefonds-sucht-gruene-start-ups-jetzt-bei-greenstart-einreichen/","https://greenstart.at/wp-content/uploads/sites/2/2018/05/Klima-und-Energiefonds-sucht-gru¨ne-Start-Ups-Jetzt-bei-„greenstart-einreichen.png"
"25","https://greenstart.at/news/die-top-start-ups-sieger-des-wettbewerbs-greenstart-praemiert/","https://greenstart.at/wp-content/uploads/sites/2/2017/11/Die-TOP-Start-Ups-Sieger-des-Wettbewerbs-greenstart-pra¨miert.png"
"26","https://greenstart.at/news/save-the-date-greenstart-abschluss-event-20-november-2017-odeon-theater-1020-wien/","https://greenstart.at/wp-content/uploads/sites/2/2017/10/Save-the-Date-greenstart-Abschluss-Event-20.November-2017-Odeon-Theater-1020-Wien.jpg"
"27","https://greenstart.at/news/jetzt-voten-wer-sind-die-gruenen-start-ups-2017/","https://greenstart.at/wp-content/uploads/sites/2/2017/09/Jetzt-voten-Wer-sind-die-„gru¨nen-Start-Ups-2017.jpg"
"28","https://greenstart.at/news/greenstart-midterm-workshop-im-gehen-kommen-die-gedanken/","https://greenstart.at/wp-content/uploads/sites/2/2017/07/greenstart-Midterm-Workshop-Im-Gehen-kommen-die-Gedanken.jpg"
"29","https://greenstart.at/news/bereit-nach-den-sternen-zu-greifen-start-der-inkubationsphase-fuer-die-top-10/","https://greenstart.at/wp-content/uploads/sites/2/2017/05/Bereit-nach-den-Sternen-zu-greifen-Start-der-Inkubationsphase-fu¨r-die-TOP-10.jpg"
"30","https://greenstart.at/news/startschuss-fuer-klimaschonende-business-ideen-das-sind-die-top-10-von-greenstart-3/","https://greenstart.at/wp-content/uploads/sites/2/2017/04/Startschuss-fu¨r-klimaschonende-Business-Ideen-Das-sind-die-TOP-10-von-greenstart-3.jpg"
"31","https://greenstart.at/news/chance-fuer-gruene-start-ups-das-aws-i2-investorenmeeting-2017-in-kooperation-mit-dem-klima-und-energiefonds/","https://greenstart.at/wp-content/uploads/sites/2/2017/02/Chance-fu¨r-gru¨ne-Start-Ups-Das-aws-i2-Investorenmeeting-2017-in-Kooperation-mit-dem-Klima-und-Energiefonds.png"
"32","https://greenstart.at/news/greenstart-3-der-dritte-durchgang-hat-begonnen/","https://greenstart.at/wp-content/uploads/sites/2/2017/02/greenstart-3-–-der-dritte-Durchgang-hat-begonnen.png"
"33","https://greenstart.at/news/hut-stiel-nahgenuss-und-wohnwagon-gewinnen-gruenen-start-up-wettbewerb-greenstart/","https://greenstart.at/wp-content/uploads/sites/2/2017/01/„Hut-Stiel-„nahgenuss-und-„Wohnwagon-gewinnen-gru¨nen-Start-Up-Wettbewerb-greenstart.jpg"
"34","https://greenstart.at/news/greenstart-youth-award-octavia-mode/","https://greenstart.at/wp-content/uploads/sites/2/2016/12/greenstart-Youth-Award-Octavia-Mode.jpg"
"35","https://greenstart.at/greenstart-2/greenstart-preisverleihung-17-01-17-wien/","https://greenstart.at/wp-content/uploads/sites/2/2016/12/greenstart-Preisverleihung-17.01.17-Wien.jpg"
"36","https://greenstart.at/news/neue-chance-fuer-start-ups-klimafonds-initiative-greenstart-sucht-klimaschonende-business-ideen/","https://greenstart.at/wp-content/uploads/sites/2/2017/02/Chance-fu¨r-gru¨ne-Start-Ups-Das-aws-i2-Investorenmeeting-2017-in-Kooperation-mit-dem-Klima-und-Energiefonds.png"
"37","https://greenstart.at/news/start-ups-aufgepasst-greenstart-bietet-workshops-zur-weiterentwicklung-gruener-business-ideen/","https://greenstart.at/wp-content/uploads/sites/2/2017/02/Chance-fu¨r-gru¨ne-Start-Ups-Das-aws-i2-Investorenmeeting-2017-in-Kooperation-mit-dem-Klima-und-Energiefonds.png"
"38","https://greenstart.at/news/wer-wird-greenstar-2016-oeffentlichkeit-entscheidet-per-online-voting-mit/","https://greenstart.at/wp-content/uploads/sites/2/2016/09/Wer-wird-greenstar-2016-O¨ffentlichkeit-entscheidet-per-Online-Voting-mit.jpg"
"39","https://greenstart.at/news/ende-gut-alles-gut-greenstart-final-helpdesk/","https://greenstart.at/wp-content/uploads/sites/2/2016/09/Ende-gut-alles-gut-greenstart-Final-Helpdesk.jpg"
"40","https://greenstart.at/news/wachstumssprung-greenstarter-helga-bei-spar/","https://greenstart.at/wp-content/uploads/sites/2/2016/07/Wachstumssprung-greenstarter-HELGA-bei-Spar.jpg"
"41","https://greenstart.at/news/zwischenbilanz-greenstart-midterm-workshop/","https://greenstart.at/wp-content/uploads/sites/2/2016/06/Zwischenbilanz-greenstart-Midterm-Workshop.jpg"
"42","https://greenstart.at/news/nahgenuss-at-startet-bio-schweinefleisch-mit-einem-klick/","https://greenstart.at/wp-content/uploads/sites/2/2016/05/nahgenuss.at-startet-Bio-Schweinefleisch-mit-einem-Klick.jpg"
"43","https://greenstart.at/news/greenstarter-imaginecargo-in-deutschland-aktiv/","https://greenstart.at/wp-content/uploads/sites/2/2016/03/greenstarter-ImagineCargo-in-Deutschland-aktiv.jpg"
"44","https://greenstart.at/news/greenstart-kick-off-workshop-leinen-los/","https://greenstart.at/wp-content/uploads/sites/2/2016/03/greenstart-Kick-Off-Workshop-Leinen-los-.jpg"
"45","https://greenstart.at/news/top-10-2016/","https://greenstart.at/wp-content/uploads/sites/2/2016/03/TOP-10-2016.jpeg"
"46","https://greenstart.at/news/auftakt-event-2016/","https://greenstart.at/wp-content/uploads/sites/2/2016/02/Auftakt-Event-2016.jpg"
"47","https://greenstart.at/news/greenstart-preisgala-video/","https://greenstart.at/wp-content/uploads/sites/2/2017/02/Chance-fu¨r-gru¨ne-Start-Ups-Das-aws-i2-Investorenmeeting-2017-in-Kooperation-mit-dem-Klima-und-Energiefonds.png"
"48","https://greenstart.at/news/greenstart-midterm-video/","https://greenstart.at/wp-content/uploads/sites/2/2017/02/Chance-fu¨r-gru¨ne-Start-Ups-Das-aws-i2-Investorenmeeting-2017-in-Kooperation-mit-dem-Klima-und-Energiefonds.png"
"49","https://greenstart.at/news/auftaktevent-video/","https://greenstart.at/wp-content/uploads/sites/2/2017/02/Chance-fu¨r-gru¨ne-Start-Ups-Das-aws-i2-Investorenmeeting-2017-in-Kooperation-mit-dem-Klima-und-Energiefonds.png"
"50","https://greenstart.at/news/greenstart-einreicher-veranstaltet-energy-awareness-brunch-im-rahmen-vom-waves-vienna/","https://greenstart.at/wp-content/uploads/sites/2/2017/02/Chance-fu¨r-gru¨ne-Start-Ups-Das-aws-i2-Investorenmeeting-2017-in-Kooperation-mit-dem-Klima-und-Energiefonds.png"
"51","https://greenstart.at/news/1001-daecher-als-kraftwerksstandort-gesucht/","https://greenstart.at/wp-content/uploads/sites/2/2017/02/Chance-fu¨r-gru¨ne-Start-Ups-Das-aws-i2-Investorenmeeting-2017-in-Kooperation-mit-dem-Klima-und-Energiefonds.png"
"52","https://greenstart.at/greenstart-2/start-ups-aufgepasst-greenstart-sucht-neue-gruene-business-ideen/","https://greenstart.at/wp-content/uploads/sites/2/2014/06/Start-Ups-aufgepasst-greenstart-sucht-neue-gru¨ne-Business-Ideen.jpg"
"53","https://greenstart.at/news/vorbereitungsworkshops/","https://greenstart.at/wp-content/uploads/sites/2/2017/02/Chance-fu¨r-gru¨ne-Start-Ups-Das-aws-i2-Investorenmeeting-2017-in-Kooperation-mit-dem-Klima-und-Energiefonds.png"
"54","https://greenstart.at/news/awattar-oekogotschi-und-tausendundein-dach-gewinnen-gruenen-start-up-wettbewerb/","https://greenstart.at/wp-content/uploads/sites/2/2017/02/Chance-fu¨r-gru¨ne-Start-Ups-Das-aws-i2-Investorenmeeting-2017-in-Kooperation-mit-dem-Klima-und-Energiefonds.png"
