"","article_URL","creator","article_title","content","date","img_link"
"1","https://greenstart.at/greenstart-2/greenstart-preisverleihung-17-01-17-wien/","Greenstart","greenstart Preisverleihung, 17.01.17, Wien","Drei „greenstars“ werden prämiert Sichern Sie sich schon jetzt einen Platz bei der greenstart Preisverleihung, bei der bekannt gegeben wird, welche drei Start-Ups die Fachjury und das Publikum des Online-Votings am meisten überzeugen konnten! Die Teilnahme ist kostenlos. Neben der Bekanntgabe der drei greenstars erwarten Sie ein inspirierendes Bühnenprogramm und interessante Kontakte beim Networking-Buffet. Wann und wo? Dienstag, 17. Jänner 2017, Einlass 18:00 Uhr, Beginn 19:00 Kuppelsaal, TU Wien, Karlsplatz 13, 4. Stock, 1040 Wien Die Anmeldung ist beendet. Für Plätze auf der Warteliste schreiben Sie bitte an greenstart(a)tatwort.at Programm18:00 Uhr Einlass & Networking mit TOP-10 „greenstars“ 19:00 Uhr Bühnenprogramm, Preisverleihung „greenstars“, Verkündung der TOP-3 20:45 Uhr Eröffnung Buffet Speaker Impuls-Vortrag: Lewis Horne, CEO, UNITI Sweden Andrä Rupprechter, Bundesminister für Land- und Forstwirtschaft, Umwelt und Wasserwirtschaft Ingmar Höbarth, Geschäftsführer Klima- und Energiefonds Alexis Johann, Geschäftsführer styria digital one Thomas Makrandreou, Leiter Unternehmenskommunikation ABB AG Moderation: Mirjam Unger Anreise mit öffentlichen Verkehrsmitteln: Station Karlsplatz (Ausgang Resselpark) U-Bahn-Linien U1, U2, U4 / Straßenbahnlinien 1, 62 Download Lageplan Sponsor der Veranstaltung","01.12.2016","https://greenstart.at/wp-content/uploads/sites/2/2016/12/greenstart-Preisverleihung-17.01.17-Wien.jpg"
"2","https://greenstart.at/greenstart-2/start-ups-aufgepasst-greenstart-sucht-neue-gruene-business-ideen/","Greenstart","Start-Ups aufgepasst: greenstart sucht neue grüne Business-Ideen","Bundesminister Andrä Rupprechter: „Der Erfolg aus dem vergangenen Jahr zeigt: Das Land braucht innovative junge UnternehmerInnen und Start-Ups um eine nachhaltige Entwicklung voranzutreiben. Mit der neuen Kategorie Landwirtschaft spricht greenstart weitere innovative Entrepreneurs an, die unser Land nachhaltig gestalten. Als Teil des Unternehmens Energiewende schaffen sie Green Jobs und stärken den Wirtschaftsstandort.“ Ob grüne, marktdynamische Stromversorgung, Nachhaltigkeit im Alltag mittels Gamification oder Photovoltaik-Einkaufsgemeinschaft für Unternehmen: „awattar“, „Ökogotschi“ und „Tausendundein Dach“ zeigen als Sieger des greenstart Wettbewerbes 2014 welch unterschiedliche Ideen und Konzepte eingereicht werden können. Mehr als 60 Einreichungen waren es im Vorjahr, mit der neuen Kategorie Landwirtschaft und der bereits etablierten Community wird heuer eine noch größere Vielfalt erwartet. „Die Top-3 greenstarter aus 2014 behaupten sich erfolgreich am Markt – das war unser Ziel und wir sind stolz auf diesen Erfolg. Heuer möchten wir den Weg fortsetzen und weitere grüne Geschäftsideen im heimischen Business etablieren. Wir schaffen damit konkrete Lösungen zur Umsetzung der Energiewende“, sagt Ingmar Höbarth, Geschäftsführer des Klima- und Energiefonds. Neuerungen für noch mehr Themenvielfalt und mehr Einreichungen In den kommenden Wochen und Monaten werden im Rahmen von greenstart in ausgewählten Klima- und Energiemodellregionen laufend Workshops abgehalten, bei denen Ideen für grüne Geschäftsmodelle entwickelt werden. Dabei wird eng mit den Nachhaltigkeitsverantwortlichen der Region zusammengearbeitet, um die Potenziale vor Ort zu identifizieren, Personen mit guten Ideen zu vernetzen und den Wettbewerb vorzustellen. Bewährte Formate werden fortgeführt Auch heuer erhalten greenstarter in einem zweistufigen Wettbewerb finanzielle Unterstützung, Workshops und Coachings in Kooperation mit dem Impact Hub Vienna und Preisgelder, um aus einer anfänglichen Geschäftsidee ein umsetzbares Konzept zu entwickeln: Im ersten Schritt können Start-Ups, Privatpersonen oder junge Unternehmen ihre neue Idee einfach und unkompliziert ab sofort bis 20.12.2015 einreichen. Nach Einreichschluss wählt die Jury die zehn vielversprechendsten Ideen aus. Diese TOP-10 erhalten im zweiten Schritt je € 6.000,- an Unterstützung für die Qualifizierungsphase, bei der in individuellen Workshops und Coachings aus der anfänglichen Idee ein ausgereiftes Geschäftsmodell erarbeitet wird. Eine erneute Bewertung entscheidet schließlich über drei Gewinnerprojekte – den Siegerinnen und Siegern winken je € 15.000,- Preisgeld. Alle EinreicherInnen profitieren Da die erfolgreichsten Ideen oft zu Beginn unentdeckt bleiben, hat sich greenstart zum Ziel gesetzt, alle EinreicherInnen zu unterstützen. greenstart.at fungiert nicht nur als Informations- sondern auch als Vernetzungsplattform – eingereichte Business-Ideen können online präsentiert werden. Zusätzlich sind alle TeilnehmerInnen im Rahmen des Wettbewerbes zu Networking-Events eingeladen, wo diese direkt mit Klima- und Energiemodellregionen, PartnerInnen und anderen Start-Ups in Kontakt treten können. Alle Einreichungen – auch die, die es nicht unter die TOP-10 schaffen – erhalten umfassende Beratung durch die aws Austria Wirtschaftsservice GmbH. Greenstart-Workshops für EinreicherInnen Für Start-Ups, die ihre Ideen bei greenstart einreichen möchten, bietet der Klima- und Energiefonds Workshops an. Bei diesen erhalten sie Informationen zur Ausschreibung, lernen die GewinnerInnen des letzten Jahres kennen und haben die Möglichkeit sowohl neue Ideen zu entwickeln als auch Feedback von ExpertInnen für bestehende Konzepte zu erhalten. Die Termine: Donnerstag, 17. September 2015 in der Klima- und Energie-Modellregion Freistadt Montag, 5. Oktober 2015 in der Klima- und Energie-Modellregion Salzburger Seenland Mittwoch, 28. Oktober 2015 in der Klima- und Energie-Modellregion Energieregion Weiz-Gleisdorf. Nähere Informationen und Anmeldemöglichkeiten entnehmen Sie bitte der Einladung. Weitere Informationen zum Wettbewerb und den Workshops:www.klimafonds.gv.at","05.06.2014","https://greenstart.at/wp-content/uploads/sites/2/2014/06/Start-Ups-aufgepasst-greenstart-sucht-neue-gru¨ne-Business-Ideen.jpg"
"3","https://greenstart.at/news/1001-daecher-als-kraftwerksstandort-gesucht/","Greenstart","1001 Dächer als Kraftwerksstandort gesucht","Artikel abrufbar unter derStandard.at","05.06.2014","https://greenstart.at/wp-content/uploads/sites/2/2017/02/Chance-fu¨r-gru¨ne-Start-Ups-Das-aws-i2-Investorenmeeting-2017-in-Kooperation-mit-dem-Klima-und-Energiefonds.png"
"4","https://greenstart.at/news/auftakt-event-2016/","Greenstart","Auftakt-Event 2016","Wann und wo? Donnerstag, 3. März 2016, Einlass 17:00 Uhr, Beginn 17:30, voraussichtliches Ende 20:30 Looshaus, Michaelerplatz 3, 1010 Wien Neben der spannenden Auszeichnung der EinreicherInnen, moderiert von Mari Lang (ORF), steht auch Zeit zum Netzwerken auf dem Programm. Die jungen, innovativen Start Ups werden ebenso anwesend sein wie erfahrene ExpertInnen, beispielsweise Wolfgang Deutschmann (Green Rocket) und Dr. Wolfgang Bretschko (Cocoquadrat). Aufgrund des großen Andrangs und der begrenzten Kapazität der Location musste die Anmeldung frühzeitig geschlossen werden – für Plätze auf der Warteliste bzw. als TOP-20 senden Sie bitte ein Mail an julia.beck(a)tatwort.at Danke! Interesse an weiteren Entwicklungen und Events von greenstart? Hier geht’s zur Mailingliste! Sponsor der Veranstaltung","04.02.2016","https://greenstart.at/wp-content/uploads/sites/2/2016/02/Auftakt-Event-2016.jpg"
"5","https://greenstart.at/news/awattar-oekogotschi-und-tausendundein-dach-gewinnen-gruenen-start-up-wettbewerb/","Greenstart","„awattar“, „Ökogotschi“ und „Tausendundein Dach“ gewinnen grünen Start-Up-Wettbewerb","Umweltminister Andrä Rupprechter: „Ich gratuliere den GewinnerInnen des ersten grünen Start-Up-Wettbewerbes greenstart sehr herzlich. Innovative Geister wie greenstars braucht das Land um eine nachhaltige Entwicklung voranzutreiben. Sie sind Teil des Unternehmens Energiewende, das unser Land nachhaltig gestalten wird.“ Die Ideen der drei GewinnerInnen bei greenstart, dem ersten grünen Start-Up-Wettbewerb des Klima- und Energiefonds, waren so vielfältig wie der Wettbewerb selbst. Aus mehr als 60 Einreichungen setzten sich durch: „awattar“ – ein Pionier der grünen und marktdynamischen Stromversorgung, „Ökogotschi“ – ein innovatives Computerspiel, welches Nachhaltigkeitsthemen durch Gamification in den Alltag einbindet sowie „Tausendundein Dach“ – eine Photovoltaik Einkaufsgemeinschaft für Unternehmen. Ingmar Höbarth, Geschäftsführer des Klima- und Energiefonds freut sich über seine ersten Schützlinge: „Heute ist ein großer Moment für uns. Vor etwa eineinhalb Jahren hatten wir eine bloße Vision: grünen Technologien und Dienstleistungen den Schritt in den Markt zu erleichtern. Mit Greenstart haben wir dieser Idee Leben eigehaucht und freuen uns heute über das Ergebnis: die ersten drei greenstars, sind bereit für den Markt und können bereits morgen mit umfassendem Know-How und Expertise ihre Arbeit starten.“ © Andreas Scheiblecker. V.l.n.r.: Andrä Rupprechter, Simon Schmitz, Cornelia Daniel-Gruber, Robert Praxmarer, Ingmar Höbarth Top-Speaker und reges Interesse an den Start-Ups Rund 300 BesucherInnen kamen zur großen Preisgala. Neben Willkommensworten von Ingmar Höbarth und Andrä Rupprechter gab es inspirierende Vorträge von internationalen Speakern wie Entrepreneur Mike Lin, US-Botschafterin Alexa Wesner, Medienprofi Alexis Johann und Wirtschafts- und Innovationsexperte Robert Körbler, Generaldirektor von Philips Austria. Das Live-Paper zum Event können Sie HIER abrufen.","05.06.2014","https://greenstart.at/wp-content/uploads/sites/2/2017/02/Chance-fu¨r-gru¨ne-Start-Ups-Das-aws-i2-Investorenmeeting-2017-in-Kooperation-mit-dem-Klima-und-Energiefonds.png"
"6","https://greenstart.at/news/bereit-nach-den-sternen-zu-greifen-start-der-inkubationsphase-fuer-die-top-10/","Greenstart","Bereit, nach den Sternen zu greifen: Start der Inkubationsphase für die TOP-10!","Begleitung durch Profis In der Inkubationsphase werden die TOP-10-Teams vom Netzwerk von „Der Brutkasten“ begleitet. Dejan Jovicevic, Gründer und Geschäftsführer der Start-Up-Plattform führte durch den Workshop. In den kommenden Monaten wird er die Teams gemeinsam mit den weiteren Coaches Lorenz Edtmayer (Founder & CEO, TAILORED MEDIA GROUP), Christoph Richter (zoomsquare Founder / Intellyo Co-Founder), Bernhard Thalhammer (Co-Founder, Frameshore) sowie Florian Kandler (Founder, Co-Founder, Entrepreneur & Startup Enthusiast) begleiten. Über ihre Coaches erhalten die Start-Ups Zugang zum ExpertInnen-Netzwerk von „Der Brutkasten“. Konzentrierter Input Im ersten Workshop erhielten die greenstarter vielfältigen Profi-Input aus erster Hand: So sprach Business Angelina und Start-Up Expertin Selma Prodanovic darüber, wie wichtig das passende Team und der richtige Spirit für die Entwicklung von Ideen ist und stellte ihre Initiative One Million Start-Ups vor. Um das eigene Business bekannter zu machen, zählt Pressearbeit zum A und O – wertvolle Tipps dazu gab es von Andreas Danzer, einem Redakteur von „Der Brutkasten“. Außerdem erhielten die greenstarter die Chance, sich und ihre Business-Ideen zu präsentieren und erstes Feedback von Profis zu erhalten. Die nächsten Schritte Unter Begleitung der Coaches wird nun jedes der zehn Start-Ups die wichtigsten Meilensteine festlegen, an denen sie in den kommenden Monaten arbeiten werden. Diese individuell definierten Entwicklungsziele begleiten die TOP-10-Teams während der gesamten Inkubationsphase und dienen der Experten-Jury im Herbst als Grundlage für die Beurteilung. Im Juli treffen die Teams zu einem Outdoor-Workshop wieder zusammen.","22.05.2017","https://greenstart.at/wp-content/uploads/sites/2/2017/05/Bereit-nach-den-Sternen-zu-greifen-Start-der-Inkubationsphase-fu¨r-die-TOP-10.jpg"
"7","https://greenstart.at/news/chance-fuer-gruene-start-ups-das-aws-i2-investorenmeeting-2017-in-kooperation-mit-dem-klima-und-energiefonds/","Greenstart","Chance für grüne Start-Ups: Das aws i2 Investorenmeeting 2017 in Kooperation mit dem Klima- und Energiefonds","Neben Input von Bernd Litzka (aws i2 Business Angels), Christoph Wolfsegger (Programm-Manager greenstart, Klima- und Energiefonds), Andreas Dangl (WEB Windenergie AG & FutureDriving Dangl GmbH) und Markus Kreisel (Kreisel Electric GmbH) steht vor allem das Networking im Vordergrund. Bewerbung bis 2. März 2017 Grüne Start-Ups aus den Bereichen Mobilität, Energietechnik, Landwirtschaft, Recycling & Werkstofftechnik sind eingeladen, sich zu bewerben und die Chance auf wertvolle Kontakte zu nutzen: Die Bewerbung für Start-ups läuft bis 02. März 2017 per E-Mail an start@aws.at Anmeldung für Business Angels bis 10. März 2017 per E-Mail an angel@aws.at Weitere Informationen: https://i2.awsg.at/events","14.02.2017","https://greenstart.at/wp-content/uploads/sites/2/2017/02/Chance-fu¨r-gru¨ne-Start-Ups-Das-aws-i2-Investorenmeeting-2017-in-Kooperation-mit-dem-Klima-und-Energiefonds.png"
"8","https://greenstart.at/news/co2-neutraler-brennstoff-aus-klaerschlamm/","Greenstart","CO2-neutraler Brennstoff aus Klärschlamm","Man sollte nicht glauben, was alles im Klärschlamm steckt. Früher wurde er einfach auf die Felder ausgebracht, heute muss er aus ökologischen Gründen um teures Geld – rund 300 Euro pro Tonne – entsorgt werden. Aber es geht auch anders, ist der Firmengründer überzeugt. Er entwickelte in zweijähriger intensiver Arbeit das sogenannte RSR-Verfahren (Recovered Sludge Resources), einen mehrstufigen Prozess, in dem anorganische Materialien entfernt, Rückstände oxidiert und Phosphor zurückgewonnen wird. Phosphor und Brennstoff. Rückenwind erhält Green Sentinel durch die deutsche Klärschlammverordnung, die eine Phosphor-Rückgewinnung für mittlere und große Kläranlagen vorschreibt. Die BetreiberInnen müssen bis 2023 ein entsprechendes Konzept dafür vorlegen. Auch in Österreich ist mit ähnlichen Vorschriften zu rechnen. „Das wahre Potenzial des Klärschlamms liegt jedoch nicht im Phosphor für die Düngemittelindustrie, sondern im hohen Heizwert, der über jenem von Braunkohle liegt“, erklärt Scheiböck-Ortner. „Unser Ersatzbrennstoff kann in gängigen Feststoff-Heizkesseln ab 50 kW eingesetzt werden.“ Daniel Scheiböck-Ortner ist Biotechnologe und hat drei Jahre Berufserfahrung in den Bereichen Abwassertechnik und Industrieanlagenbau. Dabei betreute er auch Forschungs- und Entwicklungsprojekte. Sein Team setzt sich aus bestens qualifizierten, jungen Technikern zusammen, die zusätzliche Erfahrung aus den Bereichen Verfahrenstechnik sowie Industrieanlagenplanung und Bau mitbringen. Darüber hinaus unterstützt ein unternehmenseigenes Expertenboard aus Branchenkennern und Betriebswirten mit seiner Expertise. Startbereit. Am 1. August wurde die GmbH gegründet, Ende des ersten Quartals 2021 soll die erste Anlage fertig sein. Green Sentinel bietet stationäre Aufbereitungsanlagen für Kläranlagen und für Energieversorger, die schon bisher Klärschlamm thermisch verwerten, zum Kauf an. BetreiberInnen kleiner Klärwerke können auch eine mobile Anlage anmieten. greenstart, die Start-up-Initiative des Klima- und Energiefonds, erwies sich als sehr nützlich. „Vor allem die Vernetzung ist für uns sehr wichtig“, sagt Scheiböck-Ortner. „Dabei sind der Klima- und Energiefonds und die Klima- und Energie-Modellregionen (KEM) für uns unverzichtbar.“ Er hofft, dass seine ganzheitliche Lösung für den Umgang mit Klärschlamm in möglichst vielen KEMs diskutiert und umgesetzt wird. Großauftrag. Die ersten Anlagen werden aber wohl nach Deutschland gehen. Aber auch hierzulande ist das Marktpotenzial gewaltig. Denn in Österreich fallen jährlich 235.000 Tonnen Trockenmasse an Klärschlamm an – und die BetreiberInnen können mit der neuen Technologie zwischen 40 und 70 Prozent der Kosten im Vergleich zur Entsorgung einsparen.","29.09.2020","https://greenstart.at/wp-content/uploads/sites/2/2020/09/treatment-plant-wastewater-2826990_1920.jpg"
"9","https://greenstart.at/news/das-kraftwerk-das-auf-wellen-tanzt/","Greenstart","Das Kraftwerk, das auf Wellen tanzt","Den Seinen gibt’s der Herr im Schlaf. „Auch wenn es seltsam klingen mag, ich habe vor sieben, acht Jahren mehrfach von schwimmender Photovoltaik im Meer geträumt“, sagt Gerold Guger. Das ließ dem Großhändler keine Ruhe und er begann zuerst allein, dann gemeinsam mit dem Photovoltaikspezialisten und ehemaligen Geschäftsführer der Ertex Solar-Amstetten, Martin Aichinger, an einem salzwasserbeständigen Photovoltaiksystem zu arbeiten. Vier Jahre lang widmeten sie sich die beiden der Entwicklung, bevor sie im Vorjahr die SolOcean GmbH gründeten. Salzresistent. „Schwimmende Photovoltaik ist nicht neu“, erklärt Guger. „Aber nur unser System hält auf Dauer auch Salzwasser, Strömung und Wellen stand.“ Herkömmliche Photovoltaikpaneele werden an der Vorderseite verglast und auf der Rückseite mit einer Kunststofffolie versehen. SolOcean verwendet dagegen auch für der Rückseite Glas und lässt die Paneele bei einem österreichischen Produzenten fertigen. Eine spezielle Randversiegelung gewährleistet, dass mindestens 30 Jahre lang weder Wasser noch Salz eindringen können. Durch die natürliche (Wasser-)Kühlung und die Oberflächenstruktur der Paneele liefert die „Floating Photovoltaik“ von SolOcean auch ein gutes Fünftel mehr Strom als vergleichbare Anlagen. Den selbst entwickelten zwei Quadratmeter großen Floater, auch Schwimmkörper genannt, lässt SolOcean beim Kunststoffspezialisten Rehau produzieren. Dieser besteht aus UV-stabilem und salzwasserresistentem HDPE-Kunststoff und verfügt über bis zu 430 Kilogramm Auftrieb. Für ruhige Gewässer bietet SolOcean auch eine abgespeckte Version mit weniger Auftrieb an. Die Floater werden aneinander und an Mooringleinen befestigt sowie mit einer patentierten Steckverbindung verschaltet. Die ebenfalls patentierte Solarglasbeschichtung sorgt für eine nahezu selbstständige Reinigung des Kraftwerks durch Wind und Wasser. Vögel werden mit Ultraschall vergrämt – denn so eine kleine schwimmende Insel fernab von Fressfeinden wäre natürlich ein einladender Nistplatz. Sonne statt Diesel. „Ich habe bei einer Malediven-Reise vor einigen Jahren mitbekommen und danach recherchiert, dass die Inseln jährlich mit 517 Millionen Liter Diesel beliefert werden – das entspricht etwa 1,5 Millionen Tonnen jährlichem CO2-Ausstoß“, so Guger. „Land ist hier sehr kostbar, aber rundherum gibt es unendlich viel Meer. Auf einer vergleichsweise winzigen Meeresfläche könnte der gesamte Inselstaat mit Sonnenstrom versorgt werden – und das bei einer Amortisationszeit von lediglich 3,5 Jahren. In Kombination mit einer Speicherlösung würde auch die Versorgung in der Nacht sichergestellt – allerdings bei der doppelten Amortisationszeit.“ Erste Aufträge der Malediven und aus Bayern liegen bereits vor. Im Herbst soll ein allererstes SolOcean-Kraftwerk in Niederösterreich errichtet werden. Die internationalen Aufträge hofft Guger im ersten und zweiten Quartal 2021 umsetzen zu können. Auch für Österreich sehen Guger und Aichinger Marktpotenziale. „Wollen wir in Österreich die Klimaziele erreichen, werden die vorhandenen Dachflächen für die Photovoltaik nicht ausreichen“, meint Guger und schlägt vor, Speicher- und Stauseen für die Solarstromgewinnung zu nutzen. „Würden wir ein Drittel dieser Fläche nutzen, entspräche das einer Leistung von fünf Gigawatt oder zwei mittleren Atomkraftwerken.“ Künstliche Gewässer nutzen. „Wir sind glücklich, unter die Top-10 von greenstart gekommen zu sein, und wurden daraufhin auch schon mehrfach von verschiedenen Unternehmen und Energieversorgern kontaktiert“, freut sich Guger. Von den Klima- und Energie-Modellregionen wünscht er sich vor allem, dass diese die schwimmende Stromproduktion „einmal andenken“. Nicht jede Region verfügt über Staubecken, aber vielleicht über geeignete Feuerwehr- und Fischteiche oder die bereits angesprochenen künstlichen Seen für Schneekanonen. Sicher nicht antasten möchten die erfahrenen Jungunternehmer Natur- oder Badegewässer.","30.09.2020","https://greenstart.at/wp-content/uploads/sites/2/2020/09/3D-Muster-rotated.jpg"
"10","https://greenstart.at/news/die-top-start-ups-sieger-des-wettbewerbs-greenstart-praemiert/","Greenstart","Die TOP-Start-Ups: Sieger des Wettbewerbs greenstart prämiert","Im Rahmen von greenstart, dem Start-Up Wettbewerb des Klima- und Energiefonds in Kooperation mit dem Bundesministerium für Land- und Forstwirtschaft, Umwelt und Wasserwirtschaft (BMLFUW), erhielten zehn Start-Ups ein halbes Jahr Coachings und Workshops, um ihre Business-Ideen gezielt weiterzuentwickeln. Bei der gestrigen Preisverleihung übergaben Sektionschef Günter Liebel und Klima- und Energiefonds-Geschäftsführer Ingmar Höbarth den drei Gewinner-Teams Preisgelder von je 15.000 Euro. Umweltminister Andrä Rupprechter: „Ich gratuliere den drei Gewinner-Teams herzlich. Mit ihren Ideen und ihrem Engagement reduzieren sie den CO2-Ausstoß und sind gleichzeitig wirtschaftlich erfolgreich. Außerdem lösen sie eine positive Kettenreaktion aus: Die jungen, klimaschonenden Unternehmen gehen vorbildhaft voran und inspirieren damit viele weitere.“ 47 Projekt-Ideen wurden bei greenstart eingereicht, zehn Start-Ups schafften es mit vielfältigen Ideen ins Finale und entwickelten diese sechs Monate lang unter professioneller Begleitung zu marktfähigen Geschäftsmodellen weiter. Die zehn Start-Ups stellten sich anschließend einer Fachjury und einem Online-Voting, welche die TOP-3 kürten: Die „2-Kammern-Organismenwanderhilfe“ ist eine universell einsetzbare Fischtreppe, die neben der Gewässerdurchgängigkeit im Bereich von Querbauwerken auch elektrische Energie bereitstellt. Das Team von „E²T – Efficient Energy Technology“ hat ein Mini-Kraftwerk aus Photovoltaik und Speicher entwickelt, das von EndkonsumentInnen selbst installiert werden kann und bis zu einem Viertel des Strombedarfs im Haushalt deckt. „Fahrrad der Zukunft“ möchte die Fahrradproduktion mit einem Kunststoff-Spritzgussverfahren revolutionieren, welches den CO2-Ausstoß um über 50% senkt und zudem die Fahrradrahmenproduktion zurück nach Europa bringen könnte. Ingmar Höbarth, Geschäftsführer des Klima- und Energiefonds freut sich über den Erfolg von greenstart: „Viele der mittlerweile 30 jungen Unternehmen, diewir mit greenstart begleitet haben, sind höchst erfolgreich am Markt. Wir planen in den nächsten Monaten eine neue Ausschreibung, bei der wir uns wieder auf spannende, neue Business-Ideen freuen.“ 2-Kammern-Organismen-Wanderhilfe – FISHCON WER WIR SIND: Wir von der 2-Kammern-Organismenwanderhilfe wollen zeigen, dass der ökologische Gewässerschutz und die Wasserkraftnutzung auch vereint werden können. Mit unserer innovativen Fischschleuse kann die Fischwanderung schonend und einfach ermöglicht werden und der Leitstrom ohne großen Mehraufwand energetisch genutzt werden. Dies ist für die Umwelt gut – aber auch für die Wirtschaftlichkeit! WARUM GREENSTART? Von der Idee zum Business – das war unser Ziel bei greenstart. Nach der Entwicklung und Patentierung des Systems war es notwendig, das unternehmerische Knowhow im Team zu stärken und Aufmerksamkeit zu gewinnen. Dafür ist greenstart ideal! WAS WIR SUCHEN: Wir suchen Standorte für erste Pilotanlagen und Unternehmen, die wie wir an die 2-Kammern-Organismenwanderhilfe glauben und als Partner Bauteile der 2-Kammern-Organismenwanderhilfe (Turbine, Schieber und Co.) fertigen möchten bzw. uns im Vertrieb unterstützen wollen. E²T – Efficient Energy Technology WER WIR SIND: E²T ist ein Spin-Off der TU Graz und hat das einzigartige Kleinstkraftwerk „SolMate“ entwickelt. SolMate ist ein kleines Kraftwerk (bestehend aus Photovoltaik und Speicher), welches am Balkon angebracht und einfach in eine gewöhnliche Steckdose eingesteckt wird. Der selbstproduzierte Grünstrom wird über die Steckdose zurückgespeist und kann über die normalen Stromleitungen in der gesamten Wohnung genutzt werden. WARUM GREENSTART? greenstart ist eine super Möglichkeit, um unser Produkt in der Bundeshauptstadt zu bewerben, Netzwerke zu nutzen und wertvolles Feedback zu unserem Business-Modell zu erhalten. WAS WIR SUCHEN: In erster Linie suchen wir potenzielle VertriebspartnerInnen und Unterstützer im Bereich Sales, Marketing und PR, denn in diesen Bereichen haben wir kaum Erfahrung. Fahrrad der Zukunft WER WIR SIND: Wir haben uns zum Ziel gesetzt, Fahrräder und deren komplettes Herstellungsverfahren grundlegend zu revolutionieren. Wir bringen recycle- & wiederverwertbare Kunststoffe in eine unverwechselbare Formensprache und funktionalisieren ihre Oberflächen. Mit unserer patentierten Verfahrenstechnik zur Herstellung von Fahrrädern können wir die Herstellungskosten und den CO2-Ausstoß um über 50 % reduzieren und bringen die Wertschöpfungskette wieder zurück nach Europa. WARUM GREENSTART? Im Zuge unserer Entwicklungsarbeit ist uns bewusstgeworden, welchen riesigen ökologischen Nutzen wir durch die Substituierung des Werkstoffs Aluminium erzielen. greenstart ist hierfür die ideale Plattform, um unser Ergebnis der Fachjury und der breiten Öffentlichkeit zu präsentieren. Das Programm von greenstart hat uns sehr geholfen den Business-Plan im Detail zu durchleuchten und daran zu feilen. WAS WIR SUCHEN: Interessante Menschen, die mit einer Vision die Realität verändern! Personen, mit denen man sich austauschen kann und die mit ihrer Erfahrung zum Erfolg beitragen können.","21.11.2017","https://greenstart.at/wp-content/uploads/sites/2/2017/11/Die-TOP-Start-Ups-Sieger-des-Wettbewerbs-greenstart-pra¨miert.png"
