"","article_link","img_link"
"1","https://i2c.tuwien.ac.at/event/eoi-research-ethics-focus-horizon-europe-call/","https://i2c.tuwien.ac.at/wp-content/uploads/2021/04/Artboard-4-copy_EOI-1024x536.jpg"
"2","https://i2c.tuwien.ac.at/event/e4s-public-funding-for-your-high-tech-start-up/","no_image"
"3","https://i2c.tuwien.ac.at/event/eoi-my-northstar/","https://i2c.tuwien.ac.at/wp-content/uploads/2020/09/Kopie-von-Facebook_JF_SoSe201-1024x800.jpg"
"4","https://i2c.tuwien.ac.at/event/joint-forces-27-hosted-by-bokubase/","https://i2c.tuwien.ac.at/wp-content/uploads/2021/04/facebook-eventbrite_VUP-1024x536.jpg"
"5","https://i2c.tuwien.ac.at/event/i%c2%b2c-fi-talk-66-dr-florian-dorfbauer-senior-director-dynatrace-hub-2/","https://i2c.tuwien.ac.at/wp-content/uploads/2021/05/Artboard-4_EOI_May-1024x536.jpg"
"6","https://i2c.tuwien.ac.at/event/eoi-maximizing-impact-make-your-proposal-stand-out/","https://i2c.tuwien.ac.at/wp-content/uploads/2021/04/FBWP_May-1024x536.jpg"
"7","https://i2c.tuwien.ac.at/event/e4s-applying-circular-thinking-to-your-spin-out/","https://i2c.tuwien.ac.at/wp-content/uploads/2021/04/facebook-eventbrite-1024x536.jpg"
"8","https://i2c.tuwien.ac.at/event/i%c2%b2c-fi-talk-67-stefan-nagel-partner-at-round2-capital-partners/","https://i2c.tuwien.ac.at/wp-content/uploads/2021/04/facebook-eventbrite_short_VUP-1024x536.jpg"
"9","https://i2c.tuwien.ac.at/event/i%c2%b2c-fi-talk-65-ana-teresa-freitas-ceo-co-founder-heartgenetics/","https://i2c.tuwien.ac.at/wp-content/uploads/2021/04/eventbrite-facebook-1024x536.jpg"
"10","https://i2c.tuwien.ac.at/event/i%c2%b2c-fi-talk-64-andreas-wendel-vp-of-engineering-at-kodiak-robotics-2/","https://i2c.tuwien.ac.at/wp-content/uploads/2021/04/Artboard-4-copy_EOI-1024x536.jpg"
"11","https://i2c.tuwien.ac.at/event/panel-discussion-spinning-off-tu-wien/","no_image"
"12","https://i2c.tuwien.ac.at/event/innovation-and-the-power-of-the-entrepreneurial-mindset/","no_image"
"13","https://i2c.tuwien.ac.at/event/beyond-pivoting-the-degrees-of-freedom-available-to-medtech-entrepreneurs/","no_image"
"14","https://i2c.tuwien.ac.at/event/corporate-branding/","no_image"
"15","https://i2c.tuwien.ac.at/event/how-to-promote-your-technology-yourself-at-trade-shows-like-a-pro/","no_image"
"16","https://i2c.tuwien.ac.at/event/healthy-high-performance/","no_image"
"17","https://i2c.tuwien.ac.at/event/what-to-consider-when-splitting-the-founding-equity/","no_image"
"18","https://i2c.tuwien.ac.at/event/e4s-your-checklist-for-company-foundation/","https://i2c.tuwien.ac.at/wp-content/uploads/2021/03/wordpress-1024x536.png"
"19","https://i2c.tuwien.ac.at/event/eoi-productivity-hacks/","https://i2c.tuwien.ac.at/wp-content/uploads/2021/03/facebook-eventbrite-1-1024x536.jpg"
"20","https://i2c.tuwien.ac.at/event/i%c2%b2c-fi-talk-63-dr-florian-neukart-director-volkswagen-data-lab-munich/","https://i2c.tuwien.ac.at/wp-content/uploads/2021/03/FBWPApril-E4S-1024x536.jpg"
"21","https://i2c.tuwien.ac.at/event/i%c2%b2c-fi-talk-62-craig-soules-director-product-management-freshworks/","https://i2c.tuwien.ac.at/wp-content/uploads/2021/03/facebook-eventbrite-1024x536.jpg"
"22","https://i2c.tuwien.ac.at/event/tuw-i%c2%b2c-founder-investor-talk-61-by-peter-windischhofer-refurbed/","no_image"
"23","https://i2c.tuwien.ac.at/event/tuw-i%c2%b2c-founder-investor-talk-60-by-johannes-berger-mimo/","no_image"
"24","https://i2c.tuwien.ac.at/event/1-milestone-presentation-2/","no_image"
"25","https://i2c.tuwien.ac.at/event/sales-b2b-rosenmayr/","no_image"
"26","https://i2c.tuwien.ac.at/event/finance-presentation-lang/","no_image"
"27","https://i2c.tuwien.ac.at/event/expert-session-ba-vc-lang/","no_image"
"28","https://i2c.tuwien.ac.at/event/pitching-session-cronin/","no_image"
"29","https://i2c.tuwien.ac.at/event/financial-plan-2-ws-lang/","no_image"
"30","https://i2c.tuwien.ac.at/event/pr-ws-holzer/","no_image"
"31","https://i2c.tuwien.ac.at/event/monetization-pricing-pinter-schranz/","no_image"
"32","https://i2c.tuwien.ac.at/event/rapid-prototyping-ws-pinter-schranz/","no_image"
"33","https://i2c.tuwien.ac.at/event/go-to-market-strategy-pinter-schranz/","no_image"
"34","https://i2c.tuwien.ac.at/event/rapid-prototyping-ws-schranz-pinter/","no_image"
"35","https://i2c.tuwien.ac.at/event/public-funding-expert-session-lang/","no_image"
"36","https://i2c.tuwien.ac.at/event/termsheet-negotiation-ws-fp-1-lang/","no_image"
"37","https://i2c.tuwien.ac.at/event/branding-ws-hammerle/","no_image"
"38","https://i2c.tuwien.ac.at/event/equity-financing-lang/","no_image"
"39","https://i2c.tuwien.ac.at/event/business-models-financial-plan-lang/","no_image"
"40","https://i2c.tuwien.ac.at/event/competition-market-analysis-ws-ditzel-glatt/","no_image"
"41","https://i2c.tuwien.ac.at/event/intro-financing-lang/","no_image"
"42","https://i2c.tuwien.ac.at/event/lean-canvas-ws-negoescu-peruzzi/","no_image"
"43","https://i2c.tuwien.ac.at/event/ms-metrics-4-startups-rappold/","no_image"
"44","https://i2c.tuwien.ac.at/event/competitor-market-analysis-ws-ditzel-glatt/","no_image"
"45","https://i2c.tuwien.ac.at/event/ms-pricing-strategy-rappold/","no_image"
"46","https://i2c.tuwien.ac.at/event/foundations-of-innovation-peruzzi-4/","no_image"
"47","https://i2c.tuwien.ac.at/event/idea-presentation/","no_image"
"48","https://i2c.tuwien.ac.at/event/design-thinking-ws-kreppel/","no_image"
"49","https://i2c.tuwien.ac.at/event/foundations-of-innovation-peruzzi-3/","no_image"
"50","https://i2c.tuwien.ac.at/event/creativity-ideas-experiment-prem/","no_image"
