"","article_URL","creator","article_title","content","date","img_link"
"1","https://i2c.tuwien.ac.at/event/beyond-pivoting-the-degrees-of-freedom-available-to-medtech-entrepreneurs/","I2C","Beyond Pivoting: The Degrees of Freedom available to MedTech Entrepreneurs","Achieving success in the MedTech world has been said to depend on the four factors of Unmet Need, Intellectual Property, People and Money. There are various schools of thought on which of these should come first. Stanford’s Biodesign program teaches the needs-led approach based on early stakeholder engagement. The age-old “Technology Push” approach starts with IP, and often has to search for or establish an unmet need. Starting with people or money is less common. A deeper dive into case studies of successful MedTech societal impact teaches us that we should consider all of these factors as substitutable. You are almost certainly familiar with examples of pivoting a technology to another unmet need, but how do you build a stronger business case by swapping Intellectual Property, People and Money?  More about the guest speaker: Professor James E. Moore Jr., Ph.D. The Bagrit Chair in Medical Device Design Department of Bioengineering Imperial College London Prof. Moore received his PhD in 1991 from the Georgia Institute of Technology, followed by postdoctoral training at the Swiss Institute of Technology at Lausanne, where he also helped set up a new biomedical engineering lab. In January 2013, he joined Imperial College as the Bagrit Chair in Medical Device Design, and started a new masters program in medical device entrepreneurship. To date, eight spinouts have resulted from this program that have attracted more than £4 million in grant and professional investor funding. Prof. Moore is a Fellow of the American Society of Mechanical Engineers, the Institution of Mechanical Engineers, and the American Institute of Medical and Biological Engineering. Prof. Moore’s research interests include Cardiovascular Biomechanics, Stents, Implantable Devices, Atherosclerosis, and the Lymphatic System. His research focuses on the role of biomechanics in the formation and treatment of diseases such as atherosclerosis and cancer. His cardiovascular biomechanics research includes the first studies of the effects of stents on both blood flow patterns and artery wall stress. This work resulted in the development of two novel stent designs aimed at optimizing post-implant biomechanics for the prevention of restenosis. He is currently developing two technologies for preventing and resolving secondary lymphedema, which forms subsequent to cancer surgery. Along with his funding from government, charity, and industry sources, Prof. Moore has received multiple patents for medical devices and testing equipment. Prof. Moore has also co-founded two startup companies, with another two about to emerge.","April 7, 2021","no_image"
"2","https://i2c.tuwien.ac.at/event/corporate-branding/","I2C","Corporate Branding","Corporate Branding is said to be expensive and time-consuming, its impact on a companies success simply not quantifiable. Furthermore, brand strategies require fundamental know-how on marketing – a vital obstacle for startups, small or medium enterprises. But without authentic and convincing communication even good ideas remain unseen, their sales under their potential. Guest Lecturer Florian Hämmerle The Viennese branding experts Hämmerle & Luger want to clear up misunderstandings. By focussing on tools that are intuitively applicable they help create and maintain strong brands that do not require any marketing expertise. The workshop „Let me tell you a story … a shortcut to powerful branding“ delivers insights into their core method „Archetypal Branding”. It shows an easy way to focus a brands communication by finding an emotional and meaningful key message.","April 7, 2021","no_image"
"3","https://i2c.tuwien.ac.at/event/e4s-applying-circular-thinking-to-your-spin-out/","I2C","#E4s – Applying circular thinking to your spin-out","Transforming the Economy to become more regenerative, restorative and circular is one of the key drivers for business in the EU as well as for the increasing amount of sustainability-minded citizens. The EU Circular Economy Action Plan, alongside the Green Deal, promotes that all products in the EU need to be developed in a sustainable way. This starts with the design for the circularity of products and services but also looking at circular solutions along the entire Value Chain. Looking into circular solutions should become part of the business development of each Spin-off, and it is important to understand that circularity is a lot more than thinking about recyclability. So, quite often the potential of circularity is not explicitly considered when building the business case. In this workshop, you will gather an understanding of which business opportunities exist when applying circular thinking. We will look at tools to identify the potential and how looking into the entire circular value chain can show potential to bring your ideas to an application in business. We will open the minds to see what partners along the circular value chain would need and how you can tap into these opportunities. Based on a case study you will learn how you can use the Circular Canvas to identify solutions by applying good practices of circularity. • Have a good overview of what opportunities for circular business models exist • Know what is required to make your solution more circular • Have experienced working with a powerful tool to activate your team and stakeholders • Get an idea of which steps you can go to further embrace the circular thinking Andreas Ellenberger is Co-Founder and CEO of Circonnact, an organization focusing on the application of circular economy in urban areas, supporting companies and communities to explore, create and implement regenerative circular solutions. For more than 20 years he has been delivering changes successfully in small, medium and large companies and organisations. After graduating in Business Administration at the University of Gießen, Germany, he supported and ran projects and programmes and was IT department lead for a financial services group. 12 years ago, he became a certified project management trainer and developed project governance structures for medium-sized companies and business units. In more than 250 trainings he helped the participants to become well equipped to handle projects and changes with an open mindset and professional methods and tools, always focusing on how to transfer the know-how into the reality of the participants. He organized the collaboration of the Horizon2020 research project Sport Infinity to develop circular sports products and noticed that circular thinking is motivating people to find new innovative solutions and to cooperate. Since 2014 he is actively involved in spreading the ideas of a circular economy, with a focus on how to work in an agile and collaborative way to ensure the implementation is future-proof and based on the contribution of all stakeholders. ","April 21, 2021","https://i2c.tuwien.ac.at/wp-content/uploads/2021/04/facebook-eventbrite-1024x536.jpg"
"4","https://i2c.tuwien.ac.at/event/e4s-public-funding-for-your-high-tech-start-up/","I2C","#E4s – Public funding for your high-tech start-up","As a founder, you are constantly in need of financial means. Public funding by AWS (and especially grants) is a means to gain them in an early stage when neither banks nor business angles are willing to take the risk and provide them. In this session, we will give some hints about the requirements and the dos and don’ts to meet them. The Austria Wirtschaftsservice Gesellschaft mbH (aws) is the Austrian federal promotional bank. By providing reduced interest loans, grants, and financial guarantees, AWS supports enterprises in the implementation of innovation projects, particularly if the necessary funds cannot be raised from other financing sources. Also, specific information, consultancy, assistance, and other services are offered to (pre-)start-ups as well as existing and expanding enterprises.   Guest lecturer In the last 20 years Karl Biedermann has worked with voestalpine (an Austrian Steel corporation) and CSC (US Computer Sciences Corporation) with a focus on Industrial IT-Products/Services and B2B-Sales. With AWS, he advises, supports and funds hi-tec-startups as an investment manager for over 9 years now and is a member in several (Startup) funding decision boards in Austria. He holds a masters degrees in telecommunications, business administration and corporate communications.","April 23, 2021","no_image"
"5","https://i2c.tuwien.ac.at/event/e4s-your-checklist-for-company-foundation/","I2C","#E4s – Your checklist for company foundation","Description of the Workshop This workshop will focus on the overall process of setting up a business in Vienna. What are the forms of business entities, their advantages and disadvantages, and what are the steps and documents needed to register your company? Learn what is a shareholder agreement, when should you sign it and discover the rules and regulations you should follow when founding a company. About the lecturer – Wolfgang Graf – Partner Graf Patsch Taucher (since 2004) admitted as attorney-at-law both in Austria and New York Dr. Wolfgang Graf is an attorney-at-law in the Viennese law firm Graf Patsch Taucher. Mr. Graf holds degrees from the University of Vienna law school (Mag. iur. Dr. iur.) and the Pennsylvania State University (LL.M.). He is admitted to practice law both in Austria and N.Y. Mr. Graf specializes mainly in corporate and mergers & acquisitions. He is a lecturer at the University for Applied Sciences Wr. Neustadt and author of a book on data protection law and several articles on corporate law. Mr. Graf is vice-president of the “Institute for Forensic Analysis”, a private institute analyzing capital market-related publications and the prevention of business and capital markets-related white-collar crime. ","March 24, 2021","https://i2c.tuwien.ac.at/wp-content/uploads/2021/03/wordpress-1024x536.png"
"6","https://i2c.tuwien.ac.at/event/eoi-maximizing-impact-make-your-proposal-stand-out/","I2C","#EoI – Maximizing impact: make your proposal stand out","Research agencies often use Impact as one of the main criteria in prioritizing and selecting proposals. Researchers on the other hand often feel out of their comfort zone in discussing market demand figures and outreach strategies. In this seminar we investigate how thinking about impact maximization can lead to better research and improved success rates of research project proposals. Guest lecturer Dr. Erich Prem, the CEO of eutema Technology Management GmbH, is a computer scientist and epistemologist with more than two decades of experience in strategic research and technology management. He is advisor in RTDI policies to governments, research organisations, universities, and industry. Erich is a frequent evaluator for national and international research agencies, has designed and managed research programmes and participated in the evaluation of programmes and policy initiatives in RTDI. Erich teaches Creativity and Ideas as well as Digital Humanism at TU Vienna and is chief strategist of eutema GmbH, a Vienna-based strategic technology consultancy.","April 21, 2021","https://i2c.tuwien.ac.at/wp-content/uploads/2021/04/FBWP_May-1024x536.jpg"
"7","https://i2c.tuwien.ac.at/event/eoi-my-northstar/","I2C","#EoI – My Northstar","Do you have your personal Northstar? That bright, shiny thing in the middle of the night’s darkness that gives directions, that allows you to decide what gets a “YES” and what gets a “NO” in your life? f you don’t have your Northstar you shouldn’t be too surprised if you wake up one day, wondering why you are where you are. You are interested to get back into the driver seat of your life? You’d like to have (finally) more clarity for what you’d like to see happening? You are wondering how to put all that on your personal visionboard? These are the things we are going to touch in this workshop – but only join if you are ready to get some work done, answer some questions for yourself and if you are ready to differentiate yourself from average performers. Guest Lecturer Michaela Lindinger is the founder & CEO of braininspa, an executive sparring and employee experience company. Braininspa nudges visionary leaders and entrepreneurs to the right structures, habits and mindset for maximizing their healthy high performance. Michaela worked with Fortune 500 organizations around the world on digital strategies and large scale transformation projects, value creation and innovation assignments in multi-million-dollar projects. She has also worked with several startups and international corporate talents across industries to prepare their mindset for the digital transformation and adjusting their business models to become agile and purpose-driven. Michaela is a millennial serial founder (3x CEO / Co-Founder) and experienced corporate executive, but also a passionate mom and family-manager. She is an author and university lecturing professor for innovation, business models and leadership since the age of 29, a member of the international FORBES © Council and the International Society for Coaching Psychology. She holds an international Business Masters Degree from Austria and a Masters Degree in Coaching Psychology from the UK / London. ","April 22, 2021","https://i2c.tuwien.ac.at/wp-content/uploads/2020/09/Kopie-von-Facebook_JF_SoSe201-1024x800.jpg"
"8","https://i2c.tuwien.ac.at/event/eoi-productivity-hacks/","I2C","#EoI – Productivity Hacks","Description of the workshop Being productive is more than just learning how to “squeeze the lemon”. It’s about learning how to implement simple structures and habits that make your complicated life at least a little bit easier. Let’s jointly discover some of the most powerful productivity hacks that high performers across all industries keep as their “little unknown secrets”. Learn what they are doing to have more things fit into their 24hours of the day and what it is that you can do to stay ahead of the game on the truly important things in your life, the stuff that really matters… .and not the little things that creep in! Beware: this workshop is interactive, practicable and not about theory but application! Guest Lecturer Michaela Lindinger is founder & CEO of braininspa, an executive sparring and employee experience company. Braininspa nudges visionary leaders and entrepreneurs to the right structures, habits and mindset for maximizing their healthy high performance. Michaela worked with Fortune 500 organizations around the world on digital strategies and large scale transformation projects, value creation and innovation assignments in multi-million-dollar projects. She has also worked with several startups and international corporate talents across industries to prepare their mindset for the digital transformation and adjusting their business models to become agile and purpose-driven. Michaela is a millennial serial founder (3x CEO / Co-Founder) and experienced corporate executive, but also a passionate mom and family-manager. She is author and university lecturing professor for innovation, business models and leadership since the age of 29, a member of the international FORBES © Council and the International Society for Coaching Psychology. She holds an International Business Masters Degree from Austria and a Masters Degree in Coaching Psychology from the UK / London. ","March 22, 2021","https://i2c.tuwien.ac.at/wp-content/uploads/2021/03/facebook-eventbrite-1-1024x536.jpg"
"9","https://i2c.tuwien.ac.at/event/eoi-research-ethics-focus-horizon-europe-call/","I2C","#EoI – Research ethics. Focus: Horizon Europe call","Research ethics is not rocket science but some basic tips can make your funding application procedure smoother. If you are about to submit your first proposal in a Horizon Europe Call, it may be helpful to tune into this presentation with hands-on tips on how to identify your ethics issues in the ethics issues table and how to address them in your self-assessment. This on-line meeting will include a presentation as well as time for your questions. Guest lecturer Marjo Rauhala (PhD, MSSc, BA) is the research ethics coordinator at TU Wien and responsible for establishing the research ethics advisory and review procedures for the entire university. With a background in philosophical and biomedical ethics and social sciences, Marjo Rauhala has broad experience in the field of research ethics. This experience encompasses academic research, ethics management and advisory tasks in engineering projects, as well as ethics review in the research funding programs of the European Union. Since FP7, Marjo Rauhala participates in the European Commission’s working groups on ethics guidance and expert panels in ethics screening, review and check/follow-up of European funded research for the European Commission’s Ethics and Integrity Sector and the European Research Council.","April 23, 2021","https://i2c.tuwien.ac.at/wp-content/uploads/2021/04/Artboard-4-copy_EOI-1024x536.jpg"
"10","https://i2c.tuwien.ac.at/event/healthy-high-performance/","I2C","Healthy high performance","Description of the Workshop You are expected to perform despite high stress levels. You are expected to shine despite strong competition. You are expected to move fast despite scientifically challenging experiments. You are expected to succeed despite failing every once in a while. What if we could not only accept failure but re-learn the wrong relationship we have with things that go wrong. What if we could start seeing the positive side of failing? What if we learned to see the enormous benefit of failure and could eventually enjoy what’s happening? What if there are tools and techniques that make a scientist’s life including failure still joyful and exciting instead of stressful and desperate? It’s time to see failure as a chance to use as acquired learning and as a way to refine your strategies to come out better, stronger and more resilient. Together with Michaela Lindinger we will take a look behind the scenes and discover why failure gives us such a hard time. We will actively work on the factors and feelings that play a role in success as well as failure and define your personal way how to handle perfectionism, fierce academic competition and your fear of failure best possibly.  Guest Lecturer Michaela Lindinger is founder & CEO of braininspa, an executive sparring and employee experience company. Braininspa nudges visionary leaders and entrepreneurs to the right structures, habits and mindset for maximizing their healthy high performance. Michaela worked with Fortune 500 organizations around the world on digital strategies and large scale transformation projects, value creation and innovation assignments in multi-million-dollar projects. She has also worked with several startups and international corporate talents across industries to prepare their mindset for the digital transformation and adjusting their business models to become agile and purpose-driven. Michaela is a millennial serial founder (3x CEO / Co-Founder) and experienced corporate executive, but also a passionate mom and family-manager. She is author and university lecturing professor for innovation, business models and leadership since the age of 29, a member of the international FORBES© Council and the International Society for Coaching Psychology. She holds an international Business Masters Degree from Austria and a Masters Degree in Coaching Psychology from the UK/London.","April 7, 2021","no_image"
