"","article_link","img_link"
"1","https://vienna.impacthub.net/2021/05/01/welcome-to-the-hybrid-stage/","https://vienna.impacthub.net/wp-content/uploads/2015/06/20210416_Impact-Hub_Room-update-282_result-600x400.jpg"
"2","https://vienna.impacthub.net/2021/04/15/11-years-ago-today-2/","https://vienna.impacthub.net/wp-content/uploads/2021/05/beautiful-sunset-over-vienna-8MAWQR9-600x400.jpg"
"3","https://vienna.impacthub.net/2021/03/25/11-years-ago-today/","https://vienna.impacthub.net/wp-content/uploads/2021/03/eliza-diamond-600x400.jpg"
"4","https://vienna.impacthub.net/2021/03/19/better-together/","https://vienna.impacthub.net/wp-content/uploads/2021/03/nicole-baster-OJcEMZHoY80-unsplash-600x400.jpeg"
"5","https://vienna.impacthub.net/2021/03/05/education-and-social-impact-in-the-time-of-covid-19/","https://vienna.impacthub.net/wp-content/uploads/2021/03/annie-spratt-9F37686Z7uc-unsplash-scaled-e1614950966667-600x400.jpg"
"6","https://vienna.impacthub.net/2021/02/25/ow-cooperation-plays-a-major-role-in-achieving-sdg-goals/","https://vienna.impacthub.net/wp-content/uploads/2021/02/Screenshot-2021-02-22-at-19.54.08-600x400.png"
"7","https://vienna.impacthub.net/2021/02/23/corporates-boosting-efforts-to-do-better/","https://vienna.impacthub.net/wp-content/uploads/2021/02/sdgs-sustainable-development-goals-600x400.png"
"8","https://vienna.impacthub.net/2021/02/10/together-for-a-greener-future/","https://vienna.impacthub.net/wp-content/uploads/2021/02/conceptual-image-of-motivation-and-determination-8JZS9G4-600x400.jpg"
"9","https://vienna.impacthub.net/2021/02/09/entrepreneurs-working-on-a-better-future-for-everybody/","https://vienna.impacthub.net/wp-content/uploads/2021/02/pexels-rudolf-jakkel-418831-600x400.jpg"
"10","https://vienna.impacthub.net/2021/01/31/honoring-sustainable-development-at-the-money-4-change-impact-awards-2/","https://vienna.impacthub.net/wp-content/uploads/2021/01/appolinary-kalashnikova-WYGhTLym344-unsplash-600x400.jpg"
"11","https://vienna.impacthub.net/2021/01/18/honoring-sustainable-development-at-the-money-4-change-impact-awards/","https://vienna.impacthub.net/wp-content/uploads/2021/01/Untitled-design-600x400.jpg"
"12","https://vienna.impacthub.net/2020/12/10/innovation-vanguard-technology-and-frugal-innovation/","https://vienna.impacthub.net/wp-content/uploads/2020/05/Register-for-AIR-Accelerating-Investment-Readiness-2020-600x400.png"
"13","https://vienna.impacthub.net/2020/11/30/the-social-impacts-of-frugal-innovation/","https://vienna.impacthub.net/wp-content/uploads/2020/05/Register-for-AIR-Accelerating-Investment-Readiness-2020-600x400.png"
"14","https://vienna.impacthub.net/2020/11/25/entrepreneur-burnout-when-too-much-is-more-than-enough/","https://vienna.impacthub.net/wp-content/uploads/2020/11/Entrepreneur-Burnout-When-Too-Much-is-More-than-Enough-600x400.jpg"
"15","https://vienna.impacthub.net/2020/11/13/supporting-environmental-sustainability-through-frugal-innovations/","https://vienna.impacthub.net/wp-content/uploads/2020/11/bees-on-sunflower-john-francis-600x400.jpg"
"16","https://vienna.impacthub.net/2020/10/27/10-stories-of-impact-markta/","https://vienna.impacthub.net/wp-content/uploads/2020/10/Stefan-Diesner-1-600x400.jpeg"
"17","https://vienna.impacthub.net/2020/10/21/circular-food-management-in-the-urban-regions-of-austria/","https://vienna.impacthub.net/wp-content/uploads/2020/10/2020-Circular-Food-Management-in-the-Urban-Regions-of-Austria-600x400.jpg"
"18","https://vienna.impacthub.net/2020/10/19/baukarussel-awarded-the-circular-societies-prize/","https://vienna.impacthub.net/wp-content/uploads/2020/10/Social-Urban-Mining-am-RAIQA-Innsbruck-1-c-RLB-Tirol-Gunter-Kresser-600x400.jpg"
"19","https://vienna.impacthub.net/2020/10/14/social-impact-of-climate-change-social-injustices/","https://vienna.impacthub.net/wp-content/uploads/2020/10/Social-Impact-of-Climate-Change-How-It-Is-Accentuating-Social-Injustices-600x400.jpg"
"20","https://vienna.impacthub.net/2020/10/02/frugal-innovation/","https://vienna.impacthub.net/wp-content/uploads/2020/10/How-Frugal-Innovation-Accelerates-Change-in-Austria-and-the-Western-Balkans-Article-600x400.jpg"
"21","https://vienna.impacthub.net/2020/09/10/thought-provoking-podcasts-that-will-fuel-your-social-impact-aspirations/","https://vienna.impacthub.net/wp-content/uploads/2020/09/Thought-provoking-Podcasts-That-Will-Fuel-Your-Social-Impact-Aspirations-2020-600x400.jpg"
"22","https://vienna.impacthub.net/2020/08/26/what-are-we-going-to-do-about-fast-fashion/","https://vienna.impacthub.net/wp-content/uploads/2020/08/What-are-we-going-to-do-about-fast-fashion-Impact-Hub-Vienna.-600x400.jpg"
"23","https://vienna.impacthub.net/2020/08/03/tips-for-successful-webinars/","https://vienna.impacthub.net/wp-content/uploads/2020/08/12-Expert-Tips-for-Hosting-a-Successful-Webinar-by-the-CEO-of-Austrian-Webinars-Matthias-Gritsch-Banner2-600x400.png"
"24","https://vienna.impacthub.net/2020/07/30/urban-innovation-covid-19/","https://vienna.impacthub.net/wp-content/uploads/2020/07/How-Innovation-Leads-the-Cities-through-the-COVID-19-Recovery-600x400.jpg"
"25","https://vienna.impacthub.net/2020/07/01/the-future-of-social-entrepreneurship-in-austria-is-in-danger/","https://vienna.impacthub.net/wp-content/uploads/2020/04/2020-04-Impact-Hub-Vienna-Solidarity-Fund-Cropped-600x400.jpg"
