"","article_link","img_link"
"1","https://www.match-maker.ventures/happy-6th-birthday-to-match-maker-ventures/","https://www.match-maker.ventures/wp-content/uploads/2021/05/birthday-MMV-Website-Featured-Image-1-300x200.png"
"2","https://www.match-maker.ventures/adscanners-custom-solution-enabled-a1-bulgaria-to-reduce-tv-content-costs-and-churn-rates/","https://www.match-maker.ventures/wp-content/uploads/2021/04/MMV-Website-Featured-Image-AdScanner-X-A1-300x200.png"
"3","https://www.match-maker.ventures/mmv-partners-with-apiax-to-make-regulatory-compliance-simpler-for-financial-institutions/","https://www.match-maker.ventures/wp-content/uploads/2021/04/MMV-Website-Featured-Image-MMV-X-Apiax-1-300x200.png"
"4","https://www.match-maker.ventures/visa-cal-tripled-conversion-rate-with-the-help-of-glassbox/","https://www.match-maker.ventures/wp-content/uploads/2019/06/MMV-Website-Featured-Image-Glassbox-X-VisaCAL-300x200.png"
"5","https://www.match-maker.ventures/cyan-helped-b-brand-skitto-generate-one-million-active-subscribers-on-its-bss-oss-platform/","https://www.match-maker.ventures/wp-content/uploads/2021/04/MMV-Website-Featured-Image-cyan-X-skitto-300x200.png"
"6","https://www.match-maker.ventures/baqend-helped-orsay-turn-page-speed-into-their-competitive-advantage/","https://www.match-maker.ventures/wp-content/uploads/2021/04/MMV-Website-Featured-Image-Baqend-X-Orsay-300x200.png"
"7","https://www.match-maker.ventures/glassbox-helped-sofi-correct-a-website-issue-resulting-in-multi-million-dollar-savings/","https://www.match-maker.ventures/wp-content/uploads/2021/04/MMV-Website-Featured-Image-Glassbox-X-SoFi-300x200.png"
"8","https://www.match-maker.ventures/telenor-group-launched-eyeonids-id-theft-protection-service-via-telenor-norway/","https://www.match-maker.ventures/wp-content/uploads/2019/06/MMV-Website-Featured-Image-EOI-X-Telenor-1-300x200.png"
"9","https://www.match-maker.ventures/baqend-helped-decathlon-accelerate-its-website-by-2-5x-while-achieving-roi-in-2-weeks/","https://www.match-maker.ventures/wp-content/uploads/2021/04/MMV-Website-Featured-Image-Baqend-X-Decathlon-2-300x200.png"
"10","https://www.match-maker.ventures/croatia-osiguranje-partners-with-amodo-to-launch-laqoprevent/","https://www.match-maker.ventures/wp-content/uploads/2021/04/MMV-Website-Featured-Image-nameSCALEUP-X-nameCORPORATE-5-300x200.png"
"11","https://www.match-maker.ventures/happy-holidays/","https://www.match-maker.ventures/wp-content/uploads/2020/10/MMV-Portraits-2020_-73-300x200.jpg"
"12","https://www.match-maker.ventures/last-physical-meeting-in-2020/","https://www.match-maker.ventures/wp-content/uploads/2020/11/Yeselfatthe-office-300x200.jpg"
"13","https://www.match-maker.ventures/executive-event-with-arthur-d-little-the-age-of-collaboration-ii-9-october-2019/","https://www.match-maker.ventures/wp-content/uploads/2019/10/ADL-pic-1-300x200.jpeg"
