"","article_URL","creator","article_title","content","date","img_link"
"1","https://www.match-maker.ventures/2018-is-gone-what-to-expect-for-2019letter-from-ceo-nicolai-schaettgen/","MatchMakerVentures","2018 is gone – what to expect for 2019? Letter from CEO Nicolai Schaettgen","2018 is gone – what to expect for 2019? We are in our 4th year, are present in >20 countries and achieved what most initially called “stupid”: to live off our business model. We are proud and thus allow ourselves to join in the sheer unlimited number of outlooks 2019. Here comes our very personal one. 2019 is dedicated to “Less is more” – Why that? We are doing too much… Opportunities are turning up and each one is eating up a few of our resources leading to a mismatch between needed and actual attention. Thereby our vision is simple: “Make startup-corporate collaboration simple and successful” – as such, we will much more diligently focus on activities leading us to that vision and – more importantly – stop activities (very painful…). Where will our bets be placed? 1. Make our existing core more efficient In 2018 we managed to significantly strengthen our team and welcome many senior resources (Attila Keszeg, Amine Tazi, Allison Amber, Daniel Heller, Alireza Abdolali, Arkadiusz Andrzejewski, Chris Morgan, Claudio Staub, Karl Rothleitner, Karl Peter Nöstler, Niko Schweitzer, Pascal Hohman, Stefanos Anastasiou, Liza Semenova, Anastasia Rastorgina, Munaa AlTamini, Francesca Montanar, Björn Schättgen). In 2019 we will focus on bringing this potential to the market: we know what needs to be done, now we need to get better at it. 2. Be more creative in the collaboration models with our startup partners All our startup partners (currently we are working with nine portfolio companies) are confirming the value which we are creating directly and indirectly. Still, we feel we can do more and bring more value to the startup world to help to navigate through the corporate jungle. We are already working on new engagement models to enable the impact of our work to spread. 3. Strengthen and reinvent the way we work with our corporate partners We have had interactions with >300 corporations in 2018 (!!!) – in reality we have done business with only a fraction of those, which means that we need to qualify better the business potential. Given where we are and where we are heading, we are looking positively into 2019. Thank you all for joining us. Sincerely grateful, Nicolai Schaettgen","1. January 2019.","https://www.match-maker.ventures/wp-content/uploads/2019/01/Team-picture-christmas-2018-happy-new-match-medium-size-300x200.jpg"
"2","https://www.match-maker.ventures/834-2/","MatchMakerVentures","Interview with Edward Twiddy (Atom Bank)","Learnings from the global FinTech Innovator Edward Twiddy is one of the founders and Chief Innovation Officer of Atom Bank. Atom Bank is the first UK bank built exclusively for mobile and it is ranked the sixth leading global FinTech innovator. When talking about Atom Bank, Edward brings the parallel to the James song from 90s: “We were born of frustration and we keep that frustration close to us, as it is the way to continue reshaping. We want to be the business that never stops surprising.” This relentless desire to innovate echoed through our entire interview. How do you explain Atom Bank to an eight-year-old in maximum three sentences? Atom Bank is a brand-new bank that allows you to use your face or voice to get into your money wherever you want or whenever you want to. What are 2-3 concerns about Atom Bank’s future that keep you up at night? My children keep me up at night ???? Regarding Atom Bank, it’s three Cs: customers (doing right by them at all times), cyber threats (it really is a war out there) and capital (the lifeblood of any start up). How have you convinced your teammates to do something they were not keen to do? At Atom Bank we haven’t had to face such a situation, as our people are willing to produce very complex math calculations at one moment and help to clean up the kitchen the next. We don’t allow peoples’ roles to be defined. The best way to explain it is to bring a parallel from football world. In Dutch team, every player plays equally in all different roles. They never won the world cup, but they have entertained a lot of people. Dutch play is much more enjoyable than that of other teams where roles are very clearly defined. Which functions/areas in financial industry will not likely be replaced by FinTechs, simply due to the basic human nature and human needs? Financial sector has been through many revolutions and technology has been applied there for decades. Sector is currently attacked throughout the value chain. I believe that humans are by nature interested in innovation and that’s what leads us to progress. As such, I struggle to find any areas that shall not be transformed by FinTechs. You’ve been given an elephant. You can’t give it away or sell it. What will you do with the elephant? Will grow better roses ???? What is the misconception people have about you? They might think that I’m a banker, but I’m not. I work in the bank, but am not a banker and am rightly kept away from the real process of banking. In truth I am actually a bit of a dilettante and mostly I think about what’s coming next. If you could only choose one song to be played every time you enter a room for the rest of your life. Which song would it be? Johnny B. Goode by Chuck Berry (https://www.youtube.com/watch?v=ZFo8-JqzSCM) – the greatest rock and roll track ever.","14. December 2016.","https://www.match-maker.ventures/wp-content/uploads/2016/12/photo-1525944001263-ba59a9974f88-300x200.jpeg"
"3","https://www.match-maker.ventures/a1-and-adscanner-match-making/","MatchMakerVentures","Successful collaboration between A1 and AdScanner by Match-Maker Ventures","The Company A1 Telekom Austria Group (TAG) is a leading communications provider in Centra and Eastern Europe and operates one of the largest TV customer bases in this footprint. The Challenge TAG wanted to address new business opportunities in the area of advertising by leveraging on already existing assets such as customer insights. The Solution Now, TAG and AdScanner have agreed that they would benefit from cooperation by jointly developing products in the field of TV advertising analytics. Role of Match-Maker Ventures Matched within 12 months Continuous sales support Project management and Go-to-Market strategies „MMV was supporting the close cooperation between A1 and AdScanner right from the start. Joint efforts in product development, PR and sales have established high awareness for AdScanner on the advertising market.“ Helmut Prattes, Media Business at A1 Group “What really puts MMV in a category of its own are three pillars:- The competencies of the team: amazing levels of expertise across a broad range of industries- The involvement of the team: hands-on mentality and very deep involvement in the actual development and growth support- Match-Making in its truest sense: not just opening doors and connecting but also following through and elevating each connection to the next stage.” Marin Curkovic, CEO at AdScanner About AdScanner AdScanner is setting a new standard in data-driven TV advertising. They enable fixed TV operators to participate in the continually growing markets of TV advertisement and addressable TV. As a deep-tech company, AdScanner addresses the crucial elements of TV data analytics – from what’s being shown to what’s actually being watched with next-generation visualisation capabilities. Besides its cooperation with A1, AdScanner’s solution is live with various TV operators across Europe while enabling them to venture comfortably into new markets. Additional Information Homepage AdScannerHomepage A1 Telekom Austria Group Contact us to learn more","5. June 2018.","https://www.match-maker.ventures/wp-content/uploads/2018/06/MMV-Website-Featured-Image-AdScanner-X-A1-2-300x200.png"
"4","https://www.match-maker.ventures/adl-mmv-corp-up-event/","MatchMakerVentures","Executive event: Corp-Upby Arthur D. Little & Match-Maker Ventures","Is start-up collaboration the future of innovation? Technological adoption has never been as fast as it is today, and many corporations are already suffering from inability to keep up with the pace of change. Start-ups play a key role in accelerating this change, so today’s experienced, well-educated and well-funded start-ups are certainly here to stay. Arthur D. Little and Match-Maker Ventures invited executives and experts from across industries and 18 different countries to share their experiences and dive deep into the co-value creation of bringing corporations and start-ups together. Executive event: Corp-Up. Summary DOWNLOAD REPORT","16. January 2019.","https://www.match-maker.ventures/wp-content/uploads/2019/01/IMG_1117-300x200.jpg"
"5","https://www.match-maker.ventures/adscanners-custom-solution-enabled-a1-bulgaria-to-reduce-tv-content-costs-and-churn-rates/","MatchMakerVentures","AdScanner enabled A1 Bulgaria to reduce TV content costs and churn rates","The Company A1 Bulgaria is a leading provider of digital services and telecommunications solutions in Bulgaria. It is part of A1 Group, which operates in seven European countries. The Challenge A1 Bulgaria was looking for a solution which would allow them to gain a deeper and more detailed understanding of their TV offerings and its increasing number of TV customers, as well as benchmark content and channel performance against costs. The Solution AdScanner developed a highly customized version of their AdScanner Telco Cockpit for A1 Bulgaria. With the help of this tailored solution, A1 Bulgaria is now able to analyze their entire universe of TV customers via AdScanner’s audience measurement KPIs. Furthermore, A1 Bulgaria is now able to input content cost variables to benchmark content and channel performance to assess RoI of content. Last but not least, AdScanner’s customized Telco Cockpit allows A1 Bulgaria’s product managers to identify clients who have a high likeliness to churn based on their individual TV usage patterns. The Main Results With the help of AdScanner and its highly customized Telco Cockpit solution, A1 Bulgaria was able to: Increase TV product optimization, Reduce content costs, and Decrease customer churn rates. An insight into the detailed set of data presented by the custom Telco Cockpit About AdScanner AdScanner is setting a new standard in data-driven TV advertising. They enable fixed TV operators to participate in the continually growing markets of TV advertisement and addressable TV. As a deep-tech company, AdScanner addresses the crucial elements of TV data analytics – from what’s being shown to what’s actually being watched with next-generation visualization capabilities. Besides its cooperation with A1, AdScanner’s solution is live with various TV operators across Europe while enabling them to venture comfortably into new markets. Additional Information Homepage AdScanner Contact us to learn more","4. May 2021.","https://www.match-maker.ventures/wp-content/uploads/2021/04/MMV-Website-Featured-Image-AdScanner-X-A1-300x200.png"
"6","https://www.match-maker.ventures/age-of-collaboration-ii-survey/","MatchMakerVentures","Age of Collaboration II Survey","3 years later, we believe it’s time to conduct yet another global study. Jointly with Arthur D. Little, we are on to publish a new (updated, 2.0) version of our signature report – The Age of Collaboration. One of the core foundations of the study is the online survey (separate ‘for startups’ and ‘for corporates’). We are kindly inviting you to contribute to the global body of knowledge and quickly take one of the surveys below. SURVEY FOR CORPORATES (intended for decision-makers, consultants, innovation responsible (e.g. CXOs) and corporate stakeholders) SURVEY FOR STARTUPS (intended for founders and executives, VCs, business angels and key startup stakeholders) Read ""The Age of Collaboration I"" DOWNLOAD REPORT","26. April 2019.","https://www.match-maker.ventures/wp-content/uploads/2019/04/mmv-adl-website-300x200.jpg"
"7","https://www.match-maker.ventures/baqend-helped-decathlon-accelerate-its-website-by-2-5x-while-achieving-roi-in-2-weeks/","MatchMakerVentures","Baqend helped Decathlon accelerate its website by 2.5X while achieving ROI in 2 weeks","The Company Decathlon S.A. is a French sporting goods retailer. With over 1,647 stores in nearly 1,000 cities in 57 countries and regions it is the largest sporting goods retailer in the world. The Problem In a performance assessment, decathlon.de measured how important the speed of its site was and what the business impact of a faster site would be. Multiple, independent factors like 3rd parties and caching of highly dynamic content were identified as the most relevant performance optimization challenges, which should be tackled without adding to the workload of the IT team. Furthermore, only 37% of users considered the website as fast resulting in a high bounce rate and low conversion rate. The Solution Baqend’s Speed Kit was chosen by decathlon.de as it is quick to implement and offers automatic optimization. The focus was to improve the user experience and thereby increase user satisfaction and business results. The Speed Kit was deployed in a short amount of time – without any changes in Decathlon’s backend. The Main Results The implementation of Baqend’s Speed Kit allowed decathlon.de to significantly increase the loading speed of it’s website as well as further important KPIs. The Chrome User Experience (CrUX) Report for decathlon.de independently captured by Google for SEO Ranking showed an increase of fast page impressions by a factor of 2X. Empirical Validation The built-in performance split test capabilities of Speed Kit allowed a clean A/B test analysis using Speed Kit Real-User Monitoring An already exisiting Real-User Monitoring solution The Baqend team has done an amazing job with Speed Kit and not only accelerated our site by 2.5X, but also been a reliable partner during the result analysis. There is no doubt about the great ROI. They have become a strategic part in our online growth plans. Florian Bischoff, Director E-Commerce at Decathlon Germany About Baqend Baqend is helping companies “perform better online” by accelerating the website loading time. As a university spinoff with years of research, Baqend has developed a unique algorithm enabling them to accelerate the loading time of websites by a factor of 2-3x with minimal effort. They are currently live on 7,000 websites and serve over 100 million unique users monthly. Additional Information Homepage BaqendCase Study Baqend & Decathlon Contact us to learn more","9. April 2021.","https://www.match-maker.ventures/wp-content/uploads/2021/04/MMV-Website-Featured-Image-Baqend-X-Decathlon-2-300x200.png"
"8","https://www.match-maker.ventures/baqend-helped-orsay-turn-page-speed-into-their-competitive-advantage/","MatchMakerVentures","Baqend helped Orsay turn page speed into their competitive advantage","The Company Orsay is one of Europe’s largest fashion retailers with more than 700 retail stores in 34 countries. Aside from their brick-and-mortar stores, Orsay also successfully runs 10 online shops with more than 25 million visits per month in their major European markets. The Goal With its online shops across major markets and a significant customer base, Orsay wanted to achieve the best possible User Experience, especially in light of the Core Web Vitals initiative by Google. The Solution Orsay chose Baqend’s Speed Kit to achieve this goal. Speed Kit was easily integrated into the Orsay Salesforce Commerce Cloud stack. To suit the needs of a complex architecture across various European countries, the performance engineers at Baqend created a customized configuration of Speed Kit which helped to achieve the maximum performance uplift for Orsay’s websites. The effects of Speed Kit were noticeable from the start and helped Orsay to turn page speed into their competitive advantage. The Main Results The implementation of Baqend’s Speed Kit allowed Orsay to significantly increase the loading speed of it’s website as well as further important KPIs. Verified Results Since Speed Kit is implemented via a JavaScript tag in the HTML template, the tool can be A/B-tested. Therefore, Baqend was able to show the exact improvement that Speed Kit delivered in all relevant web performance metrics, including the Google Web Vitals like Largest Contentful Paint and First Contentful Paint. In the case of Orsay, the A/B-Test was performed in a number of countries and all of them showed similarly impressive performance improvements, proven with scientific methods and statistical significance. ""The performance improvements delivered by SpeedKit are truly impressive. The websites are loading noticeably quicker. The Baqend team showed great expertise and experience in working with our Salesforce Commerce Cloudsystem. The scale-up to all of our websites across Europe accelerating millions of users happened flawlessly and without additional efforts."" Rudolf Orth, Head of E-Commerce at Orsay About Baqend Baqend is helping companies “perform better online” by accelerating the website loading time. As a university spinoff with years of research, Baqend has developed a unique algorithm enabling them to accelerate the loading time of websites by a factor of 2-3X with minimal effort. They are currently live on 7,000 websites and serve over 100 million unique users monthly. Additional Information Homepage BaqendCase Study Baqend & OrsayCore Web Vitals initiative by Google Contact us to learn more","20. April 2021.","https://www.match-maker.ventures/wp-content/uploads/2021/04/MMV-Website-Featured-Image-Baqend-X-Orsay-300x200.png"
"9","https://www.match-maker.ventures/case-study-nc-vintom/","MatchMakerVentures","Vintom personalized NC+’s communication with their customers","The Company NC+, now called Platforma Canal+, is a Polish satellite platform, owned and operated by French media company Canal+ Group. The Challenge NC+ was looking for new ideas to reach CRM goals in an increasingly competitive Pay-TV market, struggling with high contract renewal costs, high churn rates and seeking new ways to increase Average Revenue per User (ARPU). The Solution Vintom enabled NC+ to present hundreds of thousands of personalized offers for extending contracts – thereby increasing ARPU by offering additional packages based on content suited to customer needs. The Main Results With the help of Vintom, NC+ is now able to use personalized videos to renew subscribers contract online without the need to contact call center. This solution led to: 5% increase in ARPU 14% vievers extended retention 50% reduced contract renewal costs “The increases we’ve achieved with the Vintom’s technology have exceeded our expectations. What’s even better is that the results are still improving. Our collaboration with Vintom is going to be a long-term one."" Adam Tyszer, Operations Director at NC+ Poland About Vintom Vintom enables companies to curate millions of personalized videos to deepen customer relationships. Besides being live with NC+, Vintom enables A1 Telekom Austria to address their up-and cross-sell cases in four different markets and Tigo in Colombia goes beyond to use Vintom’s personalization as a first invoice explainer. Contact us to learn more","18. June 2019.","https://www.match-maker.ventures/wp-content/uploads/2019/06/MMV-Website-Featured-Image-Vintom-X-NCPlus-1-300x200.png"
"10","https://www.match-maker.ventures/case-study-standard-chartered-paykey/","MatchMakerVentures","PayKey helped Standard Chartered to tap into social banking","The Company Standard Chartered plc is a British multinational banking and financial services company headquartered in London, England. It operates a network of more than 1,200 branches and outlets across more than 70 countries and employs around 87,000 people. It is a universal bank with operations in consumer, corporate and institutional banking, and treasury services. The Challenge Standard Chartered was looking to truly shift into digital banking and to drive usage of its mobile app while also aimed to drive user engagement across multiple mobile apps where customers spend the most time. The Solution PayKey enabled Standard Chartered to offer its customers frictionless access to financial services, with Standard Chartered’s use cases made available across all apps – always in front of the customer. The Main Results PayKey’s white-label solution enabled Standard Chartered to bring a social banking keyboard to all of itc customers’ mobile apps. With the help of PayKey, Standard Chartered furthermore achieved: 35k keyboard users in just 3 months >2k users joining every month since $1.1M worth of media exposure ""The launch generated a lot of buzz and media coverage. Aside from building our brand image, it helped to drive higher usage levels of our app and increased customer satisfaction levels.Based on the positive adoption rate, we’re exploring ways to create additional value to users by enabling easy and frictionless access to other financial services – without ever leaving their messaging app."" Ryan Jong Hoon Kim - Regional Head of Digital, Greater China & North Asia, Standard Chartered Bank About PayKey PayKey enables banks, e-wallets, telcos and other businesses to offer their customers instant access to financial services, including P2P payments, balance check and top-ups – from within any mobile app, including all messaging apps. Additional Information Homepage PayKeyCase Study by PayKeyHomepage Standard Chartered Bank Contact us to learn more","18. June 2019.","https://www.match-maker.ventures/wp-content/uploads/2019/06/MMV-Website-Featured-Image-Paykey-X-StandardChartered-1-300x200.png"
