"","article_link","img_link"
"1","https://tech2impact.com/the-right-to-be-heard/","https://tech2impact.com/wp-content/uploads/elementor/thumbs/DSC7947-1-scaled-ox8uo8abe45p3g9w2kdsaw9y9clo4w9am6xzqsp320.jpg"
"2","https://tech2impact.com/improvement-of-lives-as-an-imperative/","https://tech2impact.com/wp-content/uploads/elementor/thumbs/IMG_0459-Edit_vierkant-ow9pomb3arv4id3lethfjnpm8vjn795su1qlciqbp4.jpg"
"3","https://tech2impact.com/the-robotic-glove-that-can-change-peoples-lives/","https://tech2impact.com/wp-content/uploads/elementor/thumbs/Sofie-with-unit3-scaled-ou92rv046tqlr7zryoqodqpbcvn97yr6wcqkbk8ou0.jpg"
"4","https://tech2impact.com/connecting-the-unconnected/","https://tech2impact.com/wp-content/uploads/elementor/thumbs/Jorge-Official-ou5j2auvzc0ydu7ehd7ejx4718fjwerg4jog4p373s.jpg"
"5","https://tech2impact.com/from-science-fiction-to-life-sustaining-organs/","https://tech2impact.com/wp-content/uploads/elementor/thumbs/Lutz_Lab__Copyright_Philipp_Arnoldt-2-scaled-oslfp4c10n2dfmx0ylyxlst9rvl26dzpuwnnepx9ko.jpg"
"6","https://tech2impact.com/tackling-climate-change-with-big-data/","https://tech2impact.com/wp-content/uploads/elementor/thumbs/unnamed-1-op40j6gwdpxdityr38e65pa71vu4t5vhv74822es3c.png"
"7","https://tech2impact.com/sdg-3-good-health-and-well-being-using-tech-to-drive-global-health-forward/","https://tech2impact.com/wp-content/uploads/elementor/thumbs/Blog_SDG3_Banner-p5bukaa1ftie2yx7qyzntxp3sopcsadjgk3eof8lvc.png"
"8","https://tech2impact.com/using-tech-to-challenge-gender-inequality-an-sdg-5-progress-analysis/","no_image"
"9","https://tech2impact.com/social-media-platforms-and-anti-social-behaviour-the-rise-and-fall-or-parler/","https://tech2impact.com/wp-content/uploads/elementor/thumbs/ity-p3zjwrbd9kfgh2lvaxuge6tz0odf25cq99ij6mbid4.png"
"10","https://tech2impact.com/the-great-shift-technology-and-democracy-in-the-21st-century/","no_image"
"11","https://tech2impact.com/alternative-reality-an-unseen-risk-of-social-media/","https://tech2impact.com/wp-content/uploads/elementor/thumbs/Parler-ozx2cvuy4b03358ijnhbb50qmedlq1gcxj633dnkc8.png"
"12","https://tech2impact.com/technology-design-prevent-biases-from-determining-business-decisions/","no_image"
