"","article_link","img_link"
"1","https://theventury.com/blog/accelerator-opens-for-corporate/","https://theventury.com/wp-content/uploads/2020/12/PRINT_©-Tama´s-Ku¨nsztler__TK_3082-scaled-377x250.jpg"
"2","https://theventury.com/blog/meet-the-teams-elevate-batch-6/","https://theventury.com/wp-content/uploads/2020/12/PRINT_©-Tama´s-Ku¨nsztler__TK_3082-scaled-377x250.jpg"
"3","https://theventury.com/blog/pre-launch-mistakes/","https://theventury.com/wp-content/uploads/2021/04/Batch-6-377x250.png"
"4","https://theventury.com/blog/choosing-an-accelerator/","https://theventury.com/wp-content/uploads/2021/04/Batch-6-377x250.png"
"5","https://theventury.com/blog/landing-page-hashes-for-seo/","https://theventury.com/wp-content/uploads/2021/02/launch-rocket-spaceship-startup-business-PR7JGBM-scaled-377x250.jpg"
"6","https://theventury.com/blog/meet-the-teams-elevate-batch-5/","https://theventury.com/wp-content/uploads/2021/02/launch-rocket-spaceship-startup-business-PR7JGBM-scaled-377x250.jpg"
"7","https://theventury.com/blog/marketing-automation-tools/","https://theventury.com/wp-content/uploads/2019/12/Screenshot-2019-12-03-at-16.39.13-e1575387683630-377x250.png"
"8","https://theventury.com/blog/growth-hacking-explained/","https://theventury.com/wp-content/uploads/2019/12/Screenshot-2019-12-03-at-16.39.13-e1575387683630-377x250.png"
"9","https://theventury.com/blog/get-ready-for-voice-search/","https://theventury.com/wp-content/uploads/2020/05/computer-767776_1920-377x250.jpg"
"10","https://theventury.com/blog/how-to-use-tiktok-marketing-for-your-startup/","https://theventury.com/wp-content/uploads/2020/05/computer-767776_1920-377x250.jpg"
"11","https://theventury.com/blog/5-biggest-crowdfunding-mistakes/","https://theventury.com/wp-content/uploads/2020/04/ELEVATE_Breakfast_113-scaled-377x250.jpg"
"12","https://theventury.com/blog/addressing-bias-in-ai/","https://theventury.com/wp-content/uploads/2020/04/ELEVATE_Breakfast_113-scaled-377x250.jpg"
"13","https://theventury.com/blog/web-summit-2019/","https://theventury.com/wp-content/uploads/2020/04/robotic_process_automation-377x250.jpg"
"14","https://theventury.com/blog/bias-in-ai/","https://theventury.com/wp-content/uploads/2020/04/robotic_process_automation-377x250.jpg"
"15","https://theventury.com/blog/pimptheoffice/","https://theventury.com/wp-content/uploads/2020/03/blue-and-yellow-graph-on-stock-market-monitor-159888-377x250.jpg"
"16","https://theventury.com/blog/tech-at-rise/","https://theventury.com/wp-content/uploads/2020/03/blue-and-yellow-graph-on-stock-market-monitor-159888-377x250.jpg"
"17","https://theventury.com/blog/chinahongkong/","https://theventury.com/wp-content/uploads/2020/03/photo-1512446387219-99c19f8fe95f-377x250.jpeg"
"18","https://theventury.com/blog/ceos-at-riseconf/","https://theventury.com/wp-content/uploads/2020/03/photo-1512446387219-99c19f8fe95f-377x250.jpeg"
"19","https://theventury.com/blog/company-culture/","https://theventury.com/wp-content/uploads/2020/03/1449449-377x220.jpg"
"20","https://theventury.com/blog/fifteen-seconds-2019/","https://theventury.com/wp-content/uploads/2020/03/personal-3286018_1920-377x220.jpg"
"21","https://theventury.com/blog/lean-startup-summit/","https://theventury.com/wp-content/uploads/2019/11/hand-1571851_1920-1024x319-377x220.jpg"
"22","https://theventury.com/blog/lean-startup/","https://theventury.com/wp-content/uploads/2019/11/PP4-1024x485-377x220.jpg"
"23","https://theventury.com/blog/anomaly-detection/","https://theventury.com/wp-content/uploads/2019/11/binary-2175285_1920-1024x640-377x220.jpg"
"24","https://theventury.com/blog/topicmodeling/","https://theventury.com/wp-content/uploads/2019/11/IMG_20190809_110457-3-1024x782-377x220.jpg"
"25","https://theventury.com/blog/voice-assistants/","https://theventury.com/wp-content/uploads/2019/11/IMG_20190711_200658-1024x768-377x220.jpg"
