"","article_URL","creator","article_title","content","date","img_link"
"1","https://theventury.com/blog/5-biggest-crowdfunding-mistakes/","TheVentury","5 Biggest Crowdfunding mistakes (creators can avoid)","After planning and launching a couple of crowdfunding campaigns like the latest one for Pocket Sky you start to see common misconceptions connected to crowdfunding.If you’re planning to launch a crowdfunding campaign soon, make sure you’re avoiding these five major mistakes <U+0001F9E8>Crowdfunding Mistake #1: Only relying on the platform’s communityI have a great product, I set up a beautiful campaign page, even made a nice video, and then I launched …. but nothing happened! <U+0001F937> via GIPHYA lot of creators purely rely on the community of a crowdfunding platform. Let’s take for example Kickstarter with its more than 17 Mio supporters… yes 17 Mio! That sounds massive, doesn’t it? Nevertheless only 20% of technology projects are successfully funded, while raising on average less than $10,000.With great numbers comes great competition! It’s not only you who is launching but on average there are about 400 other projects online in the tech-space alone. So how can you stand out?To benefit from the platform’s community, you first have to build up your own community – before launching! So once you launch you already have your first supporters queued up. This first push is very important! It helps you to get a decent ranking on the platform, which gives you visibility to the community! Now you can start benefiting from the platform’s community.Crowdfunding Mistake #2: Not telling people that you’re launching via GIPHYUnfortunately, a lot of creators literally forget about the most obvious thing: to make sure everyone knows that their campaign has started and that they need their support now.Be prepared! Make a list of all the people (that includes family and friends) that showed interest. I recommend adding the likelihood of them supporting, so at the end you have a reliable number of first supporters. Once you launch make sure every single one of them knows that you’re live!Don’t forget to post it on your social media channels or other relevant channels, and to send out a newsletter in case you were collecting email addresses upfront.Crowdfunding Mistake #3: Not getting feedback before you launch via GIPHYOn the majority of platforms, you get a preview link of your campaign once you start setting it up. Use this link to gather feedback before you launch. Make sure you send it to people who are not yet aware of your product and ask them for feedback: Is it clear what you are doing? Is any information missing? What needs improvement? Is the video grabbing attention?I can guarantee you, there will be valuable feedback, which will help you make your campaign ever better.Crowdfunding Mistake #4: Not submitting your campaign early enoughCrowdfunding platforms like Kickstarter need to approve your project before you launch. Make sure to submit your project at least one week before your planned and communicated launch. Normally they approve or get back to you within 2-3 days. In case you need to adjust something, you have some buffer days.Crowdfunding Mistake #5: Ignoring seasons via GIPHYLaunching a solar BBQ <U+0001F356> <U+2744><U+FE0F> in winter or Skis in summer <U+0001F3BF><U+0001F334>- does that sound like a good idea? Starting in the wrong season can kill your campaign. Two main reasons: First of all, most supporters don’t care about BBQ in winter or Skis in summer. Secondly the media doesn’t care about it either. Hence it will be really difficult for you to get press coverage. Keep in mind your products “main season” if there is one and launch in that time frame.Keep these 5 mistakes in mind, and never forget: preparation is key to success!Happy launching!","March 6, 2020","https://theventury.com/wp-content/uploads/2020/04/ELEVATE_Breakfast_113-scaled-377x250.jpg"
"2","https://theventury.com/blog/5-perks-of-insurance-chatbots/","TheVentury","5 Perks of Insurance Chatbots – From Paperwork to AI","Have you talked to a chatbot before? Did you notice it was a bot? Bots have evolved to a point where they can provide a new way for customers to interact with brands – in a meaningful and useful way. Consumers crave real-time, efficient, on-demand conversations without hassle. An experience chatbots are already able to perfectly provide today.You have probably already come across chatbots (If not, you might want to check out our blog). Chatbots provide a conversational interface aimed at solving customers’ problems. In simple industries – sure. But is this also possible in more complex cases? Enter insurance chatbots.Making insurances sexy with conversational interfacesThink about the insurance industry, where there is a lot of in-depth communication needed between a business and a client. These insurance processes require time, effort and the filling of a ridiculous amounts of documents – You know the struggle and you probably hate it as much as we do!The Road from paperwork to AIWould you believe us if we tell you there is a better way to do it? By working with an insurance chatbots. To give you a better understanding of the potential of conversational interfaces in this case, let us present to you 5 things we love about insurance bots:Make a claim – 24/7 with insurance chatbotsRecord a claim from your phone and check its status at any time and any place. No calls. No repetitive hold music. No redirection to a call centre halfway around the world. The bot is there for you, 24/7 – No restrictions.Get feedback right awayThe bot will answer your simplest questions so you get feedback not 3-5 business days later, but right away. It works efficiently, quickly and is convenient. Your communication with the bot can happen on the channels of your choice, be it a messenger, mail, voice device or many others.Explain matters only onceYou know how insurance hotlines will redirect you multiple times, forcing you to explain your issue over and over again? Not with chatbots. Conversations are traceable and take protocol so humans can take over at any time.Customer service bots can create incidents and tracks issues – or can alternatively assign them to real employees should the task get too complex.Attach your documentation right awayNo need to fill out documents about how the accident happened and send photos from all angles per mail. Do all of that via bot. With today’s image recognition opportunities, the pictures can be analyzed directly by the bot and processed to further understand what the customer needs.Get information you did not even know you wanted The thing about self-learning bots is: They gets smarter with every question they are being asked! While the Bot can understand your current needs it may even suggest policies you might be interested in at the time – The bot acts as a sales person and adds value to the customer experience.Ready for the insurance revolution?We are happy to help you with an enterprise ready framework for the bots you have been dreaming of. Let’s talk:maximilian.unger@theventury.com","January 31, 2019","https://theventury.com/wp-content/uploads/2019/11/fe55a437-d8e7-493b-a5ed-e46983d67098-1024x768-377x220.jpg"
"3","https://theventury.com/blog/accelerator-businesses-and-people/","TheVentury","ELEVATE – more than a business accelerator","Elevating your business, that’s what an accelerator is about, right? Developing the business model, validating your idea as well as your MVP, exploring the KPIs which truly count, all the way to reaching product-market-fit. You want to leave an accelerator knowing your pitch, your Go-To-Market strategy and all that other good stuff. That’s the reason you want to join an accelerator in the first place and why we all pour our heart and soul into it . Over the last two batches of ELEVATE, however, we learned that there is even more to it! Personal growth. Constant feedback. A community supporting each other.Looking back on 4,5 months of ELEVATE Batch #2, there was all of that. There were struggles, intense meetup days, motivating feedback sessions with fantastic mentors and great progress in our teams. And then there were also karaoke nights, Austrian dinners, impromptu German lessons and lots and lots of chats, sharing experiences and learnings. Now that Batch #2 is coming to an end and we are already preparing for Demo Day – which is happening on May 23rd (Save the date) – it’s high time to reflect on the highlights and our favorite moments.ELEVATE Moment #1 – Kick-OffThe day we finally got to meet the new teams was definitely a highlight. Our internal IT & Growth Hacking mentors got to meet the teams they would be working with very closely for the following 6 months, supporting them hands-on, week for week. First task: Evaluating, rethinking and upgrading their business model and validating it– a painful but necessary process.Personal Highlight: Introducing the international teams to Schweinebraten & Glühwein – a very typical Austrian dish & drink – at a Christmas market. “When we joined ELEVATE, we had already launched our product, so we were very interested to continue to develop product and go after the customers. But ELEVATE made us take a step back and think more critically about our overall product and key hypotheses. As a result of that we interviewed 2 dozen real estate agents, and we got some very interesting insights that resulted in our product roadmap changes.” – Jatinder Singh, BotplanFavorite Moment #2 – Facebook in the HouseHaving Susann Fischer from Facebook, Markus Brunner from the Facebook Messenger Platform Team, Prashant Pitti from nearGroup and of course our one and only Greg Leuch from Poncho – an all-time Vienna fan – all here in Vienna for a very special mentoring day with our startups was great. Having experienced chatbot startup founders mentoring our teams and sharing their learnings was a fantastic way of giving our startups new perspectives. Ending the day with our Grand Bots Meetup was just the cherry on top!Personal Highlight: This is – again – food-related: A huge ELEVATE dinner with our mentors, teams and the ELEVATE team.Favorite Moment #3 – US Team relocating to ViennaOur team from the US, Polaama relocated to Vienna for the last three months of the program. Having the teams here full-time means work is getting done really fast, the progress is bigger – it also means fun lunch breaks and impromptu German lessons. “Some of my ELEVATE highlights: Working with the ELEVATE team assigned to me, how it feels like a real team and how much we have been able to accomplish as a team” – Madhu Parasarathy, PolaamaFavorite Moment #4 – Progress, progress, progressOur teams and mentors are working incredibly hard to making their visions come to life and making their customers’ lives easier. We know that. But some of the best moments throughout the accelerator program were the ones when we realized how much the teams and their businesses have progressed. Be it after pitching and roasting sessions, progress updates or just in between through conversations with each other. We can’t wait to see what our startups’ future will bring!Personal highlight: All the pitching & roasting sessions, when we’re a bit tough on the teams but they show us just how much is in them!Extra Moment – Karaoke Night! Yes, this has to be mentioned, because it was just too much fun. Who doesn’t like a chill karaoke night after a hard day of work? That’s what we thought, so we got our whole team and the startups together – and we went all out. It was a blast! Who would’ve thought all these people in the accelerator aren’t only talented business people, but got so many other hidden talents? Definitely calls for a rerun! “The gals and guys from TheVentury were great mentors for us. We expected that in a way when we applied. But we didn´t expect they would kill us in Karaoke :)” – Michael Nigsch, ibindoThese were just a few highlights of the last 5 months, just a few words will never be enough to describe the whole journey . So this is just a ”tip of the iceberg” kind of thing – to tell our mentors and our teams how much we value them and how much fun it was. And to give you an idea how we do not just elevate businesses, but also the people behind it.If you are interested in what our teams were working on throughout the program, then request access to our Demo Day (May 23rd).ELEVATE Batch#3 – October 2018ELEVATE is coming back in October 2018 – Join the ELEVATE family! You’ll get hands-on coaching, as well as IT-development and growth marketing support. See the program details for our Batch#3 program.","April 9, 2018","https://theventury.com/wp-content/uploads/2018/11/Pooja-Ahluwalia-on-User-Personas-377x220.jpg"
"4","https://theventury.com/blog/accelerator-opens-for-corporate/","TheVentury","ELEVATE Accelerator now open for corporate teams","Since 2016, we have supported over 20 startups through their initial growth process with our accelerator program ELEVATE. And now, for the first time ever, we have opened ELEVATE to established companies. We are thrilled to have RBI on board for our batch 6 with their intrapreneurship team. “By opening the Elevate accelerator program to intrapreneurship teams, we will henceforth offer them an agile and inspiring environment to work side by side with young startups on forward-looking ideas and business models,”– Katharina Binder, Head of AcceleratorAt TheVentury we have been supporting both, startups as well as established companies. Through the years we have experienced the parallels between intrapreneurship teams and early-stage startup teams – the similar needs they have in their most intensive growth phase and the common struggles that they face. We realized that including intrapreneurs in an entrepreneurship program will open up a valuable space of learning together and also from each other. While intrapreneurship teams can learn about the entrepreneurial mindset and increase their dynamic capabilities, startups benefit from their organisational know-how and deep industry knowledge. This is why, starting with March this year, we decided to offer selected intrapreneurship teams from large companies the opportunity to immerse into the typical startup environment of ELEVATE.De-risking innovationOne crucial attribute that corporates are looking for in innovation programs is risk minimization. Innovation is risky at its core, often associated with uncertainty and driven by assumptions. We help to derive facts from the underlying assumptions of a business model thorough testing and validation. This way, we take risk out of the implementation of innovation projects and allow a solid foundation for such investments.With our 4-month-program, we have found a way to support the development of new technological solutions in a resource-efficient way – and all that in an inspiring start-up environment with the help of agile processes and external know-how.First to join: Raiffeisen Bank InternationalF.l.t.r.: Maximilan Unger, Nicole Stroj (RBI), Aleksandra Petkov-Georgieva (RBI) and Katharina BinderWe are happy to have RBI on board and to support them in their journey of becoming the most innovative financial services provider on the market. Since March, RBI’s intrapreneurship team has been working alongside three tech startups, attending bootcamp sessions and working on their prototype with the hands-on support of our experts. The goal is to complete the program with a tested and marketable MVP – a new financial solution in the agricultural sector. “We are pleased to further drive our innovation efforts together with our partner TheVentury. Innovation is an essential part of our strategy and will help RBI to continuously and sustainably improve and optimize the customer experience” – Nicole Stroj, Head of Organisational Innovation at RBIRead the full press release (german only) here.Batch #7 planned in September 2021The next batch of ELEVATE will start in September 2021, with the second round now open to three corporates and six startups. All information about ELEVATE and pre-registration can be found here.More about ELEVATE More on the background","April 28, 2021","https://theventury.com/wp-content/uploads/2020/12/PRINT_©-Tama´s-Ku¨nsztler__TK_3082-scaled-377x250.jpg"
"5","https://theventury.com/blog/addressing-bias-in-ai/","TheVentury","How to address bias in AI","In my previous post “Bias in AI“, I gave and explanation of how bias can arise in AI. I aimed to give an impression that bias – particularly prejudicial bias – can only be addressed through company-wide solutions. In this blog post I want to offer some suggestions on how companies can address prejudicial biases. Types of biases To direct the discussion, I organize the types of bias into a triangle that views sources of bias from the perspective of a company. At the base are ingrained, societal biases which can influence many areas of a business. Next are the business-related practices and finally those related to machine learning. The order suggests where the most effort is needed to address bias, so I’ll follow this order going forward. In this article, I will be covering the following:Societal biasBias in business practicesBias in the development processIdentifying bias through data analyticsTech solutions Mathematical definitionsBias mitigation ToolsThe TakeawaysSocietal bias A company should not dismiss extrinsic, societal bias. Business leaders may be tempted to say “We hire fewer female developers because there are fewer female developers on the market”.While this may be true, everyone knows that it should not be this way. Institutions as well as individuals should take a responsibility to make a positive impact on society. For example, a tech firm can support their female developers in community outreach to bring tech to school age girls. I have been impressed with the outreach that I see at TheVentury. We have female developers and project leaders who engage with school age girls to show that the tech field can be a place for them. We also engage with organizations like Female Factor & Female Founders to support women who are founders or have influential roles in their companies. Supporting outreach not only helps to reduce biases, but also generates exposure for the company. Bias in business practices Existing biases can easily enter business practices unless they are given active consideration. Hiring is an obvious example of this. Certain groups may not be well represented in the employee pool. Unless a company puts effort into reaching out to such groups, they will continue to be under represented. It is important to recognize that diversity brings value to the company. Many studies have shown that having a diverse team improves performance and results. In addition to hiring, businesses should think carefully on how societal biases relate to their products or services. Project goals should be critiqued for potential biases. Questions like “Who is excluded by this product?”, “Which groups will have difficulties to access this service?”, and “How can we ensure that our product reaches a diverse audience?” can help to address biases. I don’t aim to give a complete prescription here because it depends on the business model, but consideration should be given in this manner to reduce bias. Bias in the development process Biases can be introduced at the development stage as well. The most common causes are tight development schedules and hard deadlines. When developers are under pressure to deliver, they focus on the immediate outcomes and are unable to look at the broader picture.To address this, developers should be given sufficient time to consider broader implications of projects and how bias can enter. Starting with a diverse team will also help to identify potential biases. From the project management perspective, addressing bias should be thought of in the same way as testing. It requires more resources up-front, but insures a more reliable and extensible product in the end. Identifying bias through data analyticsSince bias enters AI principally through the data, understanding the data is a key component of identifying and mitigating bias. When projects are under pressure, there may not be sufficient time to explore and understand the data. It is easy to shove data into a model, measure the performance, and move on. The real work should be to understand the data, the model, and the entire process in order to identify any issues, such as bias. Therefore, time and resources need to be dedicated these important elements of data science. Tech solutionsWhen I started researching bias in AI, my aim was to understand and expand on the tech solutions. However it became clear to me that tech solutions are just a bandage over a deeper wound. Yes, tech solutions can help you bring a better product to market, but this alone cannot address the existing biases. To really solve bias means to address it at every level as I described above. Only then should you feel confident to apply a tech solution. Mathematical definitions Biases are measured through formulas that mathematically capture our concept of bias. For example you can calculate the fraction of male or female hires with respect to the field of applicants. If they are equal or nearly equal than there is no bias. There are many ways to mathematically define bias and I could dedicate an entire blog post to the definitions, but fortunately someone already has. If you are more interested in the mathematical definitions, check out this blog post, Each measurement of bias tells you something different about the model so we normally checks against multiple formulas. It is very possible that some formulas will show bias while others will not. The data scientists along with project managers must decide if further action should be taken based on the full set of results. It is important to note that the AI cannot discover our biases for us – it knows nothing about human values. We therefore can only measure bias with respect to attributes that we have identified. This is an important weakness in relying on a tech solution. Bias mitigationIf biases are identified, there are a few possible remedies. The most obvious solution is to not use the data source or discard the model, but this is often not realistic given the needs for data and the demands of customers. Furthermore, even if other data sources are available and other models can be developed, they may have the same, or different biases. There are essentially three places where we can attempt to mitigate bias. The most direct method is to modify the data source. Since the data contain all of the information and correlations modifying the data is the most direct method. In some cases, the data may not be modifiable, perhaps because it is provided by another source. In this instance, instead of modifying the data, the model itself can be modified. Indeed the model is just a large set of weights that approximate the data. By modifying those weights, the biases can be corrected. The last method is to modify the output of the model, in the case where one has no access to the data or the model creation. This method corrects the output to remove bias, but has the least flexibility. ToolsThere are a number of enterprise tools that are available to address bias. I would like to highlight an open-source framework developed by IBM called IBM fairness 360. This framework covers the full tech solution including bias measurement using many different metrics and algorithms that apply the three types of mitigation methods. You can find some demos on their website. The framework can be used through its API, allowing anybody with some tech experience to plug in their data, measure bias, and apply mitigation methods. I will emphasize that such a tool should not be used blindly. It can help in understanding your data and models. If you use a bias mitigation method then you still need to understand what modifications were made and ensure that the performance is maintained in all aspects.At TheVentury we have already explored using fairness 360, so if you would like to evaluate and mitigate bias in your data, let us know! We can help with not only the technical aspects, but also how to address bias in the broader ways that I discussed above.The TakeawaysBias is a deeply ingrained problem that does not have simple solutions. It results from historical norms, is reflected in human behavior, and is therefore baked into the data. Indeed, as our understanding of bias has improved over time, we recognize our own biases and correct our behavior. This is unfortunately a slow process, so we need some solutions to overcome biases in data. Importantly we should also work to speed up the process by addressing bias directly. Primarily this means that time and resources need to be dedicated to understanding and addressing biases. Data scientists should have time to understand the data and to develop models that are explainable. Development and project goals should be evaluated for possible bias.Hiring a diverse team is a good step towards confronting these biases. Even overall business goals should be evaluated in the context of bias. Finally, we should all take a responsibility to address bias. Companies can contribute in one way by supporting their employees in outreach programs. This makes economic sense as well. As I pointed out in my first post on this topic, large AI projects have been abandoned because of unmanageable bias. By dedicating resources upfront, you can avoid losses due to abandoned projects. ","November 24, 2019","https://theventury.com/wp-content/uploads/2020/04/ELEVATE_Breakfast_113-scaled-377x250.jpg"
"6","https://theventury.com/blog/anomaly-detection/","TheVentury","Machine Learning Prague 2019 – Anomaly Detection","After my first blog post “Topic Modeling” , I would also like to shed light on another extremely exciting topic: “Anomaly Detection”. which was another highlight of the “Practical conference about ML, AI & Deep Learning applications” – Machine Learning Prague 2019 , which we attended from February 22nd – 24th, 2019. I would like to briefly explain what Anomaly Detection is and then give you some examples! Here we go: Using Machine Learning for Anomaly Detection Anomaly Detection is a topic that I think is becoming more widely used. There was a very interesting presentation by Vítezslav Vít Vlcek from Broadcom called “Data-driven System health determination in Monitoring Softwares for Operational Intelligence”. The general idea is to use past data to decide if new data are conforming or anomalous.Here are a few examples where Anomaly Detection would be useful:Anomaly detection for Systems protection One common use of Anomaly Detection is to protect systems (server infrastructures, networks, etc.). This was the example on which Vítezslav based his presentation. His program uses a pattern matching algorithm inspired by the wave function collapse in Quantum Mechanics.This basically means, that his matching algorithm compares chunks of past data to new data to determine if it fits – somewhat like a puzzle. When a hacker attempts to enter the system, or it becomes unhealthy for some reason, the program detects an anomaly.The subsequent actions then depend on the needs of the customer, it could alert a systems administrator or take more drastic action such as logging out all sever users. Very useful!Anomaly detection to identify fraud Another important application of Anomaly Detection is fraud detection, which is probably used by your bank (at least I really hope it is). If you have ever received an email or call from your bank after making a strange purchase, it is probably because an AI algorithm decided that it was anomalous.Such a system collects data from purchases made through the bank and compares new purchases to the past. Such algorithms are becoming more widely used to protect people and systems from malign behavior.Predictive Maintenance applicationsWhat the presentation also made me think about is “Predictive Maintenance”. Here the algorithm records data from a machine to determine if it will break in the near future. For example, vibrations, mechanical tensions, and the sound it produces are continuously measured. The past data are used to determine if the behavior of the machine has changed and if maintenance should be undertaken.Perhaps the methods described by Vítezslav could be used for predictive maintenance as well? By intervening to fix a mechanical problem early, you can prevent costly down-times that are incurred when a part completely breaks.We are excited to keep exploring the many possibilities in this field of Machine Learning in the future! Interested in finding out more or have a chat about Machine Learning and how Anomaly Detection in particular could benefit your business?We are happy to have a talk about possible solutions that meet your needs.Let’s talk: maximilian.unger@theventury.com","March 6, 2019","https://theventury.com/wp-content/uploads/2019/11/binary-2175285_1920-1024x640-377x220.jpg"
"7","https://theventury.com/blog/behind-minds-investors/","TheVentury","In the minds of investors","The fourth post of the blog-series by TheVentury Intern Sean Moakley, comparing his time working for Startups in Silicon Valley & Vienna.I got the chance to pick the brains of a few venture capitalists in Vienna to try to see their side of the picture. What do these investors see in such a vibrant emerging market?Venture Capitalists in ViennaNow that I have a better grip on the funding situation, it’s clear to me that progress is being made and that at the seed level, entrepreneurs are getting the cash injections that closely resemble those in the Bay Area.It is more than just cash, however. Investors are interested in your startup’s success, so they don’t just throw a check at you and send you on your way. They care about their money, so they do what they can to help it grow.Angels operate in the same way. As soon as they invest, they’re a part of your team and your operations. And everyone, all the big names especially, like to invest on the side: From Jeff Bezos to Zuckerberg or even Magic Johnson (seriously), their investments give the money and help that they need to break into the 10%.I sat down with a few venture capitalists based in Vienna. I wanted to see their side, to understand what they look for in a startup, and to hear their thoughts on the market here.The overriding bit that you probably could have guessed: Venture Capital in Vienna consists of almost entirely early stage investments. Confirmed!David, a managing director at Push Ventures, explained to me that he was the third member of the Push team. After the two founders started a nice fund and started gaining some traction in Vienna, they brought him in due to a lot of his insights with other European venture arms such as Gruenderfonds, a Bonn-based fund with a branch in Austria as well.He emphasized that this is, in a way, a university town—the University of Vienna does have a whopping 190,000 students—so there are clearly a lot of educated people looking to work. ViennaNaturally, students and graduates play a large role as interns and full-time workers for startups. With so many young minds in one place, they contribute a lot to the ideas that David might be considering investing in.But as David spoke about looking for “exit-oriented” teams with a leader that has it “figured out,” I wonder about how a student in his or her twenties can commit to an early stage startup looking to stay until exit.And as Push usually limits their investments to under $500,000, are they planning on holding their startups hands for five to ten (or more?) years until exit? It didn’t quite add up to me.Calmly, David explained how the smaller ventures such as theirs help in the transitional stage to bigger capital. “We never turn our backs on them… but once they get so big and have so many more investors, there will have more help than just us.”Essentially, they could be the smaller amount of money that allows a startup to create or really refine the product that they can show to the bigger funds later—it’s not an exact model, I know, but it’s a blueprint for transition at what can be the most critical stage of a startup’s existence.I left with a better understanding of that transition and the role that small capital can play. So moving forward, I had a lot of questions for both Markus, who does due diligence for Speedinvest, and Nina, a Speedinvest Principal.Markus explained that a lot of the early-stage money to be raised in Austria is about the height of what a startup can get here before they “graduate” and raise from another source.Nina concurred, explaining that “We [Speedinvest] focus all over Europe, but we mostly stay under three million with our investments.” She’s been with Speedinvest for more than 5 years, and seen first hand their fund 10x in it’s second round.While they might be looming over what Push Ventures can offer, they aren’t exactly late stage.If they’re looking around Europe and not limiting themselves, do they need to fend off other funds from taking their deals? In the overall European venture world, even Speedinvest is beaten by plenty of other firms in terms of fund size. And if Push is even smaller… does it get pretty cutthroat?Nina tells me that they’re happy to work with other funds, and David explained that if another group wants to back an interesting startup that it’s often a good sign—if you’re not the only one seeing the potential, it’s probably there, right?If you can’t beat them, join them—having a team of funders behind you can be an unbelievably huge advantage.The most important topic I wanted to discuss was people. What do they look for in a founder, an analyst, a principal?A company’s culture, to David, is much more important than their idea. He said he wanted to find those workers who were essentially willing to do whatever it took to succeed.Nina agreed, and expanded a little bit on the Speedinvest team. “We don’t take bankers,” she explained. (Did I say I’m majoring in finance? I was kidding). They want people who are relatable albeit unique, and between the two, of course, extremely driven.I asked all three of them, Daniel, Markus, and Nina, if they would prefer a bland founder with a market-changing idea or a market-changing founder with a bland idea. All three preferred the better founder. “People like that can do amazing things,” says Daniel. Clearly, it’s important to have the right culture from the beginning, because you can’t just go back and re-engineer it. In their eyes, the founder creates a culture as much as he or she does an idea.I got a lot of good insights from them. We see pretty clearly that the startup scene here is young but once again, we see that it’s growing. And if it’s being backed by the eager and excited VCs that I’ve met so far, it’ll continue that way.Does this mean that I won’t see the next unicorn being backed by Speedinvest or Push? I wondered, heartbroken.Each smiled at that, giving me the similar forms of “Perhaps one day.”","December 22, 2017","https://theventury.com/wp-content/uploads/2018/03/0555_EAP_180215_TheVentury_Elevate-377x220.jpg"
"8","https://theventury.com/blog/bias-in-ai/","TheVentury","Bias in AI – A deep dive","An article by TheVentury’s Data Scientist Josh Kunkle. He is an expert in Natural Language Processing for bots and development of Machine Learning algorithms for classification and image processing. Josh is currently also researching dialogue and robotic management systems.How do we ensure that Artificial Intelligence represents humanity’s best principles?What does “bias in AI” mean and how do we eliminate bias from AI and what are the sourcses? Let’s have a closer look!Introduction to Bias in AIIs there a simple solution?Computers to the rescue? Not so fast!Sources of BiasConclusionIntroduction to Bias in AIEnormous progress has been made in Artificial Intelligence (AI). With better algorithms, more data, and faster computers, companies and organizations are investing in Artificial Intelligence (AI) to make business decisions. However, there is a pervasive problem in AI – Bias. A biased AI may perform poorly, but beyond that, it can inherit Humans’ prejudicial biases. When an AI is perceived to make prejudicially biased decisions, users lose confidence in it and usually it is abandoned.This has happened in some of the largest tech companies such as Amazon and Microsoft. This occurs despite the fact that humans may be just as biased. This is because we tend to hold AI to a higher standard than humans, as we should.AI companies and developers need to put in the time and resources to ensure that their product best serves the needs and morals of society. It is therefore time to pay attention to this problem and try to find ways to manage it.Is there a simple solution?As a tech person, I like to use technology to solve problems. There are in fact many tech solutions that aim to address bias, but in a narrow fashion. As I’ll discuss in more detail below, once you start thinking critically about bias in AI and where it comes from, you are led to consider other areas of the business. Finally, you realize that bias is everywhere and that a tech solution alone is not sufficient to solve this broader problem.Before discussing the topic further, I would like to explain what I mean by bias in more detail because it is an overloaded word. I do not mean bias in the mathematical sense, instead I mean bias in an algorithm that produces unwanted outcomes. More specifically I want to address prejudicial bias – outcomes that disadvantage certain groups of people.Sometimes this type of bias is instead referred to as fairness. Nevertheless, it is easier to say ‘bias’ than ‘lack of fairness’ so I’ll stick with ‘bias’. Dealing with prejudicial bias is difficult because it is ingrained in human nature. People and societies must consciously work to eliminate it. While progress in the right direction continues, the previous and existing bias persists in the data that we record. Computers to the rescue? Not so fast!Since bias is introduced by humans, we might hope that computers will solve our bias problems. Even though humans try to be aware of their biases, we may become less vigilant when we are tired or distracted by other problems. Computers do not get tired, hungry, or grumpy; they just rely on the algorithm and the data (watch out for memory leaks though!). However, the algorithm and in particular the data are the routes by which bias creeps in to AI. One of the starkest and most famous examples of this was the Tay bot. Tay was developed by Microsoft with the goal of learning to talk like a Twitter user by learning from twitter users. Within 24 hours of deployment though, the bot was disabled because it made racist, sexist, and generally offensive tweets after learning such language from other users. This example is quite extreme because the developers maintained no control over the training data (it had initial training before deployment, but then it learned freely). Problems with AI in HRAnother, more pertinent example can be found in Human Resources – a growing target field for AI. We also see the growth in the field through our accelerator ELEVATE, where 3 out of 5 AI-startups in our current batch are HR focused. A common desire is to automatically process CVs and choose the best candidate for the position. To learn which candidates best match, historical hiring data is used. However, in many tech firms (which are the ones trying to adopt new AI technologies) there is a historical lack of female hires. If this bias is not corrected in the data, the AI learns that male applicants are preferred over female applicants. This reportedly happened when Amazon tried to develop this kind of AI.Sources of BiasIn order to develop targeted solutions, I will start by breaking down the sources of bias and identifying how they can influence AI.1. History & SocietyIt is important to acknowledge from the beginning that prejudicial biases are deeply rooted in history and society. Therefore, it should be of no surprise that biases show up in many contexts. This does not mean that we should do nothing about them. Business and individuals alike should aim to address such biases in order to advance society as a whole. 2. Business ObjectivesConsider how prejudicial bias can enter through business objectives. While individuals or companies may not have an intentional bias, it is surprisingly easy for biases to hide behind business objectives. For example, a company wants to use sales data to direct development resources. The data analysis may lead to the company to direct its resources to high income areas. By ignoring low income areas their service will tend to disadvantage minorities, who, in some countries, tend to live-in low-income areas. This is already beginning to be a difficult conversation. From the business perspective this may be the desired outcome. Why should they develop services where they will not be profitable? From the perspective of the disadvantaged group, they have lost access to a potentially beneficial service. Moreover, the severity depends on the product and business model. On one extreme the disadvantaged group may have no interest in the service (for example, high-end designer clothing).On the other extreme a company that provides a public service such as internet access should aim to avoid this type of bias. When confronting this type of bias, a company must assess their own values and business model as well as the public response to their actions. 3. Learning BiasNow consider how existing biases can influence AI. The issue comes down to the fact that machines cannot learn on their own. Instead humans must design the algorithm and supply training data. The data reflect the realities of the possibly biased process that create it. We then give that data to a machine learning algorithm, imprinting the biases onto it. This is the case of the CV example that I mentioned above. 4. Sample BiasAI developers in particular must be aware of the ways in which biases can enter their algorithms. The developers make choices on what data to collect and reject which may lead to a bias. Sample bias can result in data that is not fully representative of the data used for prediction. For example, in order to train an image classifier to identify cats you supply it with many pictures of cats. However, if you forget to include training images of Sphynx cats (which have no fur – if you haven’t seen one google will not disappoint), your classifier will probably fail on Sphynx cats. Based on this example, sample bias may not seem to be prejudicial, but if you consider that certain groups of people may be ignored when collecting training data the link is clear. In fact there have been real cases where facial recognition algorithms were trained with faces from only a certain skin color.Not surprisingly, these fail to identify faces having skin colors that were not trained. Such a bias would have even more impact in the medical field. For example an AI could be used to identify skin melanoma. Such algorithms show promise to increase the chance of early detection, but must be trained against all skin colors so that some people are not left behind. 5. Measurement BiasAnother type of bias which is related to sample bias is measurement bias. This is essentially sample bias, but with a time component. This type of bias occurs when the data collection method or quality changes relative to the training data. For example, consider an AI that classifies images. The AI is trained with clean, high-quality images, but over time the camera gets dirty. The dirty images will likely fail the classification. Such bias can extend to prejudicial situations when using surveys, for example. If the survey questions change slightly or the survey method changes the AI that interprets the survey may acquire a bias. The takeaway is that in many conditions data taking conditions are not static and must be monitored.ConclusionTaken all together it is clear that a tech solution will not address the wider issues related to prejudicial bias. Biases are present in society and can be inherited or introduced by business practices or data science decisions. Addressing bias should involve all areas of a company from management, to data science, and developers. The upfront cost may be higher than expected, but weighted against the cost of a failed project, the additional cost is worth it. In my next blog post I will lay out a broad program – or at least some suggestions – for how to handle bias and ensure fairness when it comes to AI. ","September 24, 2019","https://theventury.com/wp-content/uploads/2020/04/robotic_process_automation-377x250.jpg"
